                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 98300 Thread 1 - main                                                |   883000 |   157000 |    70287783 |   8011463099 |  34331648 |   1024 |     9302395 |      0 |      0 |         0 
 98322 Thread 2 - Reference Handler                                   |     6000 |     1000 |      739968 |     57819949 |         0 |      0 |     2286285 |      0 |      0 |         0 
 98323 Thread 3 - Finalizer                                           |     7000 |        0 |      850281 |     56473722 |      5120 |      0 |      778418 |      0 |      0 |         0 
 98324 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |      105496 |      7966289 |         0 |      0 |           0 |      0 |      0 |         0 
 98325 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      308781 |      9757750 |         0 |      0 |       19636 |      0 |      0 |         0 
 98334 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      917382 |     29303792 |      4096 |      0 |      215429 |      0 |      0 |         0 
 98335 Thread 13 - RMI RenewClean-[10.231.182.152:34522]              |     1000 |        0 |       82234 |      7893250 |      1024 |      0 |           0 |      0 |      0 |         0 
 98336 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       18718 |      0 |      0 |         0 
 98339 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26212000 | 30322000 | 16746231869 | 550729787692 | 573452288 | 148480 | 19642357233 | 251983 |      0 |         0 
 98341 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   282000 |    59000 |   100824819 |   3317483498 |   6320128 |   6144 |    41426480 | 783510 |      0 |         0 
 98344 Thread 17 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-0 |  1273000 |   411000 |   495260622 |  16412192146 |     34816 |      0 |  1651760184 |      0 |      0 |         0 
 98345 Thread 18 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-1 |  1391000 |   381000 |   520561915 |  17275097325 |         0 |      0 |  1897438026 |      0 |      0 |         0 
 98346 Thread 19 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-2 |  1285000 |   426000 |   503259829 |  16682887837 |      2048 |      0 |  1576518123 |      0 |      0 |         0 
 98347 Thread 20 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-3 |  1277000 |   362000 |   484274587 |  15984221548 |         0 |      0 |  1952975558 |      0 |      0 |         0 
 98348 Thread 21 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-4 |  1379000 |   454000 |   540909934 |  17876404661 |         0 |      0 |  1813830344 |      0 |      0 |         0 
 98349 Thread 22 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-5 |  1183000 |   393000 |   465682017 |  15371335638 |         0 |      0 |  1868251243 |      0 |      0 |         0 
 98350 Thread 23 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-6 |  1355000 |   395000 |   517888399 |  17071029306 |         0 |      0 |  1649176538 |      0 |      0 |         0 
 98351 Thread 24 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-7 |  1300000 |   397000 |   499481267 |  16545354923 |      5120 |      0 |  2061320468 |      0 |      0 |         0 
 98352 Thread 25 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-8 |  1302000 |   399000 |   501183169 |  16590505025 |         0 |      0 |  1981009171 |      0 |      0 |         0 
 98353 Thread 26 - PartitionProcessorThre...63e-8396-aac91c15b0dc-1-9 |  1308000 |   435000 |   515414024 |  16999920587 |      1024 |      0 |  2058966341 |      0 |      0 |         0 
 98354 Thread 27 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-10 |  1362000 |   429000 |   526866528 |  17462024106 |         0 |      0 |  1620535240 |      0 |      0 |         0 
 98355 Thread 28 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-11 |  1341000 |   394000 |   511421778 |  16920549071 |         0 |      0 |  1911190068 |      0 |      0 |         0 
 98356 Thread 29 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-12 |  1343000 |   410000 |   517226927 |  17096206173 |         0 |      0 |  1950584903 |      0 |      0 |         0 
 98357 Thread 30 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-13 |  1345000 |   445000 |   529499415 |  17461411067 |         0 |      0 |  1866654109 |      0 |      0 |         0 
 98358 Thread 31 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-14 |  1320000 |   424000 |   512671727 |  17006999118 |         0 |      0 |  1986882254 |      0 |      0 |         0 
 98359 Thread 32 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-15 |  1327000 |   412000 |   512728063 |  16961367841 |         0 |      0 |  2074395772 |      0 |      0 |         0 
 98360 Thread 33 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-16 |  1255000 |   385000 |   481447017 |  15991108837 |         0 |      0 |  1652126981 |      0 |      0 |         0 
 98361 Thread 34 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-17 |  1312000 |   439000 |   518180462 |  17079058392 |         0 |      0 |  1818450449 |      0 |      0 |         0 
 98362 Thread 35 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-18 |  1322000 |   410000 |   511198618 |  16894121146 |         0 |      0 |  1947289602 |      0 |      0 |         0 
 98363 Thread 36 - PartitionProcessorThre...3e-8396-aac91c15b0dc-1-19 |  1293000 |   453000 |   515697345 |  17030788950 |         0 |      0 |  1994276724 |      0 |      0 |         0 
 98364 Thread 37 - PartitionProcessorThre...63e-8396-aac91c15b0dc-0-0 |  1373000 |   368000 |   514877177 |  16988587384 |         0 |      0 |  1720941493 |      0 |      0 |         0 
 98365 Thread 38 - PartitionProcessorThre...63e-8396-aac91c15b0dc-0-1 |  1274000 |   393000 |   493717059 |  16266623032 |         0 |      0 |  1622114439 |      0 |      0 |         0 
 98366 Thread 39 - PartitionProcessorThre...63e-8396-aac91c15b0dc-0-2 |  1294000 |   424000 |   508827149 |  16764228759 |         0 |      0 |  1684467477 |      0 |      0 |         0 
 98367 Thread 40 - PartitionProcessorThre...63e-8396-aac91c15b0dc-0-3 |  1303000 |   398000 |   504181770 |  16598677282 |         0 |      0 |  1640251074 |      0 |      0 |         0 
 98368 Thread 41 - PartitionProcessorThre...63e-8396-aac91c15b0dc-0-4 |  1260000 |   409000 |   495005563 |  16286507939 |         0 |      0 |  1545403913 |      0 |      0 |         0 
