                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 154456 Thread 1 - main                                                |   620000 |    87000 |    44757928 |   5371934581 |  21210112 |   1024 |    13946056 |      0 |      0 |         0 
 154479 Thread 2 - Reference Handler                                   |     5000 |     1000 |      617882 |     46605445 |         0 |      0 |     3299020 |      0 |      0 |         0 
 154480 Thread 3 - Finalizer                                           |     5000 |     2000 |      646015 |     53666562 |     13312 |      0 |      587187 |      0 |      0 |         0 
 154481 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       10581 |      0 |      0 |         0 
 154482 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      319453 |      9755035 |         0 |      0 |           0 |      0 |      0 |         0 
 154496 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28944000 | 32176000 | 19221168755 | 595190763146 | 636060672 | 124928 | 19368600996 |  86268 |      0 |         0 
 154498 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   173000 |    46000 |    68184421 |   2134759062 |   6899712 |   4096 |    18782743 | 199224 |      0 |         0 
 154501 Thread 14 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-0 |  1326000 |   446000 |   554986535 |  17276654890 |     33792 |      0 |  1482287150 |      0 |      0 |         0 
 154502 Thread 15 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-1 |  1221000 |   443000 |   521606606 |  16228548144 |      6144 |      0 |  1503293894 |      0 |      0 |         0 
 154503 Thread 16 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-2 |  1300000 |   450000 |   548694352 |  17069980187 |      1024 |      0 |  1506302411 |      0 |      0 |         0 
 154504 Thread 17 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-3 |  1346000 |   450000 |   563593754 |  17523288585 |         0 |      0 |  1517841726 |      0 |      0 |         0 
 154505 Thread 18 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-4 |  1287000 |   444000 |   544000594 |  16886151691 |         0 |      0 |  1574143845 |      0 |      0 |         0 
 154506 Thread 19 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-5 |  1309000 |   425000 |   544563051 |  16907879796 |    119808 |      0 |  1515121004 |      0 |      0 |         0 
 154507 Thread 20 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-6 |  1413000 |   483000 |   595698070 |  18497206332 |         0 |      0 |  1459863289 |      0 |      0 |         0 
 154508 Thread 21 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-7 |  1275000 |   461000 |   544960797 |  16935295445 |     18432 |      0 |  1488733604 |      0 |      0 |         0 
 154509 Thread 22 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-8 |  1265000 |   424000 |   530220254 |  16480591457 |         0 |      0 |  1300047537 |      0 |      0 |         0 
 154510 Thread 23 - PartitionProcessorThre...fbf-8bc2-1d5cda8f3c3a-2-9 |  1389000 |   444000 |   574340437 |  17884846097 |         0 |      0 |  1335317261 |      0 |      0 |         0 
 154511 Thread 24 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-10 |  1297000 |   460000 |   552869188 |  17141878695 |         0 |      0 |  1353639800 |      0 |      0 |         0 
 154512 Thread 25 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-11 |  1323000 |   420000 |   547995301 |  17006676078 |         0 |      0 |  1461896333 |      0 |      0 |         0 
 154513 Thread 26 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-12 |  1239000 |   447000 |   529316848 |  16449767503 |         0 |      0 |  1566821139 |      0 |      0 |         0 
 154514 Thread 27 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-13 |  1368000 |   452000 |   573299625 |  17758450605 |         0 |      0 |  1620582480 |      0 |      0 |         0 
 154515 Thread 28 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-14 |  1365000 |   484000 |   579938094 |  18038970390 |         0 |      0 |  1596081736 |      0 |      0 |         0 
 154516 Thread 29 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-15 |  1347000 |   443000 |   561543832 |  17463567195 |         0 |      0 |  1600967183 |      0 |      0 |         0 
 154517 Thread 30 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-16 |  1341000 |   446000 |   561573695 |  17436056332 |         0 |      0 |  1631213584 |      0 |      0 |         0 
 154518 Thread 31 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-17 |  1333000 |   459000 |   561462273 |  17482155628 |     24576 |      0 |  1531415082 |      0 |      0 |         0 
 154519 Thread 32 - PartitionProcessorThre...bf-8bc2-1d5cda8f3c3a-2-18 |  1283000 |   452000 |   543300438 |  16928263710 |         0 |      0 |  1478859190 |      0 |      0 |         0 
