                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 151851 Thread 1 - main                                                |   623000 |    99000 |    44062752 |   5471811257 |  21218304 |   1024 |     4126685 |        0 |      0 |         0 
 151873 Thread 2 - Reference Handler                                   |     6000 |     3000 |     1065507 |     71330957 |         0 |      0 |      367063 |        0 |      0 |         0 
 151874 Thread 3 - Finalizer                                           |     6000 |        0 |      575648 |     46467437 |      5120 |      0 |      385026 |        0 |      0 |         0 
 151875 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       11544 |        0 |      0 |         0 
 151876 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      307390 |      9756039 |         0 |      0 |           0 |        0 |      0 |         0 
 151884 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26927000 | 29426000 | 17064829554 | 548544599596 | 585785344 | 130048 | 17166590530 | 11388324 |      0 |         0 
 151886 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   194000 |    51000 |    74735112 |   2388533015 |   5937152 |   5120 |    24002302 |   310666 |      0 |         0 
 151889 Thread 14 - PartitionProcessorThre...807-84c7-a616ff78f918-2-0 |  1237000 |   387000 |   491202461 |  15822331199 |     37888 |      0 |  1445250854 |        0 |      0 |         0 
 151890 Thread 15 - PartitionProcessorThre...807-84c7-a616ff78f918-2-1 |  1184000 |   417000 |   481854187 |  15610088753 |         0 |      0 |  1455361837 |        0 |      0 |         0 
 151891 Thread 16 - PartitionProcessorThre...807-84c7-a616ff78f918-2-2 |  1129000 |   421000 |   467807570 |  15111061171 |      2048 |      0 |  1610792409 |        0 |      0 |         0 
 151892 Thread 17 - PartitionProcessorThre...807-84c7-a616ff78f918-2-3 |  1179000 |   402000 |   477605394 |  15409630816 |    118784 |      0 |  1411738348 |        0 |      0 |         0 
 151893 Thread 18 - PartitionProcessorThre...807-84c7-a616ff78f918-2-4 |  1152000 |   428000 |   476411398 |  15409094449 |         0 |      0 |  1679565516 |        0 |      0 |         0 
 151894 Thread 19 - PartitionProcessorThre...807-84c7-a616ff78f918-2-5 |  1162000 |   393000 |   470094684 |  15162113890 |         0 |      0 |  1242899711 |        0 |      0 |         0 
 151895 Thread 20 - PartitionProcessorThre...807-84c7-a616ff78f918-2-6 |  1191000 |   383000 |   477304504 |  15351598234 |         0 |      0 |  1379844266 |        0 |      0 |         0 
 151896 Thread 21 - PartitionProcessorThre...807-84c7-a616ff78f918-2-7 |  1200000 |   414000 |   487609836 |  15741312402 |         0 |      0 |  1400896844 |        0 |      0 |         0 
 151897 Thread 22 - PartitionProcessorThre...807-84c7-a616ff78f918-2-8 |  1256000 |   382000 |   495683101 |  15977015374 |         0 |      0 |  1674580182 |        0 |      0 |         0 
 151898 Thread 23 - PartitionProcessorThre...807-84c7-a616ff78f918-2-9 |  1261000 |   431000 |   512428086 |  16502166589 |         0 |      0 |  1564479964 |        0 |      0 |         0 
 151899 Thread 24 - PartitionProcessorThre...07-84c7-a616ff78f918-2-10 |  1286000 |   415000 |   515169691 |  16591907820 |         0 |      0 |  1656320894 |        0 |      0 |         0 
 151900 Thread 25 - PartitionProcessorThre...07-84c7-a616ff78f918-2-11 |  1246000 |   371000 |   489503644 |  15772822414 |         0 |      0 |  1568620579 |        0 |      0 |         0 
 151901 Thread 26 - PartitionProcessorThre...07-84c7-a616ff78f918-2-12 |  1218000 |   391000 |   486298031 |  15695244562 |         0 |      0 |  1612882300 |        0 |      0 |         0 
 151902 Thread 27 - PartitionProcessorThre...07-84c7-a616ff78f918-2-13 |  1287000 |   414000 |   515360601 |  16591993527 |         0 |      0 |  1572028573 |        0 |      0 |         0 
 151903 Thread 28 - PartitionProcessorThre...07-84c7-a616ff78f918-2-14 |  1269000 |   422000 |   508303718 |  16494059999 |         0 |      0 |  1555179411 |        0 |      0 |         0 
 151904 Thread 29 - PartitionProcessorThre...07-84c7-a616ff78f918-2-15 |  1287000 |   407000 |   511470832 |  16520140792 |     43008 |      0 |  1564161560 |        0 |      0 |         0 
 151905 Thread 30 - PartitionProcessorThre...07-84c7-a616ff78f918-2-16 |  1154000 |   402000 |   471645160 |  15178499812 |         0 |      0 |  1482439715 |        0 |      0 |         0 
 151906 Thread 31 - PartitionProcessorThre...07-84c7-a616ff78f918-2-17 |  1168000 |   437000 |   485335703 |  15656185355 |         0 |      0 |  1498347519 |        0 |      0 |         0 
 151907 Thread 32 - PartitionProcessorThre...07-84c7-a616ff78f918-2-18 |  1231000 |   438000 |   506467785 |  16279429312 |      3072 |      0 |  1556458056 |        0 |      0 |         0 
 151908 Thread 33 - PartitionProcessorThre...07-84c7-a616ff78f918-2-19 |  1232000 |   414000 |   497044363 |  16055622843 |         0 |      0 |  1445077729 |        0 |      0 |         0 
 151909 Thread 34 - PartitionProcessorThre...807-84c7-a616ff78f918-0-0 |  1190000 |   409000 |   487418230 |  15599106644 |         0 |      0 |  1418440078 |        0 |      0 |         0 
 151910 Thread 35 - PartitionProcessorThre...807-84c7-a616ff78f918-0-1 |  1127000 |   401000 |   464816535 |  14905337062 |         0 |      0 |  1436279042 |        0 |      0 |         0 
 151911 Thread 36 - PartitionProcessorThre...807-84c7-a616ff78f918-0-2 |  1285000 |   433000 |   524241003 |  16759481300 |         0 |      0 |  1465300697 |        0 |      0 |         0 
 151912 Thread 37 - PartitionProcessorThre...807-84c7-a616ff78f918-0-3 |  1228000 |   430000 |   505196175 |  16174048832 |         0 |      0 |  1592093395 |        0 |      0 |         0 
 151913 Thread 38 - PartitionProcessorThre...807-84c7-a616ff78f918-0-4 |  1184000 |   391000 |   479933180 |  15364626156 |         0 |      0 |  1510171782 |        0 |      0 |         0 
 151914 Thread 39 - PartitionProcessorThre...807-84c7-a616ff78f918-0-5 |  1201000 |   418000 |   493417148 |  15793972437 |         0 |      0 |  1547952840 |        0 |      0 |         0 
 151915 Thread 40 - PartitionProcessorThre...807-84c7-a616ff78f918-0-6 |  1145000 |   402000 |   471419195 |  15091529371 |         0 |      0 |  1660330179 |        0 |      0 |         0 
 151916 Thread 41 - PartitionProcessorThre...807-84c7-a616ff78f918-0-7 |  1162000 |   342000 |   459087391 |  14672380269 |         0 |      0 |  1389914909 |        0 |      0 |         0 
 151917 Thread 42 - PartitionProcessorThre...807-84c7-a616ff78f918-0-8 |  1272000 |   420000 |   516313445 |  16506132152 |         0 |      0 |  1403270366 |        0 |      0 |         0 
 151918 Thread 43 - PartitionProcessorThre...807-84c7-a616ff78f918-0-9 |  1210000 |   447000 |   506430824 |  16164916625 |         0 |      0 |  1569843384 |        0 |      0 |         0 
 151919 Thread 44 - PartitionProcessorThre...07-84c7-a616ff78f918-0-10 |  1250000 |   458000 |   521290687 |  16662492871 |  10831872 |      0 |  1520490297 |        0 |      0 |         0 
