                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 34615 Thread 1 - main                                                |   533000 |    76000 |    38533120 |   4622033425 |  21055488 |   1024 |    11433898 |      0 |      0 |         0 
 34637 Thread 2 - Reference Handler                                   |     7000 |     1000 |      909937 |     63249550 |         0 |      0 |     3858605 |      0 |      0 |         0 
 34638 Thread 3 - Finalizer                                           |     3000 |        0 |      260308 |     23095710 |      5120 |      0 |     2238406 |      0 |      0 |         0 
 34639 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 34640 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      292871 |      9755035 |         0 |      0 |           0 |      0 |      0 |         0 
 34649 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28385000 | 32493000 | 17751876935 | 592739600463 | 636840960 | 122880 | 18802892703 | 140546 |      0 |         0 
 34650 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   148000 |    37000 |    53152042 |   1801164406 |   6278144 |   4096 |    22820852 | 333335 |      0 |         0 
 34663 Thread 14 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-0 |  1350000 |   437000 |   516655602 |  17405498007 |     36864 |      0 |  1476817545 |      0 |      0 |         0 
 34664 Thread 15 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-1 |  1313000 |   524000 |   533115676 |  17910198527 |    136192 |      0 |  1357055933 |      0 |      0 |         0 
 34665 Thread 16 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-2 |  1240000 |   465000 |   495539883 |  16632878492 |         0 |      0 |  1422586867 |      0 |      0 |         0 
 34666 Thread 17 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-3 |  1313000 |   424000 |   506658989 |  16943794210 |         0 |      0 |  1627940494 |      0 |      0 |         0 
 34667 Thread 18 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-4 |  1248000 |   421000 |   486212692 |  16282477257 |      1024 |      0 |  1321126690 |      0 |      0 |         0 
 34668 Thread 19 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-5 |  1328000 |   401000 |   502561180 |  16866638402 |      3072 |      0 |  1282491752 |      0 |      0 |         0 
 34669 Thread 20 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-6 |  1274000 |   467000 |   506383458 |  16986703457 |         0 |      0 |  1507145693 |      0 |      0 |         0 
 34670 Thread 21 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-7 |  1269000 |   468000 |   503246676 |  16939680585 |         0 |      0 |  1668095936 |      0 |      0 |         0 
 34671 Thread 22 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-8 |  1322000 |   446000 |   512729696 |  17247023921 |         0 |      0 |  1573984770 |      0 |      0 |         0 
 34672 Thread 23 - PartitionProcessorThre...7e7-939b-bdfbfd188362-2-9 |  1218000 |   461000 |   489657551 |  16382811167 |         0 |      0 |  1533410080 |      0 |      0 |         0 
 34673 Thread 24 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-10 |  1309000 |   430000 |   504764739 |  16967888374 |         0 |      0 |  1475039149 |      0 |      0 |         0 
 34674 Thread 25 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-11 |  1282000 |   389000 |   484886696 |  16303368800 |         0 |      0 |  1360604356 |      0 |      0 |         0 
 34675 Thread 26 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-12 |  1274000 |   466000 |   506768270 |  16976105796 |         0 |      0 |  1553738937 |      0 |      0 |         0 
 34676 Thread 27 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-13 |  1255000 |   426000 |   488337094 |  16401052945 |         0 |      0 |  1558974364 |      0 |      0 |         0 
 34677 Thread 28 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-14 |  1247000 |   429000 |   484258844 |  16352431261 |         0 |      0 |  1495145805 |      0 |      0 |         0 
 34678 Thread 29 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-15 |  1297000 |   434000 |   503414079 |  16888859343 |         0 |      0 |  1474967514 |      0 |      0 |         0 
 34679 Thread 30 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-16 |  1334000 |   417000 |   509418696 |  17084589894 |         0 |      0 |  1404301303 |      0 |      0 |         0 
 34680 Thread 31 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-17 |  1344000 |   448000 |   520894161 |  17483714914 |     24576 |      0 |  1673120030 |      0 |      0 |         0 
 34681 Thread 32 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-18 |  1286000 |   450000 |   503666465 |  16939303562 |         0 |      0 |  1775142579 |      0 |      0 |         0 
 34682 Thread 33 - PartitionProcessorThre...e7-939b-bdfbfd188362-2-19 |  1298000 |   463000 |   511800899 |  17181794593 |         0 |      0 |  1661679594 |      0 |      0 |         0 
 34683 Thread 34 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-0 |  1268000 |   443000 |   502755200 |  16696166679 |         0 |      0 |  1513200713 |      0 |      0 |         0 
 34684 Thread 35 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-1 |  1239000 |   450000 |   496014884 |  16481439054 |         0 |      0 |  1551909701 |      0 |      0 |         0 
 34685 Thread 36 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-2 |  1243000 |   448000 |   497028516 |  16501078812 |         0 |      0 |  1664522315 |      0 |      0 |         0 
 34686 Thread 37 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-3 |  1289000 |   447000 |   509944946 |  16939501488 |         0 |      0 |  1479642900 |      0 |      0 |         0 
 34687 Thread 38 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-4 |  1270000 |   433000 |   499253473 |  16617746582 |      1024 |      0 |  1474621848 |      0 |      0 |         0 
 34688 Thread 39 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-5 |  1233000 |   423000 |   486625966 |  16159367558 |         0 |      0 |  1535094732 |      0 |      0 |         0 
 34689 Thread 40 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-6 |  1213000 |   408000 |   475909278 |  15817871964 |         0 |      0 |  1548613424 |      0 |      0 |         0 
 34690 Thread 41 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-7 |  1267000 |   443000 |   501771641 |  16685727800 |         0 |      0 |  1424370837 |      0 |      0 |         0 
 34691 Thread 42 - PartitionProcessorThre...7e7-939b-bdfbfd188362-1-8 |  1238000 |   463000 |   500098512 |  16598709511 |         0 |      0 |  1607158906 |      0 |      0 |         0 
