                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 32267 Thread 1 - main                                                |   586000 |    76000 |    39679990 |   5007775284 |  21041152 |   1024 |     5954134 |        0 |      0 |         0 
 32289 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1219058 |     73140371 |         0 |      0 |     3210725 |        0 |      0 |         0 
 32290 Thread 3 - Finalizer                                           |     5000 |        0 |      404019 |     37993406 |     19456 |      0 |      750357 |        0 |      0 |         0 
 32291 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6064 |        0 |      0 |         0 
 32292 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      330195 |      9785242 |         0 |      0 |           0 |        0 |      0 |         0 
 32302 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26257000 | 28963000 | 16362885856 | 537461014338 | 586381312 | 126976 | 16335635727 |    80011 |      0 |         0 
 32304 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   173000 |    44000 |    64280511 |   2115463042 |   5445632 |   4096 |    19442967 |   250397 |      0 |         0 
 32307 Thread 14 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-0 |  1259000 |   427000 |   493589691 |  16427541433 |     36864 |      0 |  1410937024 |        0 |      0 |         0 
 32308 Thread 15 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-1 |  1264000 |   419000 |   497393046 |  16416249195 |         0 |      0 |  1087317370 |        0 |      0 |         0 
 32309 Thread 16 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-2 |  1167000 |   394000 |   461716433 |  15224241933 |         0 |      0 |  1351014170 |        0 |      0 |         0 
 32310 Thread 17 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-3 |  1302000 |   412000 |   506057562 |  16719058433 |         0 |      0 |  1349493129 |        0 |      0 |         0 
 32311 Thread 18 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-4 |  1302000 |   395000 |   502080300 |  16551975445 |         0 |      0 |  1395144936 |        0 |      0 |         0 
 32312 Thread 19 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-5 |  1198000 |   379000 |   466792339 |  15381273906 |      1024 |      0 |  1282335593 |        0 |      0 |         0 
 32313 Thread 20 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-6 |  1207000 |   405000 |   476268831 |  15721363398 |         0 |      0 |  1282175203 |        0 |      0 |         0 
 32314 Thread 21 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-7 |  1236000 |   437000 |   492582886 |  16318305898 |         0 |      0 |  1196195024 |        0 |      0 |         0 
 32315 Thread 22 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-8 |  1206000 |   350000 |   457767347 |  15178088363 |         0 |      0 |  1604538249 |        0 |      0 |         0 
 32316 Thread 23 - PartitionProcessorThre...942-86b3-5a7b11c59e30-2-9 |  1247000 |   398000 |   484690175 |  16041690960 |    118784 |      0 |  1277326920 |        0 |      0 |         0 
 32317 Thread 24 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-10 |  1198000 |   407000 |   473409542 |  15655774488 |      2048 |      0 |  1278408273 |        0 |      0 |         0 
 32318 Thread 25 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-11 |  1189000 |   392000 |   466618273 |  15421495925 |         0 |      0 |  1427560219 |        0 |      0 |         0 
 32319 Thread 26 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-12 |  1151000 |   409000 |   461536285 |  15216602503 |         0 |      0 |  1255836510 |        0 |      0 |         0 
 32320 Thread 27 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-13 |  1207000 |   390000 |   470670214 |  15576236558 |     23552 |      0 |  1315015005 |        0 |      0 |         0 
 32321 Thread 28 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-14 |  1189000 |   406000 |   470782859 |  15558066671 |         0 |      0 |  1319623873 |        0 |      0 |         0 
 32322 Thread 29 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-15 |  1222000 |   371000 |   471835644 |  15539121609 |         0 |      0 |  1196303984 |        0 |      0 |         0 
 32323 Thread 30 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-16 |  1195000 |   463000 |   488394691 |  16171050269 |  10838016 |      0 |  1285147552 |        0 |      0 |         0 
 32324 Thread 31 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-17 |  1204000 |   412000 |   476317148 |  15762849808 |     11264 |      0 |  1290737807 |        0 |      0 |         0 
 32325 Thread 32 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-18 |  1173000 |   364000 |   453330386 |  14994004507 |         0 |      0 |  1396592471 |        0 |      0 |         0 
 32326 Thread 33 - PartitionProcessorThre...42-86b3-5a7b11c59e30-2-19 |  1155000 |   373000 |   449577957 |  14905300480 |         0 |      0 |  1246427944 |        0 |      0 |         0 
 32327 Thread 34 - PartitionProcessorThre...942-86b3-5a7b11c59e30-1-0 |  1121000 |   395000 |   453083945 |  14788724308 |         0 |      0 |  1328949368 |        0 |      0 |         0 
 32328 Thread 35 - PartitionProcessorThre...942-86b3-5a7b11c59e30-1-1 |  1182000 |   403000 |   473390136 |  15462628718 |         0 |      0 |  1519800411 |        0 |      0 |         0 
 32329 Thread 36 - PartitionProcessorThre...942-86b3-5a7b11c59e30-1-2 |  1199000 |   427000 |   486104542 |  15862150781 |         0 |      0 |  1467492374 |        0 |      0 |         0 
 32330 Thread 37 - PartitionProcessorThre...942-86b3-5a7b11c59e30-1-3 |  1114000 |   399000 |   451551539 |  14760108910 |         0 |      0 |  1540030462 |        0 |      0 |         0 
 32331 Thread 38 - PartitionProcessorThre...942-86b3-5a7b11c59e30-1-4 |  1155000 |   372000 |   456624578 |  14896820406 |         0 |      0 |  1187228498 |        0 |      0 |         0 
 32332 Thread 39 - PartitionProcessorThre...942-86b3-5a7b11c59e30-1-5 |  1171000 |   444000 |   482223238 |  15755145312 |         0 |      0 |  1410500155 |        0 |      0 |         0 
