                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 44909 Thread 1 - main                                                |   554000 |    82000 |    39175342 |   4818737796 |  21046272 |   1024 |     1513098 |      0 |      0 |         0 
 44931 Thread 2 - Reference Handler                                   |     7000 |        0 |      712156 |     54442023 |         0 |      0 |     2188039 |      0 |      0 |         0 
 44932 Thread 3 - Finalizer                                           |     6000 |     2000 |      741367 |     61503140 |     13312 |      0 |      585262 |      0 |      0 |         0 
 44933 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 44934 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 44943 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28719000 | 32062000 | 18065472267 | 591834197756 | 636094464 | 132096 | 18577614390 |  75666 |      0 |         0 
 44944 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   196000 |    43000 |    70608304 |   2327155515 |   7017472 |   5120 |    50068934 | 221759 |      0 |         0 
 44947 Thread 14 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-0 |  1293000 |   446000 |   510282207 |  16939410910 |     36864 |      0 |  1785948825 |      0 |      0 |         0 
 44948 Thread 15 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-1 |  1351000 |   503000 |   545307241 |  18071594449 |    122880 |      0 |  1669494552 |      0 |      0 |         0 
 44949 Thread 16 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-2 |  1363000 |   452000 |   536271183 |  17704288953 |         0 |      0 |  1622970401 |      0 |      0 |         0 
 44950 Thread 17 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-3 |  1253000 |   445000 |   500596820 |  16566932410 |         0 |      0 |  1461232502 |      0 |      0 |         0 
 44951 Thread 18 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-4 |  1259000 |   390000 |   487166636 |  16088494441 |         0 |      0 |  1523423515 |      0 |      0 |         0 
 44952 Thread 19 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-5 |  1345000 |   410000 |   519820410 |  17123440156 |         0 |      0 |  1454269351 |      0 |      0 |         0 
 44953 Thread 20 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-6 |  1366000 |   494000 |   551482105 |  18148346539 |         0 |      0 |  1617590753 |      0 |      0 |         0 
 44954 Thread 21 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-7 |  1400000 |   445000 |   543009894 |  18000975378 |      1024 |      0 |  1778718676 |      0 |      0 |         0 
 44955 Thread 22 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-8 |  1316000 |   403000 |   508713371 |  16771852867 |         0 |      0 |  1636923776 |      0 |      0 |         0 
 44956 Thread 23 - PartitionProcessorThre...18e-a373-ea0315a69f7f-1-9 |  1376000 |   438000 |   535933597 |  17699369855 |         0 |      0 |  1770525802 |      0 |      0 |         0 
 44957 Thread 24 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-10 |  1321000 |   417000 |   515590214 |  16956975433 |         0 |      0 |  1831093637 |      0 |      0 |         0 
 44958 Thread 25 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-11 |  1370000 |   458000 |   542405999 |  17834189007 |         0 |      0 |  1911329895 |      0 |      0 |         0 
 44959 Thread 26 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-12 |  1344000 |   476000 |   537690597 |  17758233789 |         0 |      0 |  1732231971 |      0 |      0 |         0 
 44960 Thread 27 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-13 |  1289000 |   448000 |   512808785 |  16946973890 |         0 |      0 |  1659190420 |      0 |      0 |         0 
 44961 Thread 28 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-14 |  1361000 |   402000 |   520368320 |  17201345519 |         0 |      0 |  1505856358 |      0 |      0 |         0 
 44962 Thread 29 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-15 |  1386000 |   473000 |   549880089 |  18137879843 |         0 |      0 |  1699143341 |      0 |      0 |         0 
 44963 Thread 30 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-16 |  1375000 |   468000 |   545556120 |  17980257871 |     43008 |      0 |  1829899677 |      0 |      0 |         0 
 44964 Thread 31 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-17 |  1278000 |   460000 |   512409093 |  16957850632 |         0 |      0 |  1532330662 |      0 |      0 |         0 
 44965 Thread 32 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-18 |  1323000 |   493000 |   535035437 |  17719370953 |         0 |      0 |  1614834787 |      0 |      0 |         0 
 44966 Thread 33 - PartitionProcessorThre...8e-a373-ea0315a69f7f-1-19 |  1328000 |   425000 |   517904808 |  17103426425 |      1024 |      0 |  1515005449 |      0 |      0 |         0 
 44967 Thread 34 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-0 |  1283000 |   429000 |   511473898 |  16704721890 |         0 |      0 |  1723729738 |      0 |      0 |         0 
 44968 Thread 35 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-1 |  1276000 |   459000 |   519990609 |  16930138468 |         0 |      0 |  1647046600 |      0 |      0 |         0 
 44969 Thread 36 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-2 |  1294000 |   450000 |   522243871 |  17017008316 |         0 |      0 |  1492897889 |      0 |      0 |         0 
 44970 Thread 37 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-3 |  1338000 |   471000 |   542627410 |  17652582109 |         0 |      0 |  1448491528 |      0 |      0 |         0 
 44971 Thread 38 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-4 |  1277000 |   443000 |   516047414 |  16784614046 |         0 |      0 |  1599062844 |      0 |      0 |         0 
 44972 Thread 39 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-5 |  1295000 |   451000 |   522893949 |  17038186066 |         0 |      0 |  1385364138 |      0 |      0 |         0 
 44973 Thread 40 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-6 |  1391000 |   449000 |   551129441 |  17954439777 |         0 |      0 |  1510379045 |      0 |      0 |         0 
 44974 Thread 41 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-7 |  1327000 |   445000 |   530021382 |  17291062042 |         0 |      0 |  1430003031 |      0 |      0 |         0 
 44975 Thread 42 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-8 |  1304000 |   485000 |   535852664 |  17457273644 |         0 |      0 |  1498984710 |      0 |      0 |         0 
 44976 Thread 43 - PartitionProcessorThre...18e-a373-ea0315a69f7f-0-9 |  1209000 |   451000 |   497137668 |  16199321593 |         0 |      0 |  1427775926 |      0 |      0 |         0 
 44977 Thread 44 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-10 |  1368000 |   495000 |   558236538 |  18179632499 |         0 |      0 |  1538673898 |      0 |      0 |         0 
 44978 Thread 45 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-11 |  1319000 |   442000 |   527437308 |  17183811199 |         0 |      0 |  1373637454 |      0 |      0 |         0 
 44979 Thread 46 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-12 |  1325000 |   476000 |   538928121 |  17574218730 |         0 |      0 |  1387247465 |      0 |      0 |         0 
 44980 Thread 47 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-13 |  1246000 |   454000 |   508940925 |  16588800574 |         0 |      0 |  1464421661 |      0 |      0 |         0 
 44981 Thread 48 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-14 |  1290000 |   449000 |   519607683 |  16969783765 |         0 |      0 |  1644030228 |      0 |      0 |         0 
 44982 Thread 49 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-15 |  1268000 |   521000 |   535644648 |  17458053496 |         0 |      0 |  1702506636 |      0 |      0 |         0 
 44983 Thread 50 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-16 |  1285000 |   420000 |   511748004 |  16638403874 |         0 |      0 |  1475399368 |      0 |      0 |         0 
 44984 Thread 51 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-17 |  1229000 |   470000 |   508377433 |  16579022402 |         0 |      0 |  1477942275 |      0 |      0 |         0 
 44985 Thread 52 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-18 |  1288000 |   479000 |   528685718 |  17242788792 |         0 |      0 |  1562109459 |      0 |      0 |         0 
 44986 Thread 53 - PartitionProcessorThre...8e-a373-ea0315a69f7f-0-19 |  1304000 |   429000 |   518405824 |  16910737593 |      3072 |      0 |  1513014447 |      0 |      0 |         0 
 44987 Thread 54 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-0 |  1182000 |   398000 |   474113039 |  15418042367 |         0 |      0 |  1524556163 |      0 |      0 |         0 
 44988 Thread 55 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-1 |  1270000 |   446000 |   514749863 |  16744843687 |         0 |      0 |  1616162969 |      0 |      0 |         0 
 44989 Thread 56 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-2 |  1306000 |   462000 |   530457195 |  17252733246 |         0 |      0 |  1641763141 |      0 |      0 |         0 
 44990 Thread 57 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-3 |  1333000 |   485000 |   546048175 |  17740854507 |         0 |      0 |  1441096466 |      0 |      0 |         0 
 44991 Thread 58 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-4 |  1252000 |   437000 |   506977808 |  16481725683 |         0 |      0 |  1540607259 |      0 |      0 |         0 
 44992 Thread 59 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-5 |  1278000 |   444000 |   515539406 |  16803004343 |         0 |      0 |  1771789570 |      0 |      0 |         0 
 44993 Thread 60 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-6 |  1290000 |   479000 |   529778203 |  17261757882 |         0 |      0 |  1449566186 |      0 |      0 |         0 
 44994 Thread 61 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-7 |  1217000 |   436000 |   494194234 |  16129451621 |         0 |      0 |  1358871807 |      0 |      0 |         0 
 44995 Thread 62 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-8 |  1333000 |   478000 |   542442910 |  17671865867 |         0 |      0 |  1791490496 |      0 |      0 |         0 
 44996 Thread 63 - PartitionProcessorThre...18e-a373-ea0315a69f7f-2-9 |  1305000 |   491000 |   538089710 |  17525052402 |         0 |      0 |  1786186267 |      0 |      0 |         0 
