                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 154811 Thread 1 - main                                                |  1002000 |   119000 |    75448931 |   7904512028 |  14803968 |   2048 |     4369871 |      0 |      0 |         0 
 154818 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |      108348 |      0 |      0 |         0 
 154819 Thread 3 - Finalizer                                           |     1000 |        0 |       16898 |      6212687 |      5120 |      0 |       32969 |      0 |      0 |         0 
 154820 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 154826 Thread 11 - Common-Cleaner                                     |     1000 |        0 |      351457 |      9886824 |         0 |      0 |      353068 |      0 |      0 |         0 
 154831 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |     1083285 |     29690527 |      1024 |      0 |       53707 |      0 |      0 |         0 
 154837 Thread 14 - RMI RenewClean-[10.231.182.152:35267]              |     1000 |     2000 |      248492 |     22245523 |         0 |      0 |       58205 |      0 |      0 |         0 
 154838 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |       55868 |      0 |      0 |         0 
 154841 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23746000 | 34004000 | 19969476390 | 569780671592 | 574364672 | 126976 | 11401217136 | 289523 |      0 |         0 
 154844 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   241000 |    48000 |    99312741 |   2848876585 |   4718592 |   6144 |    18655057 | 394610 |      0 |         0 
 154849 Thread 18 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-0 |  1030000 |   336000 |   464628180 |  13467991109 |     36864 |      0 |   932927455 |      0 |      0 |         0 
 154850 Thread 19 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-1 |   998000 |   410000 |   480733860 |  13897749953 |      9216 |      0 |  1030388508 |      0 |      0 |         0 
 154851 Thread 20 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-2 |   983000 |   363000 |   462635630 |  13290626718 |      8192 |      0 |  1019812599 |      0 |      0 |         0 
 154852 Thread 21 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-3 |  1043000 |   355000 |   478312079 |  13795241773 |         0 |      0 |   853935183 |      0 |      0 |         0 
 154853 Thread 22 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-4 |  1030000 |   376000 |   481534481 |  13883044457 |         0 |      0 |   933601304 |      0 |      0 |         0 
 154854 Thread 23 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-5 |  1036000 |   354000 |   476580680 |  13729772984 |         0 |      0 |   809410106 |      0 |      0 |         0 
 154855 Thread 24 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-6 |  1042000 |   409000 |   497272411 |  14326801140 |         0 |      0 |   816439670 |      0 |      0 |         0 
 154856 Thread 25 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-7 |  1030000 |   409000 |   492251868 |  14205438746 |         0 |      0 |   906801255 |      0 |      0 |         0 
 154857 Thread 26 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-8 |  1037000 |   379000 |   484529075 |  13980290078 |         0 |      0 |   728451235 |      0 |      0 |         0 
 154858 Thread 27 - PartitionProcessorThre...b6a-a482-2b99067d16b6-0-9 |  1052000 |   398000 |   497205028 |  14313528492 |         0 |      0 |   887943391 |      0 |      0 |         0 
 154859 Thread 28 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-10 |  1060000 |   392000 |   499083364 |  14336979441 |         0 |      0 |   937830788 |      0 |      0 |         0 
 154860 Thread 29 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-11 |  1019000 |   384000 |   481644524 |  13849072855 |         0 |      0 |   925276299 |      0 |      0 |         0 
 154861 Thread 30 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-12 |  1058000 |   379000 |   492858895 |  14189982855 |      1024 |      0 |   840468692 |      0 |      0 |         0 
 154862 Thread 31 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-13 |  1045000 |   354000 |   476582118 |  13802237293 |         0 |      0 |   685536543 |      0 |      0 |         0 
 154863 Thread 32 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-14 |  1010000 |   390000 |   478736743 |  13815733605 |         0 |      0 |   858571194 |      0 |      0 |         0 
 154864 Thread 33 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-15 |   941000 |   392000 |   457996063 |  13167141679 |         0 |      0 |   837607166 |      0 |      0 |         0 
 154865 Thread 34 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-16 |  1047000 |   368000 |   483334407 |  13967156796 |         0 |      0 |   862845681 |      0 |      0 |         0 
 154866 Thread 35 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-17 |  1052000 |   415000 |   504142821 |  14486673519 |         0 |      0 |   970317841 |      0 |      0 |         0 
 154867 Thread 36 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-18 |  1019000 |   411000 |   490462723 |  14120213011 |      3072 |      0 |   812929078 |      0 |      0 |         0 
 154868 Thread 37 - PartitionProcessorThre...6a-a482-2b99067d16b6-0-19 |  1038000 |   384000 |   487866028 |  14042336757 |         0 |      0 |   905065040 |      0 |      0 |         0 
 154872 Thread 38 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-0 |  1066000 |   335000 |   480965743 |  13850055281 |         0 |      0 |   956551295 |      0 |      0 |         0 
 154873 Thread 39 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-1 |  1019000 |   400000 |   490517418 |  14029099304 |         0 |      0 |   914295956 |      0 |      0 |         0 
 154874 Thread 40 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-2 |  1098000 |   401000 |   517328274 |  14820811296 |         0 |      0 |   928657848 |      0 |      0 |         0 
 154875 Thread 41 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-3 |  1074000 |   403000 |   510054418 |  14603297390 |         0 |      0 |   888162589 |      0 |      0 |         0 
 154876 Thread 42 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-4 |   988000 |   380000 |   469985372 |  13524836605 |         0 |      0 |  1015055937 |      0 |      0 |         0 
 154877 Thread 43 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-5 |  1021000 |   383000 |   485498305 |  13881672039 |         0 |      0 |   889845742 |      0 |      0 |         0 
 154878 Thread 44 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-6 |  1087000 |   381000 |   506852957 |  14514159620 |         0 |      0 |  1101904344 |      0 |      0 |         0 
 154879 Thread 45 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-7 |   984000 |   372000 |   465618407 |  13406638726 |         0 |      0 |   928312101 |      0 |      0 |         0 
 154880 Thread 46 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-8 |   950000 |   344000 |   445783426 |  12794023902 |         0 |      0 |   817020267 |      0 |      0 |         0 
 154881 Thread 47 - PartitionProcessorThre...b6a-a482-2b99067d16b6-1-9 |  1023000 |   343000 |   468121481 |  13505588613 |         0 |      0 |   792715910 |      0 |      0 |         0 
 154882 Thread 48 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-10 |  1025000 |   359000 |   476319028 |  13683807980 |         0 |      0 |  1056235774 |      0 |      0 |         0 
 154883 Thread 49 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-11 |  1025000 |   368000 |   477749930 |  13772389152 |         0 |      0 |   765595887 |      0 |      0 |         0 
 154884 Thread 50 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-12 |  1075000 |   405000 |   507217313 |  14632668449 |      1024 |      0 |  1007682799 |      0 |      0 |         0 
 154885 Thread 51 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-13 |  1022000 |   400000 |   488832762 |  14059489742 |         0 |      0 |   875547726 |      0 |      0 |         0 
 154886 Thread 52 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-14 |  1004000 |   405000 |   486050258 |  13931041195 |         0 |      0 |   819956308 |      0 |      0 |         0 
 154887 Thread 53 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-15 |  1030000 |   394000 |   492891403 |  14079249597 |         0 |      0 |   872678955 |      0 |      0 |         0 
 154888 Thread 54 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-16 |  1065000 |   345000 |   486642719 |  13940803539 |         0 |      0 |   857735321 |      0 |      0 |         0 
 154889 Thread 55 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-17 |   978000 |   379000 |   467538520 |  13416725363 |         0 |      0 |   794410882 |      0 |      0 |         0 
 154890 Thread 56 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-18 |  1028000 |   376000 |   482790016 |  13881548351 |         0 |      0 |  1079162121 |      0 |      0 |         0 
 154891 Thread 57 - PartitionProcessorThre...6a-a482-2b99067d16b6-1-19 |   984000 |   364000 |   466119028 |  13327932672 |         0 |      0 |  1005360297 |      0 |      0 |         0 
 154892 Thread 58 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-0 |  1033000 |   370000 |   485340286 |  13872009652 |         0 |      0 |   769433190 |      0 |      0 |         0 
 154893 Thread 59 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-1 |  1037000 |   406000 |   499168469 |  14267418382 |         0 |      0 |   902872080 |      0 |      0 |         0 
 154894 Thread 60 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-2 |  1047000 |   397000 |   499482684 |  14276911160 |         0 |      0 |   999601866 |      0 |      0 |         0 
 154895 Thread 61 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-3 |  1059000 |   332000 |   482629579 |  13753023316 |         0 |      0 |   809592797 |      0 |      0 |         0 
 154896 Thread 62 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-4 |   995000 |   374000 |   473077864 |  13535577765 |         0 |      0 |   877314474 |      0 |      0 |         0 
 154897 Thread 63 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-5 |  1002000 |   389000 |   482785379 |  13753271070 |         0 |      0 |   826159756 |      0 |      0 |         0 
 154898 Thread 64 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-6 |   974000 |   383000 |   467939200 |  13416928656 |         0 |      0 |   945751820 |      0 |      0 |         0 
 154899 Thread 65 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-7 |  1018000 |   389000 |   487681891 |  13911719855 |         0 |      0 |   840149481 |      0 |      0 |         0 
 154900 Thread 66 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-8 |  1020000 |   371000 |   481269989 |  13753034195 |         0 |      0 |   775569098 |      0 |      0 |         0 
 154901 Thread 67 - PartitionProcessorThre...b6a-a482-2b99067d16b6-2-9 |  1061000 |   408000 |   507903141 |  14524496609 |         0 |      0 |  1016362251 |      0 |      0 |         0 
 154902 Thread 68 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-10 |  1050000 |   366000 |   489824489 |  14000203531 |      1024 |      0 |   915226620 |      0 |      0 |         0 
 154903 Thread 69 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-11 |   985000 |   354000 |   463483090 |  13238920465 |         0 |      0 |   913838232 |      0 |      0 |         0 
 154904 Thread 70 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-12 |  1010000 |   408000 |   489655668 |  14019954140 |         0 |      0 |   921082034 |      0 |      0 |         0 
 154905 Thread 71 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-13 |  1007000 |   373000 |   477713504 |  13644460500 |         0 |      0 |   828915796 |      0 |      0 |         0 
 154906 Thread 72 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-14 |  1011000 |   482000 |   517369028 |  14761698261 |         0 |      0 |  1029349917 |      0 |      0 |         0 
 154907 Thread 73 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-15 |   929000 |   371000 |   450391134 |  12853385820 |         0 |      0 |   871398806 |      0 |      0 |         0 
 154908 Thread 74 - PartitionProcessorThre...6a-a482-2b99067d16b6-2-16 |   955000 |   388000 |   464016973 |  13278792629 |         0 |      0 |   871645580 |      0 |      0 |         0 
