                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 65987 Thread 1 - main                                                |   569000 |    81000 |    41444623 |   4942591537 |  21054464 |   1024 |     7840164 |      0 |      0 |         0 
 66009 Thread 2 - Reference Handler                                   |     5000 |     1000 |      530703 |     45764960 |         0 |      0 |       63795 |      0 |      0 |         0 
 66010 Thread 3 - Finalizer                                           |     5000 |     1000 |      589390 |     46467414 |      5120 |      0 |      895143 |      0 |      0 |         0 
 66011 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 66012 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 66022 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30757000 | 32193000 | 20451372162 | 613027006276 | 637224960 | 132096 | 20407286232 | 162069 |      0 |         0 
 66024 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   181000 |    51000 |    73956030 |   2259603511 |   5926912 |   5120 |    17982575 | 249109 |      0 |         0 
 66027 Thread 14 - PartitionProcessorThre...586-aa40-019e89531a3a-0-0 |  1243000 |   473000 |   554775938 |  16727193395 |     34816 |      0 |  1286354553 |      0 |      0 |         0 
 66028 Thread 15 - PartitionProcessorThre...586-aa40-019e89531a3a-0-1 |  1226000 |   436000 |   541061208 |  16211772547 |      6144 |      0 |  1338561495 |      0 |      0 |         0 
 66029 Thread 16 - PartitionProcessorThre...586-aa40-019e89531a3a-0-2 |  1270000 |   430000 |   553129016 |  16581596973 |         0 |      0 |  1474246838 |      0 |      0 |         0 
 66030 Thread 17 - PartitionProcessorThre...586-aa40-019e89531a3a-0-3 |  1247000 |   459000 |   554512556 |  16636004657 |         0 |      0 |  1484416166 |      0 |      0 |         0 
 66031 Thread 18 - PartitionProcessorThre...586-aa40-019e89531a3a-0-4 |  1294000 |   414000 |   552779470 |  16658719137 |    117760 |      0 |  1663930453 |      0 |      0 |         0 
 66032 Thread 19 - PartitionProcessorThre...586-aa40-019e89531a3a-0-5 |  1214000 |   470000 |   548992989 |  16428834872 |         0 |      0 |  1668217777 |      0 |      0 |         0 
 66033 Thread 20 - PartitionProcessorThre...586-aa40-019e89531a3a-0-6 |  1212000 |   469000 |   546045755 |  16400985602 |      1024 |      0 |  1589422144 |      0 |      0 |         0 
 66034 Thread 21 - PartitionProcessorThre...586-aa40-019e89531a3a-0-7 |  1255000 |   443000 |   551788724 |  16565666403 |         0 |      0 |  1375249080 |      0 |      0 |         0 
 66035 Thread 22 - PartitionProcessorThre...586-aa40-019e89531a3a-0-8 |  1275000 |   468000 |   567929696 |  17006577168 |         0 |      0 |  1415687811 |      0 |      0 |         0 
 66036 Thread 23 - PartitionProcessorThre...586-aa40-019e89531a3a-0-9 |  1246000 |   468000 |   556721778 |  16724460121 |      3072 |      0 |  1453529990 |      0 |      0 |         0 
 66037 Thread 24 - PartitionProcessorThre...86-aa40-019e89531a3a-0-10 |  1305000 |   460000 |   572111626 |  17220347930 |         0 |      0 |  1612143814 |      0 |      0 |         0 
 66038 Thread 25 - PartitionProcessorThre...86-aa40-019e89531a3a-0-11 |  1233000 |   435000 |   543365919 |  16274766364 |         0 |      0 |  1602430007 |      0 |      0 |         0 
 66039 Thread 26 - PartitionProcessorThre...86-aa40-019e89531a3a-0-12 |  1227000 |   459000 |   548419349 |  16449094528 |         0 |      0 |  1463879093 |      0 |      0 |         0 
