                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 33780 Thread 1 - main                                                |   994000 |    93000 |    74863888 |   7659465536 |  14803968 |   1024 |     6799747 |      0 |      0 |         0 
 33787 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |      182811 |      0 |      0 |         0 
 33788 Thread 3 - Finalizer                                           |        0 |        0 |           0 |            0 |      5120 |      0 |       47408 |      0 |      0 |         0 
 33789 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        9208 |      0 |      0 |         0 
 33795 Thread 11 - Common-Cleaner                                     |     2000 |        0 |      210574 |     16252156 |         0 |      0 |      443602 |      0 |      0 |         0 
 33800 Thread 13 - RMI Scheduler(0)                                   |     3000 |     1000 |     1237273 |     36670984 |      1024 |      0 |       59760 |      0 |      0 |         0 
 33807 Thread 14 - RMI RenewClean-[10.231.182.152:41371]              |     1000 |     2000 |      249925 |     22245527 |         0 |      0 |           0 |      0 |      0 |         0 
 33808 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 33811 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23168000 | 33925000 | 21120274224 | 563158089110 | 574630912 | 106496 | 11422949317 |  37552 |      0 |         0 
 33813 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   195000 |    37000 |    82729308 |   2266977339 |   4500480 |   5120 |    30335173 | 210052 |      0 |         0 
 33816 Thread 18 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-0 |  1084000 |   401000 |   535195430 |  14623297066 |     32768 |      0 |  1019820204 |      0 |      0 |         0 
 33817 Thread 19 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-1 |  1059000 |   385000 |   524027129 |  14225401378 |         0 |      0 |  1048296164 |      0 |      0 |         0 
 33818 Thread 20 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-2 |  1116000 |   390000 |   543735610 |  14833120546 |         0 |      0 |  1088798427 |      0 |      0 |         0 
 33819 Thread 21 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-3 |  1042000 |   375000 |   511858926 |  13962189781 |      7168 |      0 |   878587572 |      0 |      0 |         0 
 33820 Thread 22 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-4 |  1051000 |   394000 |   525322938 |  14239968714 |         0 |      0 |  1017593379 |      0 |      0 |         0 
 33821 Thread 23 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-5 |   992000 |   354000 |   488920981 |  13265954547 |         0 |      0 |   930241752 |      0 |      0 |         0 
 33822 Thread 24 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-6 |  1057000 |   346000 |   506453903 |  13818985238 |         0 |      0 |  1076160014 |      0 |      0 |         0 
 33823 Thread 25 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-7 |  1088000 |   372000 |   529565832 |  14383278570 |         0 |      0 |  1028788944 |      0 |      0 |         0 
 33824 Thread 26 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-8 |  1045000 |   413000 |   528442211 |  14363914628 |         0 |      0 |  1106019010 |      0 |      0 |         0 
 33825 Thread 27 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-0-9 |  1064000 |   410000 |   535021735 |  14529197074 |         0 |      0 |  1197149918 |      0 |      0 |         0 
 33826 Thread 28 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-10 |  1037000 |   346000 |   502699790 |  13628943226 |      2048 |      0 |   957005613 |      0 |      0 |         0 
 33827 Thread 29 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-11 |  1069000 |   381000 |   529623094 |  14296232398 |      1024 |      0 |  1110492569 |      0 |      0 |         0 
 33828 Thread 30 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-12 |  1031000 |   434000 |   530743653 |  14428380898 |         0 |      0 |  1015614055 |      0 |      0 |         0 
 33829 Thread 31 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-13 |   986000 |   378000 |   492229766 |  13424270367 |         0 |      0 |   872661063 |      0 |      0 |         0 
 33830 Thread 32 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-14 |  1109000 |   363000 |   534036524 |  14501210171 |         0 |      0 |   993052339 |      0 |      0 |         0 
 33831 Thread 33 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-15 |  1099000 |   399000 |   542769930 |  14759366667 |      8192 |      0 |   970065864 |      0 |      0 |         0 
 33832 Thread 34 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-16 |  1054000 |   419000 |   533350547 |  14514311675 |         0 |      0 |  1066570306 |      0 |      0 |         0 
 33833 Thread 35 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-17 |  1041000 |   372000 |   508403493 |  13917220558 |         0 |      0 |  1100645254 |      0 |      0 |         0 
 33834 Thread 36 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-18 |  1091000 |   387000 |   536950282 |  14559221097 |         0 |      0 |   983039325 |      0 |      0 |         0 
 33835 Thread 37 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-0-19 |  1011000 |   434000 |   523065989 |  14236004589 |         0 |      0 |   945974502 |      0 |      0 |         0 
 33841 Thread 38 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-0 |  1043000 |   372000 |   524781922 |  13990406730 |         0 |      0 |  1002206479 |      0 |      0 |         0 
 33842 Thread 39 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-1 |   981000 |   362000 |   497859454 |  13278615375 |         0 |      0 |  1131280901 |      0 |      0 |         0 
 33843 Thread 40 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-2 |   971000 |   357000 |   490919110 |  13129631031 |         0 |      0 |  1011610252 |      0 |      0 |         0 
 33844 Thread 41 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-3 |  1054000 |   424000 |   548448860 |  14613328171 |         0 |      0 |   953675422 |      0 |      0 |         0 
 33845 Thread 42 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-4 |   961000 |   407000 |   507588293 |  13524863105 |         0 |      0 |  1016548807 |      0 |      0 |         0 
 33846 Thread 43 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-5 |  1044000 |   386000 |   529996840 |  14138409804 |         0 |      0 |   928064636 |      0 |      0 |         0 
 33847 Thread 44 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-6 |  1003000 |   394000 |   518313680 |  13812154711 |         0 |      0 |  1070867293 |      0 |      0 |         0 
 33848 Thread 45 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-7 |   928000 |   338000 |   468294122 |  12517149574 |      8192 |      0 |   886256148 |      0 |      0 |         0 
 33849 Thread 46 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-8 |   971000 |   375000 |   496715856 |  13307867945 |         0 |      0 |  1096731343 |      0 |      0 |         0 
 33850 Thread 47 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-1-9 |  1003000 |   376000 |   512849126 |  13634411105 |         0 |      0 |  1024306890 |      0 |      0 |         0 
 33851 Thread 48 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-10 |  1026000 |   383000 |   523508102 |  13930815296 |         0 |      0 |   916765781 |      0 |      0 |         0 
 33852 Thread 49 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-11 |  1059000 |   404000 |   540599883 |  14464776402 |         0 |      0 |  1024405974 |      0 |      0 |         0 
 33853 Thread 50 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-12 |  1037000 |   389000 |   527602938 |  14099201585 |         0 |      0 |   942438934 |      0 |      0 |         0 
 33854 Thread 51 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-13 |  1003000 |   376000 |   510609801 |  13634080246 |         0 |      0 |  1053826046 |      0 |      0 |         0 
 33855 Thread 52 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-14 |   980000 |   404000 |   511185399 |  13683535574 |         0 |      0 |   981668864 |      0 |      0 |         0 
 33856 Thread 53 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-15 |   994000 |   359000 |   500877930 |  13377303160 |         0 |      0 |   940232255 |      0 |      0 |         0 
 33857 Thread 54 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-16 |   942000 |   397000 |   495262157 |  13238817410 |         0 |      0 |   959987516 |      0 |      0 |         0 
 33858 Thread 55 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-17 |   943000 |   368000 |   485381946 |  12962106801 |         0 |      0 |  1000746330 |      0 |      0 |         0 
 33859 Thread 56 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-18 |  1003000 |   363000 |   506149489 |  13505591437 |         0 |      0 |   951407191 |      0 |      0 |         0 
 33860 Thread 57 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-1-19 |   986000 |   391000 |   511023016 |  13614446894 |         0 |      0 |   896507661 |      0 |      0 |         0 
 33863 Thread 58 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-0 |  1043000 |   424000 |   542316918 |  14504830992 |         0 |      0 |   886191630 |      0 |      0 |         0 
 33864 Thread 59 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-1 |  1031000 |   388000 |   525658637 |  14030156160 |         0 |      0 |   927222720 |      0 |      0 |         0 
 33865 Thread 60 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-2 |  1080000 |   413000 |   551977840 |  14761781226 |         0 |      0 |   975563095 |      0 |      0 |         0 
 33866 Thread 61 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-3 |   934000 |   366000 |   480841239 |  12853343133 |         0 |      0 |   985087891 |      0 |      0 |         0 
 33867 Thread 62 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-4 |  1027000 |   381000 |   522891622 |  13921419773 |         0 |      0 |  1028943509 |      0 |      0 |         0 
 33868 Thread 63 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-5 |   989000 |   366000 |   501889098 |  13397568312 |         0 |      0 |   863900768 |      0 |      0 |         0 
 33869 Thread 64 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-6 |   949000 |   370000 |   489900594 |  13041394715 |         0 |      0 |   919221611 |      0 |      0 |         0 
 33870 Thread 65 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-7 |   975000 |   382000 |   504618434 |  13417063285 |         0 |      0 |   886391090 |      0 |      0 |         0 
 33871 Thread 66 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-8 |   979000 |   363000 |   497600055 |  13268932781 |         0 |      0 |   906442299 |      0 |      0 |         0 
 33872 Thread 67 - PartitionProcessorThre...16f-afe7-bbb7c12f7f3f-2-9 |   971000 |   336000 |   487519997 |  12922736215 |         0 |      0 |   916189897 |      0 |      0 |         0 
 33873 Thread 68 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-10 |  1005000 |   358000 |   506955110 |  13476440109 |         0 |      0 |   848940020 |      0 |      0 |         0 
 33874 Thread 69 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-11 |  1004000 |   393000 |   518820481 |  13812600554 |         0 |      0 |   956682567 |      0 |      0 |         0 
 33875 Thread 70 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-12 |  1042000 |   427000 |   546701828 |  14524480265 |         0 |      0 |  1041687786 |      0 |      0 |         0 
 33876 Thread 71 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-13 |   971000 |   378000 |   499904817 |  13338057961 |         0 |      0 |   969267051 |      0 |      0 |         0 
 33877 Thread 72 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-14 |   991000 |   365000 |   501742739 |  13407302371 |         0 |      0 |   874077238 |      0 |      0 |         0 
 33878 Thread 73 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-15 |   982000 |   402000 |   511046840 |  13684009195 |         0 |      0 |  1093055253 |      0 |      0 |         0 
 33879 Thread 74 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-16 |   995000 |   392000 |   508769930 |  13713547754 |         0 |      0 |  1029800523 |      0 |      0 |         0 
 33880 Thread 75 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-17 |   953000 |   365000 |   487677551 |  13031606793 |         0 |      0 |   985398727 |      0 |      0 |         0 
 33881 Thread 76 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-18 |   994000 |   379000 |   507457989 |  13575476828 |         0 |      0 |   972661879 |      0 |      0 |         0 
 33882 Thread 77 - PartitionProcessorThre...6f-afe7-bbb7c12f7f3f-2-19 |   959000 |   434000 |   515794934 |  13772997300 |         0 |      0 |   847129139 |      0 |      0 |         0 
 34230 Thread 78 - process reaper                                     |     2000 |     1000 |     1198101 |     29749917 |      1024 |      0 |       48988 |      0 |      0 |         0 
 34233 Thread 79 - Attach Listener                                    |   109000 |    96000 |    80211753 |   2031768405 |   4657152 | 118784 |      408272 |      0 |      0 |         0 
