                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 45688 Thread 1 - main                                                |   993000 |   115000 |    73675814 |   7789584595 |  14834688 |   1024 |     7290980 |      0 |      0 |         0 
 45695 Thread 2 - Reference Handler                                   |        0 |        0 |           0 |            0 |         0 |      0 |     5127388 |      0 |      0 |         0 
 45696 Thread 3 - Finalizer                                           |        0 |     1000 |       16882 |      6148687 |      5120 |      0 |       36440 |      0 |      0 |         0 
 45697 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 45703 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 45710 Thread 13 - RMI Scheduler(0)                                   |     1000 |     1000 |      411386 |     16802277 |      1024 |      0 |      214923 |      0 |      0 |         0 
 45716 Thread 14 - RMI RenewClean-[10.231.182.152:42302]              |     2000 |        0 |      162507 |     14678003 |         0 |      0 |        8793 |      0 |      0 |         0 
 45717 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 45720 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 24660000 | 36337000 | 20140882882 | 602031442499 | 625275904 |  98304 | 12759998075 | 118837 |      0 |         0 
 45722 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    37000 |    72986190 |   2209230655 |   5149696 |   4096 |    22676235 | 347253 |      0 |         0 
 45726 Thread 18 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-0 |  1111000 |   466000 |   512419227 |  15581108359 |     32768 |      0 |   913481517 |      0 |      0 |         0 
 45727 Thread 19 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-1 |  1122000 |   447000 |   512398266 |  15509704909 |         0 |      0 |  1075871045 |      0 |      0 |         0 
 45728 Thread 20 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-2 |  1060000 |   387000 |   473457536 |  14307804804 |         0 |      0 |   993802625 |      0 |      0 |         0 
 45729 Thread 21 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-3 |  1021000 |   378000 |   456598165 |  13832724308 |         0 |      0 |   951952452 |      0 |      0 |         0 
 45730 Thread 22 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-4 |  1110000 |   387000 |   485390930 |  14801562292 |         0 |      0 |   816491400 |      0 |      0 |         0 
 45731 Thread 23 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-5 |  1081000 |   441000 |   496060086 |  15047784937 |      1024 |      0 |  1028128228 |      0 |      0 |         0 
 45732 Thread 24 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-6 |  1023000 |   371000 |   454490106 |  13779108640 |         0 |      0 |   769630076 |      0 |      0 |         0 
 45733 Thread 25 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-7 |  1093000 |   411000 |   484989254 |  14870483886 |      8192 |      0 |   881630028 |      0 |      0 |         0 
 45734 Thread 26 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-8 |  1059000 |   454000 |   490946899 |  14957864245 |      5120 |      0 |   893018477 |      0 |      0 |         0 
 45735 Thread 27 - PartitionProcessorThre...50e-9ffa-1746c1de9c47-0-9 |  1080000 |   405000 |   482097477 |  14683293734 |         0 |      0 |   898741762 |      0 |      0 |         0 
 45736 Thread 28 - PartitionProcessorThre...0e-9ffa-1746c1de9c47-0-10 |  1086000 |   447000 |   498753649 |  15158129792 |      3072 |      0 |   863896234 |      0 |      0 |         0 
 45737 Thread 29 - PartitionProcessorThre...0e-9ffa-1746c1de9c47-0-11 |  1039000 |   430000 |   478006379 |  14517652515 |      1024 |      0 |   876988240 |      0 |      0 |         0 
 45738 Thread 30 - PartitionProcessorThre...0e-9ffa-1746c1de9c47-0-12 |  1038000 |   413000 |   468525122 |  14340441269 |         0 |      0 |   879341826 |      0 |      0 |         0 
 45739 Thread 31 - PartitionProcessorThre...0e-9ffa-1746c1de9c47-0-13 |  1087000 |   398000 |   480841899 |  14676878663 |         0 |      0 |   917866709 |      0 |      0 |         0 
 45740 Thread 32 - PartitionProcessorThre...0e-9ffa-1746c1de9c47-0-14 |  1133000 |   482000 |   528228207 |  15968807062 |         0 |      0 |   867569599 |      0 |      0 |         0 
