                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 76753 Thread 1 - main                                                |   548000 |    80000 |    38309260 |   4733553861 |  21054464 |   1024 |     7425592 |       0 |      0 |         0 
 76775 Thread 2 - Reference Handler                                   |    10000 |        0 |     1084414 |     78751476 |         0 |      0 |      201682 |       0 |      0 |         0 
 76776 Thread 3 - Finalizer                                           |     8000 |        0 |      779199 |     62002554 |      5120 |      0 |      891945 |       0 |      0 |         0 
 76777 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        2200 |       0 |      0 |         0 
 76778 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      304496 |      9756035 |         0 |      0 |           0 |       0 |      0 |         0 
 76791 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30486000 | 32548000 | 19035446022 | 613834988893 | 636607488 | 126976 | 19146312717 |   34463 |      0 |         0 
 76793 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   164000 |    61000 |    67796749 |   2193439038 |   6517760 |   4096 |    21816118 |  807084 |      0 |         0 
 76796 Thread 14 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-0 |  1327000 |   482000 |   545432339 |  17635015305 |     36864 |      0 |  1527877503 |       0 |      0 |         0 
 76797 Thread 15 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-1 |  1356000 |   440000 |   543842671 |  17521520996 |         0 |      0 |  1472290048 |       0 |      0 |         0 
 76798 Thread 16 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-2 |  1246000 |   454000 |   513556219 |  16585970434 |         0 |      0 |  1560302516 |       0 |      0 |         0 
 76799 Thread 17 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-3 |  1311000 |   461000 |   534038773 |  17286261364 |    117760 |      0 |  1469990744 |       0 |      0 |         0 
 76800 Thread 18 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-4 |  1232000 |   460000 |   511457746 |  16508581551 |      3072 |      0 |  1269168898 |       0 |      0 |         0 
 76801 Thread 19 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-5 |  1238000 |   501000 |   525181781 |  16967829200 |         0 |      0 |  1257211764 |       0 |      0 |         0 
 76802 Thread 20 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-6 |  1272000 |   472000 |   526377359 |  17016378336 |         0 |      0 |  1312687919 |       0 |      0 |         0 
 76803 Thread 21 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-7 |  1268000 |   510000 |   537133668 |  17343708407 |         0 |      0 |  1277845948 |       0 |      0 |         0 
 76804 Thread 22 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-8 |  1316000 |   466000 |   536981605 |  17388254950 |         0 |      0 |  1280968735 |       0 |      0 |         0 
 76805 Thread 23 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-0-9 |  1314000 |   492000 |   545902543 |  17621186086 |      1024 |      0 |  1484744017 |       0 |      0 |         0 
 76806 Thread 24 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-10 |  1218000 |   387000 |   485767125 |  15661737016 |         0 |      0 |  1412367091 | 3886436 |      0 |         0 
 76807 Thread 25 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-11 |  1356000 |   458000 |   548671531 |  17699523598 |         0 |      0 |  1397011225 |       0 |      0 |         0 
 76808 Thread 26 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-12 |  1334000 |   494000 |   552146097 |  17836372504 |         0 |      0 |  1507793414 |       0 |      0 |         0 
 76809 Thread 27 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-13 |  1308000 |   438000 |   527501293 |  17036662039 |         0 |      0 |  1542490576 |       0 |      0 |         0 
 76810 Thread 28 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-14 |  1273000 |   450000 |   520816683 |  16810985106 |      7168 |      0 |  1514035914 |       0 |      0 |         0 
 76811 Thread 29 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-15 |  1337000 |   475000 |   548487461 |  17680444571 |         0 |      0 |  1445574192 |       0 |      0 |         0 
 76812 Thread 30 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-16 |  1355000 |   487000 |   557086206 |  17973651375 |     34816 |      0 |  1423244044 |       0 |      0 |         0 
 76813 Thread 31 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-17 |  1271000 |   478000 |   529930781 |  17066454559 |         0 |      0 |  1418269165 |       0 |      0 |         0 
 76814 Thread 32 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-18 |  1363000 |   457000 |   550566707 |  17757685481 |         0 |      0 |  1222829701 |       0 |      0 |         0 
 76815 Thread 33 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-0-19 |  1284000 |   481000 |   534202441 |  17221685684 |         0 |      0 |  1332175717 |       0 |      0 |         0 
 76816 Thread 34 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-0 |  1187000 |   468000 |   501197840 |  16148609461 |         0 |      0 |  1214101300 |       0 |      0 |         0 
 76817 Thread 35 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-1 |  1207000 |   422000 |   495613512 |  15895910555 |         0 |      0 |  1333082845 |       0 |      0 |         0 
 76818 Thread 36 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-2 |  1283000 |   456000 |   528098152 |  16969830047 |         0 |      0 |  1495242558 |       0 |      0 |         0 
 76819 Thread 37 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-3 |  1252000 |   459000 |   519483570 |  16696358313 |         0 |      0 |  1285529854 |       0 |      0 |         0 
 76820 Thread 38 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-4 |  1298000 |   421000 |   521585304 |  16773376516 |         0 |      0 |  1356222850 |       0 |      0 |         0 
 76821 Thread 39 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-5 |  1324000 |   424000 |   530333867 |  17056780672 |         0 |      0 |  1354202142 |       0 |      0 |         0 
 76822 Thread 40 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-6 |  1189000 |   476000 |   506273828 |  16246797868 |         0 |      0 |  1162377807 |       0 |      0 |         0 
 76823 Thread 41 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-7 |  1222000 |   458000 |   509547305 |  16393978790 |         0 |      0 |  1488073557 |       0 |      0 |         0 
 76824 Thread 42 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-8 |  1277000 |   457000 |   525610996 |  16920896223 |         0 |      0 |  1463771163 |       0 |      0 |         0 
 76825 Thread 43 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-1-9 |  1281000 |   421000 |   516485972 |  16609125129 |         0 |      0 |  1301095888 |       0 |      0 |         0 
 76826 Thread 44 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-10 |  1314000 |   476000 |   543639125 |  17467026379 |         0 |      0 |  1238891550 |       0 |      0 |         0 
 76827 Thread 45 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-11 |  1220000 |   465000 |   510416785 |  16442621758 |         0 |      0 |  1323834737 |       0 |      0 |         0 
 76828 Thread 46 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-12 |  1191000 |   425000 |   490047715 |  15769760251 |      3072 |      0 |  1339731767 |       0 |      0 |         0 
 76829 Thread 47 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-13 |  1353000 |   479000 |   554464691 |  17876400574 |         0 |      0 |  1450248328 |       0 |      0 |         0 
 76830 Thread 48 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-14 |  1231000 |   461000 |   513302875 |  16510546290 |         0 |      0 |  1383167989 |       0 |      0 |         0 
 76831 Thread 49 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-15 |  1207000 |   425000 |   495975723 |  15926010766 |         0 |      0 |  1327911093 |       0 |      0 |         0 
 76832 Thread 50 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-16 |  1277000 |   461000 |   527837539 |  16959277442 |         0 |      0 |  1321094054 |       0 |      0 |         0 
 76833 Thread 51 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-17 |  1255000 |   418000 |   507286957 |  16324729508 |      1024 |      0 |  1229633016 |       0 |      0 |         0 
 76834 Thread 52 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-18 |  1221000 |   503000 |   523244293 |  16822189934 |         0 |      0 |  1464674099 |       0 |      0 |         0 
 76835 Thread 53 - PartitionProcessorThre...d7-abe0-10d5f3ce9852-1-19 |  1289000 |   468000 |   532605597 |  17144621133 |         0 |      0 |  1441756567 |       0 |      0 |         0 
 76836 Thread 54 - PartitionProcessorThre...cd7-abe0-10d5f3ce9852-2-0 |  1263000 |   458000 |   523256625 |  16794482907 |         0 |      0 |  1179899932 |       0 |      0 |         0 
