                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 74301 Thread 1 - main                                                |   598000 |    94000 |    42379584 |   5237143467 |  21054464 |   1024 |     9581733 |      0 |      0 |         0 
 74323 Thread 2 - Reference Handler                                   |     6000 |        0 |      611039 |     46605421 |         0 |      0 |     1698124 |      0 |      0 |         0 
 74324 Thread 3 - Finalizer                                           |     6000 |     1000 |      639421 |     53666539 |      5120 |      0 |     1972995 |      0 |      0 |         0 
 74325 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 74326 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 74335 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26892000 | 30078000 | 17419492197 | 554429264908 | 585864192 | 125952 | 17922457375 | 165024 |      0 |         0 
 74337 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   169000 |    49000 |    67116484 |   2124567257 |   5956608 |   4096 |    20433485 | 296750 |      0 |         0 
 74340 Thread 14 - PartitionProcessorThre...3b9-b055-7477e151533e-0-0 |  1272000 |   430000 |   518314161 |  16593516664 |    117760 |      0 |  1622256085 |      0 |      0 |         0 
 74341 Thread 15 - PartitionProcessorThre...3b9-b055-7477e151533e-0-1 |  1205000 |   398000 |   487326079 |  15619363055 |     35840 |      0 |  1521204514 |      0 |      0 |         0 
 74342 Thread 16 - PartitionProcessorThre...3b9-b055-7477e151533e-0-2 |  1224000 |   370000 |   485515618 |  15544267024 |         0 |      0 |  1609677588 |      0 |      0 |         0 
 74343 Thread 17 - PartitionProcessorThre...3b9-b055-7477e151533e-0-3 |  1240000 |   410000 |   504546125 |  16095273762 |         0 |      0 |  1579735057 |      0 |      0 |         0 
 74344 Thread 18 - PartitionProcessorThre...3b9-b055-7477e151533e-0-4 |  1291000 |   411000 |   519401633 |  16600351602 |         0 |      0 |  1436082093 |      0 |      0 |         0 
 74345 Thread 19 - PartitionProcessorThre...3b9-b055-7477e151533e-0-5 |  1226000 |   375000 |   487872383 |  15615899942 |         0 |      0 |  1463389846 |      0 |      0 |         0 
 74346 Thread 20 - PartitionProcessorThre...3b9-b055-7477e151533e-0-6 |  1204000 |   386000 |   484609255 |  15505703083 |      4096 |      0 |  1384751058 |      0 |      0 |         0 
 74347 Thread 21 - PartitionProcessorThre...3b9-b055-7477e151533e-0-7 |  1215000 |   456000 |   509564293 |  16298166250 |         0 |      0 |  1275636735 |      0 |      0 |         0 
 74348 Thread 22 - PartitionProcessorThre...3b9-b055-7477e151533e-0-8 |  1308000 |   424000 |   527398180 |  16888712313 |         0 |      0 |  1473845677 |      0 |      0 |         0 
