                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 30554 Thread 1 - main                                                |   845000 |   158000 |    68060943 |   7696489657 |  34330624 |   1024 |    18961672 |        0 |      0 |         0 
 30576 Thread 2 - Reference Handler                                   |     9000 |        0 |      893429 |     72076894 |         0 |      0 |     1721679 |        0 |      0 |         0 
 30577 Thread 3 - Finalizer                                           |     9000 |     1000 |     1095914 |     81207437 |     13312 |      0 |      690907 |        0 |      0 |         0 
 30578 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        9287 |        0 |      0 |         0 
 30579 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      311015 |      9759757 |         0 |      0 |       18545 |        0 |      0 |         0 
 30589 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      683687 |     27278320 |      4096 |      0 |      440812 |        0 |      0 |         0 
 30590 Thread 13 - RMI RenewClean-[10.231.182.152:35073]              |     1000 |        0 |       82753 |      7893257 |      1024 |      0 |        9882 |        0 |      0 |         0 
 30591 Thread 14 - GC Daemon                                          |        0 |     1000 |       82753 |      7893257 |         0 |      0 |           0 |        0 |      0 |         0 
 30593 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28643000 | 33556000 | 18863764717 | 606197475591 | 624714752 | 143360 | 19808340057 | 15044595 |      0 |         0 
 30595 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   237000 |    43000 |    83672550 |   2723133327 |   6281216 |   5120 |    34127014 |   919594 |      0 |         0 
 30598 Thread 17 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-0 |  1553000 |   494000 |   612189757 |  19952347959 |         0 |      0 |  1684549171 |        0 |      0 |         0 
 30599 Thread 18 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-1 |  1426000 |   475000 |   569455878 |  18525041596 |     33792 |      0 |  1634055151 |        0 |      0 |         0 
 30600 Thread 19 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-2 |  1545000 |   493000 |   613897460 |  19874412213 |         0 |      0 |  1811813222 |        0 |      0 |         0 
 30601 Thread 20 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-3 |  1451000 |   509000 |   588957909 |  19112898998 |         0 |      0 |  1657366553 |        0 |      0 |         0 
 30602 Thread 21 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-4 |  1465000 |   498000 |   588320198 |  19139541451 |         0 |      0 |  1625722105 |        0 |      0 |         0 
 30603 Thread 22 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-5 |  1397000 |   453000 |   553877355 |  18036667608 |         0 |      0 |  1443243595 |        0 |      0 |         0 
 30604 Thread 23 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-6 |  1456000 |   445000 |   570990171 |  18534375947 |      1024 |      0 |  1928586589 |        0 |      0 |         0 
 30605 Thread 24 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-7 |  1556000 |   508000 |   619584452 |  20124868053 |         0 |      0 |  1876298479 |        0 |      0 |         0 
 30606 Thread 25 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-8 |  1468000 |   484000 |   587594417 |  19031013959 |         0 |      0 |  1861802011 |        0 |      0 |         0 
 30607 Thread 26 - PartitionProcessorThre...263-8f48-1ff7dd8bb4f6-0-9 |  1453000 |   487000 |   582096757 |  18909456436 |      4096 |      0 |  1360951729 |        0 |      0 |         0 
 30608 Thread 27 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-10 |  1394000 |   503000 |   571081226 |  18496543666 |         0 |      0 |  1520832518 |        0 |      0 |         0 
 30609 Thread 28 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-11 |  1465000 |   446000 |   577833562 |  18638777565 |         0 |      0 |  1709760382 |        0 |      0 |         0 
 30610 Thread 29 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-12 |  1508000 |   447000 |   586240296 |  19060565983 |         0 |      0 |  1937763917 |        0 |      0 |         0 
 30611 Thread 30 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-13 |  1457000 |   467000 |   577252757 |  18757860088 |         0 |      0 |  1877343526 |        0 |      0 |         0 
 30612 Thread 31 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-14 |  1467000 |   490000 |   590593652 |  19086837346 |         0 |      0 |  1626034048 |        0 |      0 |         0 
 30613 Thread 32 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-15 |  1557000 |   479000 |   611946448 |  19851525713 |         0 |      0 |  1887826181 |        0 |      0 |         0 
 30614 Thread 33 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-16 |  1539000 |   466000 |   603581894 |  19549514662 |         0 |      0 |  1888192778 |        0 |      0 |         0 
 30615 Thread 34 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-17 |  1435000 |   479000 |   574055515 |  18659970889 |      4096 |      0 |  1881501186 |        0 |      0 |         0 
 30616 Thread 35 - PartitionProcessorThre...63-8f48-1ff7dd8bb4f6-0-18 |  1501000 |   428000 |   581910492 |  18810443932 |         0 |      0 |  1904016587 |        0 |      0 |         0 
