                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 28197 Thread 1 - main                                                |   855000 |   182000 |    68162423 |   7947006325 |  34324480 |   1024 |    10274349 |       0 |      0 |         0 
 28219 Thread 2 - Reference Handler                                   |     8000 |        0 |      893570 |     66200101 |         0 |      0 |     4441939 |       0 |      0 |         0 
 28220 Thread 3 - Finalizer                                           |     8000 |     1000 |      760738 |     70665964 |     19456 |      0 |     1099841 |       0 |      0 |         0 
 28221 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 28222 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2709 |       0 |      0 |         0 
 28231 Thread 12 - RMI Scheduler(0)                                   |     3000 |        0 |      882429 |     29272605 |      4096 |      0 |      315680 |       0 |      0 |         0 
 28232 Thread 13 - RMI RenewClean-[10.231.182.152:34286]              |        0 |     1000 |       82492 |      7764253 |      1024 |      0 |      424276 |       0 |      0 |         0 
 28233 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |       11533 |       0 |      0 |         0 
 28235 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26167000 | 30858000 | 16529483163 | 555471318135 | 573299712 | 144384 | 19089394065 |  325959 |      0 |         0 
 28238 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   223000 |    57000 |    80942659 |   2723696972 |   6445056 |   6144 |    32557438 | 3778625 |      0 |         0 
 28241 Thread 17 - PartitionProcessorThre...205-96af-3bc74a4fce03-0-0 |  1435000 |   428000 |   540249153 |  18156556307 |     34816 |      0 |  1882804774 |       0 |      0 |         0 
 28242 Thread 18 - PartitionProcessorThre...205-96af-3bc74a4fce03-0-1 |  1420000 |   402000 |   526392114 |  17763734636 |      4096 |      0 |  1673963713 |       0 |      0 |         0 
 28243 Thread 19 - PartitionProcessorThre...205-96af-3bc74a4fce03-0-2 |  1401000 |   406000 |   523262833 |  17623591397 |         0 |      0 |  1653886379 |       0 |      0 |         0 
 28244 Thread 20 - PartitionProcessorThre...205-96af-3bc74a4fce03-0-3 |  1356000 |   434000 |   518746255 |  17452975186 |         0 |      0 |  1748971145 |       0 |      0 |         0 
 28245 Thread 21 - PartitionProcessorThre...205-96af-3bc74a4fce03-0-4 |  1356000 |   445000 |   522869153 |  17565872366 |         0 |      0 |  1586657911 |       0 |      0 |         0 
