                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 102304 Thread 1 - main                                                |   562000 |    83000 |    38968885 |   4888754803 |  21055488 |   1024 |      689118 |       0 |      0 |         0 
 102326 Thread 2 - Reference Handler                                   |     5000 |        0 |      516097 |     38906855 |         0 |      0 |      610097 |       0 |      0 |         0 
 102327 Thread 3 - Finalizer                                           |     8000 |        0 |      902249 |     63419347 |      5120 |      0 |      622186 |       0 |      0 |         0 
 102328 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 102329 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 102340 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29523000 | 32559000 | 18212585832 | 604551137340 | 635970560 | 131072 | 19208118698 |  128112 |      0 |         0 
 102341 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   195000 |    37000 |    67934464 |   2261636394 |   7175168 |   4096 |    33225340 |  255799 |      0 |         0 
 102344 Thread 14 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-0 |  1301000 |   462000 |   515266898 |  17191966926 |     34816 |      0 |  1598000604 |       0 |      0 |         0 
 102345 Thread 15 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-1 |  1225000 |   454000 |   493673063 |  16383377192 |         0 |      0 |  1416567216 | 1139115 |      0 |         0 
 102346 Thread 16 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-2 |  1291000 |   421000 |   503451863 |  16704386207 |         0 |      0 |  1450058898 |       0 |      0 |         0 
 102347 Thread 17 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-3 |  1350000 |   425000 |   520657836 |  17320413996 |         0 |      0 |  1472327863 |       0 |      0 |         0 
 102348 Thread 18 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-4 |  1371000 |   476000 |   540364007 |  18022814508 |         0 |      0 |  1523460596 |       0 |      0 |         0 
 102349 Thread 19 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-5 |  1330000 |   468000 |   524644894 |  17539625688 |         0 |      0 |  1526326801 |       0 |      0 |         0 
 102350 Thread 20 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-6 |  1265000 |   467000 |   508109961 |  16894245176 |     43008 |      0 |  1674206692 |       0 |      0 |         0 
 102351 Thread 21 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-7 |  1382000 |   448000 |   535560359 |  17856052821 |         0 |      0 |  1432814402 |       0 |      0 |         0 
 102352 Thread 22 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-8 |  1370000 |   450000 |   532949160 |  17755179633 |      3072 |      0 |  1518570234 |       0 |      0 |         0 
 102353 Thread 23 - PartitionProcessorThre...06d-962b-dbea294ffd22-2-9 |  1371000 |   440000 |   529653164 |  17670858891 |         0 |      0 |  1452196215 |       0 |      0 |         0 
 102354 Thread 24 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-10 |  1344000 |   476000 |   533578718 |  17755749793 |         0 |      0 |  1509504263 |       0 |      0 |         0 
 102355 Thread 25 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-11 |  1340000 |   475000 |   531603875 |  17705282973 |         0 |      0 |  1379056087 |       0 |      0 |         0 
 102356 Thread 26 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-12 |  1303000 |   449000 |   513193113 |  17089640989 |    121856 |      0 |  1453835850 |       0 |      0 |         0 
 102357 Thread 27 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-13 |  1377000 |   415000 |   523134269 |  17480280223 |      3072 |      0 |  1274030100 |       0 |      0 |         0 
 102358 Thread 28 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-14 |  1383000 |   471000 |   545375125 |  18091266024 |         0 |      0 |  1576186443 |       0 |      0 |         0 
 102359 Thread 29 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-15 |  1366000 |   458000 |   535145976 |  17796619172 |         0 |      0 |  1592496929 |       0 |      0 |         0 
 102360 Thread 30 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-16 |  1280000 |   474000 |   516108762 |  17115024188 |      1024 |      0 |  1489475764 |       0 |      0 |         0 
 102361 Thread 31 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-17 |  1357000 |   470000 |   537033316 |  17824870891 |         0 |      0 |  1759490149 |       0 |      0 |         0 
 102362 Thread 32 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-18 |  1333000 |   450000 |   523191707 |  17397303735 |         0 |      0 |  1513396049 |       0 |      0 |         0 
 102363 Thread 33 - PartitionProcessorThre...6d-962b-dbea294ffd22-2-19 |  1291000 |   488000 |   522802058 |  17357766047 |         0 |      0 |  1468868312 |       0 |      0 |         0 
 102364 Thread 34 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-0 |  1307000 |   426000 |   509505121 |  16910071293 |         0 |      0 |  1388837996 |       0 |      0 |         0 
 102365 Thread 35 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-1 |  1225000 |   444000 |   492362656 |  16285764727 |         0 |      0 |  1290835294 |       0 |      0 |         0 
 102366 Thread 36 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-2 |  1241000 |   449000 |   497801371 |  16490107739 |         0 |      0 |  1398855153 |       0 |      0 |         0 
 102367 Thread 37 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-3 |  1273000 |   428000 |   500493168 |  16598287961 |         0 |      0 |  1500117722 |       0 |      0 |         0 
 102368 Thread 38 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-4 |  1259000 |   446000 |   503523387 |  16637228817 |         0 |      0 |  1262549432 |       0 |      0 |         0 
 102369 Thread 39 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-5 |  1280000 |   454000 |   510517238 |  16919853582 |         0 |      0 |  1387384194 |       0 |      0 |         0 
 102370 Thread 40 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-6 |  1271000 |   456000 |   508259219 |  16851828532 |         0 |      0 |  1581622166 |       0 |      0 |         0 
 102371 Thread 41 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-7 |  1293000 |   417000 |   503102203 |  16685683352 |         0 |      0 |  1596921067 |       0 |      0 |         0 
 102372 Thread 42 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-8 |  1270000 |   454000 |   507190480 |  16822871981 |         0 |      0 |  1456263249 |       0 |      0 |         0 
 102373 Thread 43 - PartitionProcessorThre...06d-962b-dbea294ffd22-0-9 |  1317000 |   499000 |   535877761 |  17721957090 |         0 |      0 |  1491149607 |       0 |      0 |         0 
 102374 Thread 44 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-10 |  1348000 |   453000 |   529433441 |  17574366571 |         0 |      0 |  1477207717 |       0 |      0 |         0 
 102375 Thread 45 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-11 |  1374000 |   434000 |   533802484 |  17643035375 |         0 |      0 |  1560602739 |       0 |      0 |         0 
 102376 Thread 46 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-12 |  1261000 |   428000 |   497615648 |  16481270532 |         0 |      0 |  1527545759 |       0 |      0 |         0 
 102377 Thread 47 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-13 |  1248000 |   471000 |   506690836 |  16774036579 |         0 |      0 |  1509128301 |       0 |      0 |         0 
 102378 Thread 48 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-14 |  1247000 |   420000 |   491590309 |  16266320579 |         0 |      0 |  1328177190 |       0 |      0 |         0 
 102379 Thread 49 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-15 |  1258000 |   472000 |   509895246 |  16881066661 |         0 |      0 |  1264421348 |       0 |      0 |         0 
 102380 Thread 50 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-16 |  1162000 |   421000 |   466377172 |  15446829208 |         0 |      0 |  1199407693 |       0 |      0 |         0 
 102381 Thread 51 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-17 |  1299000 |   437000 |   512340582 |  16939779528 |         0 |      0 |  1431364519 |       0 |      0 |         0 
 102382 Thread 52 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-18 |  1248000 |   431000 |   495644844 |  16383001969 |         0 |      0 |  1398563001 |       0 |      0 |         0 
 102383 Thread 53 - PartitionProcessorThre...6d-962b-dbea294ffd22-0-19 |  1270000 |   444000 |   504706390 |  16724607614 |         0 |      0 |  1454704778 |       0 |      0 |         0 
 102385 Thread 54 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-0 |  1278000 |   440000 |   507954387 |  16764978805 |         0 |      0 |  1807124949 |       0 |      0 |         0 
 102386 Thread 55 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-1 |  1364000 |   449000 |   536107687 |  17691307227 |         0 |      0 |  1484728803 |       0 |      0 |         0 
 102387 Thread 56 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-2 |  1258000 |   500000 |   519442242 |  17154517200 |         0 |      0 |  1585933796 |       0 |      0 |         0 
 102388 Thread 57 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-3 |  1269000 |   474000 |   515925730 |  17009388196 |         0 |      0 |  1565761257 |       0 |      0 |         0 
 102389 Thread 58 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-4 |  1360000 |   448000 |   534267242 |  17642762684 |         0 |      0 |  1619624291 |       0 |      0 |         0 
 102390 Thread 59 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-5 |  1313000 |   459000 |   523746215 |  17291909539 |         0 |      0 |  1536920718 |       0 |      0 |         0 
 102391 Thread 60 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-6 |  1364000 |   433000 |   531030195 |  17534793664 |         0 |      0 |  1595723796 |       0 |      0 |         0 
 102392 Thread 61 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-7 |  1271000 |   456000 |   510878332 |  16852173375 |         0 |      0 |  1355786436 |       0 |      0 |         0 
 102393 Thread 62 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-8 |  1301000 |   465000 |   521972961 |  17232136063 |         0 |      0 |  1493162244 |       0 |      0 |         0 
 102394 Thread 63 - PartitionProcessorThre...06d-962b-dbea294ffd22-1-9 |  1252000 |   467000 |   507834598 |  16773503157 |         0 |      0 |  1417059661 |       0 |      0 |         0 
 102395 Thread 64 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-10 |  1333000 |   432000 |   522540172 |  17223845067 |         0 |      0 |  1338519670 |       0 |      0 |         0 
 102396 Thread 65 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-11 |  1347000 |   439000 |   527128437 |  17427015117 |         0 |      0 |  1390544389 |       0 |      0 |         0 
 102397 Thread 66 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-12 |  1296000 |   458000 |   518642660 |  17115048207 |         0 |      0 |  1447454913 |       0 |      0 |         0 
 102398 Thread 67 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-13 |  1384000 |   470000 |   547366261 |  18091613817 |         0 |      0 |  1431868709 |       0 |      0 |         0 
 102399 Thread 68 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-14 |  1310000 |   465000 |   523289074 |  17320390364 |         0 |      0 |  1526692652 |       0 |      0 |         0 
 102400 Thread 69 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-15 |  1281000 |   505000 |   527640765 |  17428123700 |         0 |      0 |  1343378646 |       0 |      0 |         0 
 102401 Thread 70 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-16 |  1353000 |   498000 |   546113086 |  18062012320 |         0 |      0 |  1409093284 |       0 |      0 |         0 
 102402 Thread 71 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-17 |  1326000 |   478000 |   532874433 |  17603316824 |         0 |      0 |  1467568456 |       0 |      0 |         0 
 102403 Thread 72 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-18 |  1262000 |   448000 |   505169988 |  16686319629 |         0 |      0 |  1587933247 |       0 |      0 |         0 
 102404 Thread 73 - PartitionProcessorThre...6d-962b-dbea294ffd22-1-19 |  1382000 |   416000 |   531105785 |  17543854348 |         0 |      0 |  1629368397 |       0 |      0 |         0 
 102660 Thread 74 - process reaper                                     |     1000 |        0 |      309777 |      9785996 |      2048 |      0 |           0 |       0 |      0 |         0 
 102666 Thread 75 - Attach Listener                                    |   413000 |   127000 |   161958053 |   5277313077 |   5304320 | 203776 |    28709735 |       0 |      0 |         0 
