                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 99720 Thread 1 - main                                                |   577000 |    88000 |    41760584 |   5043936986 |  21055488 |   1024 |     4604970 |      0 |      0 |         0 
 99742 Thread 2 - Reference Handler                                   |     4000 |     1000 |      444210 |     38066394 |         0 |      0 |      798309 |      0 |      0 |         0 
 99743 Thread 3 - Finalizer                                           |     5000 |        0 |      720214 |     40718269 |      5120 |      0 |     1663516 |      0 |      0 |         0 
 99744 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |      118625 |      7836574 |         0 |      0 |           0 |      0 |      0 |         0 
 99745 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 99754 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26488000 | 29409000 | 17359207375 | 544067196215 | 585846784 | 129024 | 17538499018 | 153176 |      0 |         0 
 99756 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   178000 |    50000 |    71408108 |   2224853788 |   5992448 |   5120 |    34202328 | 337763 |      0 |         0 
 99759 Thread 14 - PartitionProcessorThre...f77-8b17-822b97f38792-0-0 |  1199000 |   421000 |   501023758 |  15780674922 |     33792 |      0 |  1442470904 |      0 |      0 |         0 
 99760 Thread 15 - PartitionProcessorThre...f77-8b17-822b97f38792-0-1 |  1270000 |   445000 |   530703958 |  16705135254 |    122880 |      0 |  1605289521 |      0 |      0 |         0 
 99761 Thread 16 - PartitionProcessorThre...f77-8b17-822b97f38792-0-2 |  1175000 |   385000 |   483126544 |  15202958137 |      3072 |      0 |  1478683990 |      0 |      0 |         0 
 99762 Thread 17 - PartitionProcessorThre...f77-8b17-822b97f38792-0-3 |  1160000 |   389000 |   481765883 |  15105295079 |         0 |      0 |  1541942594 |      0 |      0 |         0 
 99763 Thread 18 - PartitionProcessorThre...f77-8b17-822b97f38792-0-4 |  1258000 |   418000 |   519975598 |  16345552711 |         0 |      0 |  1419464994 |      0 |      0 |         0 
 99764 Thread 19 - PartitionProcessorThre...f77-8b17-822b97f38792-0-5 |  1168000 |   380000 |   482212278 |  15100616204 |         0 |      0 |  1476271712 |      0 |      0 |         0 
 99765 Thread 20 - PartitionProcessorThre...f77-8b17-822b97f38792-0-6 |  1187000 |   386000 |   485814360 |  15344129540 |         0 |      0 |  1414121469 |      0 |      0 |         0 
 99766 Thread 21 - PartitionProcessorThre...f77-8b17-822b97f38792-0-7 |  1176000 |   453000 |   504699399 |  15887922372 |     16384 |      0 |  1381123579 |      0 |      0 |         0 
 99767 Thread 22 - PartitionProcessorThre...f77-8b17-822b97f38792-0-8 |  1184000 |   398000 |   489918731 |  15428723040 |         0 |      0 |  1574464340 |      0 |      0 |         0 
 99768 Thread 23 - PartitionProcessorThre...f77-8b17-822b97f38792-0-9 |  1249000 |   432000 |   520565665 |  16396279215 |      1024 |      0 |  1474513101 |      0 |      0 |         0 
 99769 Thread 24 - PartitionProcessorThre...77-8b17-822b97f38792-0-10 |  1167000 |   395000 |   483852958 |  15234281294 |         0 |      0 |  1444953418 |      0 |      0 |         0 
 99770 Thread 25 - PartitionProcessorThre...77-8b17-822b97f38792-0-11 |  1180000 |   390000 |   486235262 |  15313475700 |         0 |      0 |  1257367220 |      0 |      0 |         0 
 99771 Thread 26 - PartitionProcessorThre...77-8b17-822b97f38792-0-12 |  1183000 |   364000 |   480322630 |  15088835985 |      1024 |      0 |  1467504166 |      0 |      0 |         0 
 99772 Thread 27 - PartitionProcessorThre...77-8b17-822b97f38792-0-13 |  1239000 |   393000 |   505386899 |  15918341501 |         0 |      0 |  1464277256 |      0 |      0 |         0 
 99773 Thread 28 - PartitionProcessorThre...77-8b17-822b97f38792-0-14 |  1229000 |   393000 |   501452149 |  15820199899 |         0 |      0 |  1472662043 |      0 |      0 |         0 
 99775 Thread 29 - PartitionProcessorThre...77-8b17-822b97f38792-0-15 |  1203000 |   390000 |   491383907 |  15538977813 |     23552 |      0 |  1419659784 |      0 |      0 |         0 
 99776 Thread 30 - PartitionProcessorThre...77-8b17-822b97f38792-0-16 |  1121000 |   411000 |   475748700 |  14944882606 |      3072 |      0 |  1303645436 |      0 |      0 |         0 
 99777 Thread 31 - PartitionProcessorThre...77-8b17-822b97f38792-0-17 |  1237000 |   425000 |   514163528 |  16210651645 |         0 |      0 |  1488577385 |      0 |      0 |         0 
 99778 Thread 32 - PartitionProcessorThre...77-8b17-822b97f38792-0-18 |  1244000 |   380000 |   504550219 |  15842404762 |         0 |      0 |  1458562828 |      0 |      0 |         0 
 99779 Thread 33 - PartitionProcessorThre...77-8b17-822b97f38792-0-19 |  1211000 |   384000 |   493496364 |  15559002493 |         0 |      0 |  1431905442 |      0 |      0 |         0 
 99782 Thread 34 - PartitionProcessorThre...f77-8b17-822b97f38792-1-0 |  1149000 |   385000 |   478593259 |  14964393235 |         0 |      0 |  1360714313 |      0 |      0 |         0 
 99783 Thread 35 - PartitionProcessorThre...f77-8b17-822b97f38792-1-1 |  1121000 |   420000 |   481121837 |  15033415173 |         0 |      0 |  1186355313 |      0 |      0 |         0 
 99784 Thread 36 - PartitionProcessorThre...f77-8b17-822b97f38792-1-2 |  1071000 |   414000 |   465143286 |  14486674145 |         0 |      0 |  1407561212 |      0 |      0 |         0 
 99785 Thread 37 - PartitionProcessorThre...f77-8b17-822b97f38792-1-3 |  1143000 |   411000 |   485934985 |  15159670087 |         0 |      0 |  1453105097 |      0 |      0 |         0 
