                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 36196 Thread 1 - main                                                |   598000 |    86000 |    42629041 |   5200960724 |  21203968 |   1024 |     9244570 |      0 |      0 |         0 
 36218 Thread 2 - Reference Handler                                   |     7000 |     2000 |     1015507 |     71190980 |         0 |      0 |      274492 |      0 |      0 |         0 
 36219 Thread 3 - Finalizer                                           |     8000 |        0 |     1113812 |     65368824 |      5120 |      0 |      413395 |      0 |      0 |         0 
 36220 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30015 |      7228289 |         0 |      0 |      367705 |      0 |      0 |         0 
 36221 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       11030 |      0 |      0 |         0 
 36230 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27431000 | 30100000 | 17189190966 | 560058611953 | 585590784 | 136192 | 17928371030 | 102236 |      0 |         0 
 36231 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    37000 |    64625913 |   2105707784 |   6119424 |   5120 |    19521783 | 379926 |      0 |         0 
 36234 Thread 14 - PartitionProcessorThre...1be-8849-44517ae080a2-1-0 |  1244000 |   461000 |   507617347 |  16609844500 |     33792 |      0 |  1381183820 |      0 |      0 |         0 
 36235 Thread 15 - PartitionProcessorThre...1be-8849-44517ae080a2-1-1 |  1192000 |   387000 |   470152984 |  15391086238 |      3072 |      0 |  1395715811 |      0 |      0 |         0 
 36236 Thread 16 - PartitionProcessorThre...1be-8849-44517ae080a2-1-2 |  1283000 |   417000 |   507118285 |  16575808785 |     64512 |      0 |  1304927618 |      0 |      0 |         0 
 36237 Thread 17 - PartitionProcessorThre...1be-8849-44517ae080a2-1-3 |  1153000 |   407000 |   466895160 |  15216241223 |      2048 |      0 |  1447572971 |      0 |      0 |         0 
 36238 Thread 18 - PartitionProcessorThre...1be-8849-44517ae080a2-1-4 |  1208000 |   396000 |   476389531 |  15636700914 |     56320 |      0 |  1416652678 |      0 |      0 |         0 
 36239 Thread 19 - PartitionProcessorThre...1be-8849-44517ae080a2-1-5 |  1172000 |   460000 |   488803109 |  15914997664 |         0 |      0 |  1330573907 |      0 |      0 |         0 
 36240 Thread 20 - PartitionProcessorThre...1be-8849-44517ae080a2-1-6 |  1194000 |   439000 |   488790254 |  15928214476 |         0 |      0 |  1304209780 |      0 |      0 |         0 
 36241 Thread 21 - PartitionProcessorThre...1be-8849-44517ae080a2-1-7 |  1159000 |   413000 |   468874145 |  15330495441 |         0 |      0 |  1364594381 |      0 |      0 |         0 
 36242 Thread 22 - PartitionProcessorThre...1be-8849-44517ae080a2-1-8 |  1240000 |   378000 |   482560180 |  15779558461 |         0 |      0 |  1439016268 |      0 |      0 |         0 
 36243 Thread 23 - PartitionProcessorThre...1be-8849-44517ae080a2-1-9 |  1237000 |   444000 |   503060793 |  16395642054 |         0 |      0 |  1310127420 |      0 |      0 |         0 
 36244 Thread 24 - PartitionProcessorThre...be-8849-44517ae080a2-1-10 |  1190000 |   373000 |   466897067 |  15244905941 |         0 |      0 |  1501352139 |      0 |      0 |         0 
 36245 Thread 25 - PartitionProcessorThre...be-8849-44517ae080a2-1-11 |  1121000 |   413000 |   456829336 |  14961373789 |         0 |      0 |  1196899170 |      0 |      0 |         0 
