                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 111985 Thread 1 - main                                                |   635000 |   112000 |    43726092 |   5669451252 |  21196800 |   1024 |     4950729 |      0 |      0 |         0 
 112007 Thread 2 - Reference Handler                                   |     6000 |        0 |      564648 |     46603499 |         0 |      0 |       79249 |      0 |      0 |         0 
 112008 Thread 3 - Finalizer                                           |     6000 |        0 |      564769 |     46603499 |     13312 |      0 |      738369 |      0 |      0 |         0 
 112009 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26683 |      7163285 |         0 |      0 |        5420 |      0 |      0 |         0 
 112010 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 112020 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 31505000 | 34651000 | 19533598001 | 644273166792 | 636704768 | 124928 | 21028370854 | 138075 |      0 |         0 
 112021 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   202000 |    47000 |    72993479 |   2425945956 |   6287360 |   5120 |    26788207 | 307348 |      0 |         0 
 112027 Thread 14 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-0 |  1272000 |   471000 |   512326372 |  16991074868 |     36864 |      0 |  1393540148 |      0 |      0 |         0 
 112028 Thread 15 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-1 |  1317000 |   460000 |   522648852 |  17336203915 |         0 |      0 |  1577961076 |      0 |      0 |         0 
 112029 Thread 16 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-2 |  1386000 |   453000 |   540070594 |  17938953610 |    122880 |      0 |  1621999367 |      0 |      0 |         0 
 112030 Thread 17 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-3 |  1439000 |   533000 |   582891695 |  19240583263 |         0 |      0 |  1632293793 |      0 |      0 |         0 
 112031 Thread 18 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-4 |  1370000 |   477000 |   544787282 |  18020302853 |         0 |      0 |  1605076324 |      0 |      0 |         0 
 112032 Thread 19 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-5 |  1498000 |   437000 |   569680930 |  18877865036 |         0 |      0 |  1343867688 |      0 |      0 |         0 
 112033 Thread 20 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-6 |  1389000 |   472000 |   548443997 |  18154175321 |         0 |      0 |  1644132544 |      0 |      0 |         0 
 112034 Thread 21 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-7 |  1425000 |   456000 |   553405442 |  18350032130 |         0 |      0 |  1630745440 |      0 |      0 |         0 
 112035 Thread 22 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-8 |  1395000 |   452000 |   544537625 |  18020814025 |         0 |      0 |  1542210512 |      0 |      0 |         0 
 112036 Thread 23 - PartitionProcessorThre...a06-b250-45fb49ae5921-0-9 |  1459000 |   521000 |   583769731 |  19319797419 |         0 |      0 |  1593363763 |      0 |      0 |         0 
 112037 Thread 24 - PartitionProcessorThre...06-b250-45fb49ae5921-0-10 |  1314000 |   508000 |   536506797 |  17776163450 |         0 |      0 |  1411928263 |      0 |      0 |         0 
 112038 Thread 25 - PartitionProcessorThre...06-b250-45fb49ae5921-0-11 |  1358000 |   451000 |   533682039 |  17650793650 |         0 |      0 |  1566691725 |      0 |      0 |         0 
 112039 Thread 26 - PartitionProcessorThre...06-b250-45fb49ae5921-0-12 |  1430000 |   519000 |   573459938 |  19016611505 |         0 |      0 |  1557431668 |      0 |      0 |         0 
 112040 Thread 27 - PartitionProcessorThre...06-b250-45fb49ae5921-0-13 |  1378000 |   492000 |   550247535 |  18245458478 |         0 |      0 |  1563828909 |      0 |      0 |         0 
 112041 Thread 28 - PartitionProcessorThre...06-b250-45fb49ae5921-0-14 |  1366000 |   482000 |   545139582 |  18030931735 |         0 |      0 |  1595214566 |      0 |      0 |         0 
 112042 Thread 29 - PartitionProcessorThre...06-b250-45fb49ae5921-0-15 |  1412000 |   468000 |   554905926 |  18344124142 |         0 |      0 |  1555920733 |      0 |      0 |         0 
 112043 Thread 30 - PartitionProcessorThre...06-b250-45fb49ae5921-0-16 |  1428000 |   482000 |   565061762 |  18636907427 |         0 |      0 |  1490782616 |      0 |      0 |         0 
 112044 Thread 31 - PartitionProcessorThre...06-b250-45fb49ae5921-0-17 |  1391000 |   519000 |   562687508 |  18632694630 |     43008 |      0 |  1537420573 |      0 |      0 |         0 
 112045 Thread 32 - PartitionProcessorThre...06-b250-45fb49ae5921-0-18 |  1297000 |   468000 |   519259489 |  17222596802 |         0 |      0 |  1411363433 |      0 |      0 |         0 
 112046 Thread 33 - PartitionProcessorThre...06-b250-45fb49ae5921-0-19 |  1325000 |   431000 |   517239504 |  17131656661 |         0 |      0 |  1671634439 |      0 |      0 |         0 
 112047 Thread 34 - PartitionProcessorThre...a06-b250-45fb49ae5921-2-0 |  1372000 |   485000 |   552248200 |  18120298157 |         0 |      0 |  1661878497 |      0 |      0 |         0 
