                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 139614 Thread 1 - main                                                |   556000 |    68000 |    39386455 |   4742940678 |  21055488 |   1024 |     2373653 |      0 |      0 |         0 
 139636 Thread 2 - Reference Handler                                   |     4000 |     1000 |      601769 |     39982628 |         0 |      0 |     8123406 |      0 |      0 |         0 
 139637 Thread 3 - Finalizer                                           |     4000 |        0 |      383503 |     30932273 |      5120 |      0 |     4333948 |      0 |      0 |         0 
 139638 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       26639 |      0 |      0 |         0 
 139639 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 139649 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30386000 | 32912000 | 19255167255 | 616383567799 | 635550720 | 132096 | 19005863329 |  96395 |      0 |         0 
 139650 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   167000 |    38000 |    61938276 |   1998192128 |   7593984 |   4096 |    16054895 | 331874 |      0 |         0 
 139653 Thread 14 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-0 |  1287000 |   411000 |   516272364 |  16559189122 |     33792 |      0 |  1388847794 |      0 |      0 |         0 
 139654 Thread 15 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-1 |  1256000 |   464000 |   523857699 |  16782252973 |         0 |      0 |  1207037711 |      0 |      0 |         0 
 139655 Thread 16 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-2 |  1304000 |   441000 |   526576684 |  17023052914 |         0 |      0 |  1341228212 |      0 |      0 |         0 
 139656 Thread 17 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-3 |  1272000 |   473000 |   527729406 |  17023555539 |    118784 |      0 |  1337879592 |      0 |      0 |         0 
 139657 Thread 18 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-4 |  1264000 |   521000 |   542001152 |  17412880387 |      3072 |      0 |  1365350590 |      0 |      0 |         0 
 139658 Thread 19 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-5 |  1246000 |   486000 |   527838258 |  16900917184 |         0 |      0 |  1427038748 |      0 |      0 |         0 
 139659 Thread 20 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-6 |  1275000 |   462000 |   527493024 |  16946691942 |         0 |      0 |  1467078259 |      0 |      0 |         0 
 139660 Thread 21 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-7 |  1243000 |   504000 |   531663594 |  17046541520 |         0 |      0 |  1156119812 |      0 |      0 |         0 
 139661 Thread 22 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-8 |  1260000 |   417000 |   508684426 |  16361019536 |         0 |      0 |  1277067554 |      0 |      0 |         0 
 139662 Thread 23 - PartitionProcessorThre...e19-8250-d96a46bd62fb-0-9 |  1280000 |   413000 |   511939278 |  16519304032 |         0 |      0 |  1317257588 |      0 |      0 |         0 
 139663 Thread 24 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-10 |  1339000 |   435000 |   540246028 |  17307726840 |      1024 |      0 |  1276111936 |      0 |      0 |         0 
 139664 Thread 25 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-11 |  1293000 |   471000 |   536799020 |  17208012075 |      2048 |      0 |  1222987011 |      0 |      0 |         0 
 139665 Thread 26 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-12 |  1298000 |   454000 |   531474867 |  17089750364 |         0 |      0 |  1466055380 |      0 |      0 |         0 
 139666 Thread 27 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-13 |  1292000 |   453000 |   532447653 |  17024586746 |      3072 |      0 |  1362240025 |      0 |      0 |         0 
 139667 Thread 28 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-14 |  1208000 |   446000 |   503570352 |  16136905973 |         0 |      0 |  1217509906 |      0 |      0 |         0 
 139668 Thread 29 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-15 |  1350000 |   470000 |   552879211 |  17754499110 |     40960 |      0 |  1188541787 |      0 |      0 |         0 
 139669 Thread 30 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-16 |  1311000 |   478000 |   543931719 |  17455613461 |         0 |      0 |  1458607174 |      0 |      0 |         0 
 139670 Thread 31 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-17 |  1279000 |   400000 |   510387754 |  16381842321 |      2048 |      0 |  1223279887 |      0 |      0 |         0 
 139671 Thread 32 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-18 |  1345000 |   440000 |   539397957 |  17414651907 |         0 |      0 |  1547849961 |      0 |      0 |         0 
 139672 Thread 33 - PartitionProcessorThre...19-8250-d96a46bd62fb-0-19 |  1250000 |   391000 |   498345696 |  16010064129 |      1024 |      0 |  1498113896 |      0 |      0 |         0 
 139673 Thread 34 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-0 |  1241000 |   467000 |   522806492 |  16666714426 |         0 |      0 |  1469753378 |      0 |      0 |         0 
 139675 Thread 35 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-1 |  1210000 |   398000 |   493202977 |  15690819383 |         0 |      0 |  1485832026 |      0 |      0 |         0 
 139676 Thread 36 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-2 |  1196000 |   434000 |   499538473 |  15905278688 |         0 |      0 |  1319078096 |      0 |      0 |         0 
 139677 Thread 37 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-3 |  1217000 |   453000 |   512336797 |  16296628208 |         0 |      0 |  1287912975 |      0 |      0 |         0 
 139678 Thread 38 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-4 |  1278000 |   417000 |   518205246 |  16539614665 |         0 |      0 |  1339038146 |      0 |      0 |         0 
 139679 Thread 39 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-5 |  1253000 |   433000 |   516951524 |  16452580032 |         0 |      0 |  1444302918 |      0 |      0 |         0 
 139680 Thread 40 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-6 |  1310000 |   430000 |   533905317 |  16979204735 |         0 |      0 |  1303470880 |      0 |      0 |         0 
 139681 Thread 41 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-7 |  1282000 |   419000 |   521898449 |  16599402532 |         0 |      0 |  1153080356 |      0 |      0 |         0 
 139682 Thread 42 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-8 |  1273000 |   427000 |   521793625 |  16588580262 |         0 |      0 |  1353105906 |      0 |      0 |         0 
 139683 Thread 43 - PartitionProcessorThre...e19-8250-d96a46bd62fb-2-9 |  1198000 |   463000 |   509237157 |  16207852184 |         0 |      0 |  1260779177 |      0 |      0 |         0 
 139684 Thread 44 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-10 |  1265000 |   448000 |   524667625 |  16715989610 |         0 |      0 |  1478479515 |      0 |      0 |         0 
 139685 Thread 45 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-11 |  1267000 |   452000 |   527636008 |  16774782555 |         0 |      0 |  1315584214 |      0 |      0 |         0 
 139686 Thread 46 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-12 |  1193000 |   450000 |   503695254 |  16032546700 |         0 |      0 |  1285805974 |      0 |      0 |         0 
 139687 Thread 47 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-13 |  1176000 |   460000 |   500605954 |  15964149883 |         0 |      0 |  1158502133 |      0 |      0 |         0 
 139688 Thread 48 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-14 |  1300000 |   422000 |   527583844 |  16803615606 |         0 |      0 |  1361099145 |      0 |      0 |         0 
 139689 Thread 49 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-15 |  1287000 |   476000 |   539690051 |  17203718305 |         0 |      0 |  1402589563 |      0 |      0 |         0 
 139690 Thread 50 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-16 |  1241000 |   448000 |   516643328 |  16480963059 |         0 |      0 |  1559704017 |      0 |      0 |         0 
 139691 Thread 51 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-17 |  1223000 |   435000 |   508176422 |  16179260715 |         0 |      0 |  1474298453 |      0 |      0 |         0 
 139692 Thread 52 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-18 |  1206000 |   445000 |   507299153 |  16110974567 |         0 |      0 |  1522031902 |      0 |      0 |         0 
 139693 Thread 53 - PartitionProcessorThre...19-8250-d96a46bd62fb-2-19 |  1198000 |   436000 |   501491653 |  15944611497 |         0 |      0 |  1381070918 |      0 |      0 |         0 
 139694 Thread 54 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-0 |  1213000 |   415000 |   498666954 |  15885067544 |         0 |      0 |  1564283615 |      0 |      0 |         0 
 139695 Thread 55 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-1 |  1218000 |   436000 |   507509934 |  16140056348 |         0 |      0 |  1562093298 |      0 |      0 |         0 
 139696 Thread 56 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-2 |  1231000 |   436000 |   510871188 |  16266365860 |         0 |      0 |  1623271882 |      0 |      0 |         0 
 139697 Thread 57 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-3 |  1264000 |   434000 |   522005043 |  16569567090 |         0 |      0 |  1288190406 |      0 |      0 |         0 
 139698 Thread 58 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-4 |  1220000 |   431000 |   506049379 |  16110357774 |         0 |      0 |  1339610446 |      0 |      0 |         0 
 139699 Thread 59 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-5 |  1216000 |   419000 |   500764118 |  15953884512 |         0 |      0 |  1412635064 |      0 |      0 |         0 
 139700 Thread 60 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-6 |  1151000 |   444000 |   489631622 |  15564304805 |         0 |      0 |  1308289885 |      0 |      0 |         0 
 139701 Thread 61 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-7 |  1225000 |   416000 |   503234438 |  16012624563 |         0 |      0 |  1422047288 |      0 |      0 |         0 
 139702 Thread 62 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-8 |  1283000 |   478000 |   539296856 |  17183336289 |         0 |      0 |  1266138370 |      0 |      0 |         0 
 139703 Thread 63 - PartitionProcessorThre...e19-8250-d96a46bd62fb-1-9 |  1228000 |   389000 |   495852032 |  15778452223 |         0 |      0 |  1360224805 |      0 |      0 |         0 
 139704 Thread 64 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-10 |  1229000 |   449000 |   513595829 |  16373585372 |         0 |      0 |  1448672572 |      0 |      0 |         0 
 139705 Thread 65 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-11 |  1164000 |   424000 |   487649860 |  15495803805 |      1024 |      0 |  1135472848 |      0 |      0 |         0 
 139706 Thread 66 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-12 |  1242000 |   447000 |   518226161 |  16481295309 |         0 |      0 |  1209631275 |      0 |      0 |         0 
 139707 Thread 67 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-13 |  1275000 |   474000 |   535454446 |  17066697961 |         0 |      0 |  1351028135 |      0 |      0 |         0 
 139708 Thread 68 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-14 |  1236000 |   453000 |   519053645 |  16481683000 |         0 |      0 |  1401785463 |      0 |      0 |         0 
 139709 Thread 69 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-15 |  1224000 |   492000 |   527317832 |  16745318293 |         0 |      0 |  1320004072 |      0 |      0 |         0 
 139710 Thread 70 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-16 |  1239000 |   475000 |   526606934 |  16725348801 |         0 |      0 |  1430897792 |      0 |      0 |         0 
 139711 Thread 71 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-17 |  1238000 |   450000 |   518207512 |  16471711860 |         0 |      0 |  1642502791 |      0 |      0 |         0 
 139712 Thread 72 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-18 |  1256000 |   448000 |   522442629 |  16627512063 |         0 |      0 |  1607610382 |      0 |      0 |         0 
 139713 Thread 73 - PartitionProcessorThre...19-8250-d96a46bd62fb-1-19 |  1242000 |   445000 |   516113946 |  16461212532 |         0 |      0 |  1571652129 |      0 |      0 |         0 
 140013 Thread 74 - process reaper                                     |     1000 |        0 |      315402 |      9785996 |      2048 |      0 |           0 |      0 |      0 |         0 
 140019 Thread 75 - Attach Listener                                    |   408000 |   111000 |   160047202 |   5072157249 |   5304320 | 295936 |    18704382 |      0 |      0 |         0 
