                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 22113 Thread 1 - main                                                |   561000 |    92000 |    41793971 |   4971075209 |  21055488 |   2048 |     5623963 |       0 |      0 |         0 
 22135 Thread 2 - Reference Handler                                   |    12000 |        0 |     1350234 |     94989070 |         0 |      0 |      582803 |       0 |      0 |         0 
 22136 Thread 3 - Finalizer                                           |    11000 |        0 |     1204093 |     86653054 |      5120 |      0 |      316332 |       0 |      0 |         0 
 22137 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       31226 |      7227285 |         0 |      0 |           0 |       0 |      0 |         0 
 22138 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        2002 |       0 |      0 |         0 
 22148 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30069000 | 32615000 | 18759893793 | 610413670453 | 636748800 | 140288 | 19802573695 |  135930 |      0 |         0 
 22149 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   210000 |    53000 |    78443546 |   2564076647 |   6391808 |   6144 |    36154392 | 2623902 |      0 |         0 
 22152 Thread 14 - PartitionProcessorThre...482-a10f-2e0794b42103-2-0 |  1277000 |   447000 |   516647950 |  16814960614 |      2048 |      0 |  1352027147 |       0 |      0 |         0 
 22153 Thread 15 - PartitionProcessorThre...482-a10f-2e0794b42103-2-1 |  1319000 |   437000 |   526138653 |  17120152965 |     33792 |      0 |  1524567951 |       0 |      0 |         0 
 22154 Thread 16 - PartitionProcessorThre...482-a10f-2e0794b42103-2-2 |  1340000 |   464000 |   542146333 |  17599258227 |         0 |      0 |  1608554348 |       0 |      0 |         0 
 22155 Thread 17 - PartitionProcessorThre...482-a10f-2e0794b42103-2-3 |  1347000 |   520000 |   558299965 |  18214321117 |         0 |      0 |  1248672483 |       0 |      0 |         0 
 22156 Thread 18 - PartitionProcessorThre...482-a10f-2e0794b42103-2-4 |  1275000 |   472000 |   525013825 |  17042480481 |         0 |      0 |  1544833476 |       0 |      0 |         0 
 22157 Thread 19 - PartitionProcessorThre...482-a10f-2e0794b42103-2-5 |  1252000 |   443000 |   506034825 |  16533235329 |         0 |      0 |  1373283010 |       0 |      0 |         0 
 22158 Thread 20 - PartitionProcessorThre...482-a10f-2e0794b42103-2-6 |  1353000 |   442000 |   534428708 |  17509733645 |      3072 |      0 |  1512827077 |       0 |      0 |         0 
 22159 Thread 21 - PartitionProcessorThre...482-a10f-2e0794b42103-2-7 |  1286000 |   480000 |   527400157 |  17229018325 |         0 |      0 |  1370821784 |       0 |      0 |         0 
 22160 Thread 22 - PartitionProcessorThre...482-a10f-2e0794b42103-2-8 |  1340000 |   469000 |   542474641 |  17651045727 |         0 |      0 |  1517101236 |       0 |      0 |         0 
 22161 Thread 23 - PartitionProcessorThre...482-a10f-2e0794b42103-2-9 |  1322000 |   431000 |   523498735 |  17102846403 |         0 |      0 |  1335250579 |       0 |      0 |         0 
 22162 Thread 24 - PartitionProcessorThre...82-a10f-2e0794b42103-2-10 |  1302000 |   454000 |   524289528 |  17132483188 |         0 |      0 |  1365109854 |       0 |      0 |         0 
 22163 Thread 25 - PartitionProcessorThre...82-a10f-2e0794b42103-2-11 |  1277000 |   438000 |   514243637 |  16733898957 |         0 |      0 |  1446771724 |       0 |      0 |         0 
 22164 Thread 26 - PartitionProcessorThre...82-a10f-2e0794b42103-2-12 |  1303000 |   472000 |   532554805 |  17317819489 |         0 |      0 |  1520508047 |       0 |      0 |         0 
 22165 Thread 27 - PartitionProcessorThre...82-a10f-2e0794b42103-2-13 |  1221000 |   435000 |   496385817 |  16154677778 |    118784 |      0 |  1615211391 |       0 |      0 |         0 
