                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 19706 Thread 1 - main                                                |   597000 |    79000 |    40240346 |   5122241115 |  21055488 |   1024 |     4916897 |      0 |      0 |         0 
 19728 Thread 2 - Reference Handler                                   |     5000 |     1000 |      818226 |     48554843 |         0 |      0 |      139931 |      0 |      0 |         0 
 19729 Thread 3 - Finalizer                                           |     7000 |        0 |      606964 |     53528531 |      5120 |      0 |      163668 |      0 |      0 |         0 
 19730 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30218 |      7227285 |         0 |      0 |           0 |      0 |      0 |         0 
 19731 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 19741 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 25644000 | 29158000 | 16447539301 | 533348971740 | 585532416 | 119808 | 18230234034 | 105472 |      0 |         0 
 19742 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   167000 |    57000 |    67321112 |   2182039530 |   6338560 |   4096 |    30873975 | 491565 |      0 |         0 
 19745 Thread 14 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-0 |  1232000 |   401000 |   487797938 |  15917273102 |     76800 |      0 |  1557826663 |      0 |      0 |         0 
 19746 Thread 15 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-1 |  1214000 |   408000 |   484759290 |  15799855172 |      3072 |      0 |  1434149672 |      0 |      0 |         0 
 19747 Thread 16 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-2 |  1294000 |   397000 |   504938110 |  16478369860 |    122880 |      0 |  1429687633 |      0 |      0 |         0 
 19748 Thread 17 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-3 |  1269000 |   454000 |   513233122 |  16801193282 |         0 |      0 |  1525759169 |      0 |      0 |         0 
 19749 Thread 18 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-4 |  1305000 |   394000 |   506910458 |  16566437528 |         0 |      0 |  1349633786 |      0 |      0 |         0 
 19750 Thread 19 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-5 |  1260000 |   407000 |   499130782 |  16256613786 |         0 |      0 |  1414275293 |      0 |      0 |         0 
 19751 Thread 20 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-6 |  1316000 |   417000 |   519608969 |  16901007161 |         0 |      0 |  1563086541 |      0 |      0 |         0 
 19752 Thread 21 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-7 |  1301000 |   437000 |   519148039 |  16953598270 |         0 |      0 |  1399663295 |      0 |      0 |         0 
 19753 Thread 22 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-8 |  1263000 |   413000 |   500847434 |  16348623211 |         0 |      0 |  1512721866 |      0 |      0 |         0 
 19754 Thread 23 - PartitionProcessorThre...9c2-89f0-79d57c34ffc6-2-9 |  1251000 |   395000 |   491724360 |  16056756719 |         0 |      0 |  1442107102 |      0 |      0 |         0 
 19755 Thread 24 - PartitionProcessorThre...c2-89f0-79d57c34ffc6-2-10 |  1175000 |   397000 |   470226677 |  15334574036 |         0 |      0 |  1515121659 |      0 |      0 |         0 
 19756 Thread 25 - PartitionProcessorThre...c2-89f0-79d57c34ffc6-2-11 |  1266000 |   409000 |   500402540 |  16337641930 |         0 |      0 |  1550792000 |      0 |      0 |         0 
 19757 Thread 26 - PartitionProcessorThre...c2-89f0-79d57c34ffc6-2-12 |  1331000 |   391000 |   514729141 |  16797467055 |         0 |      0 |  1669689989 |      0 |      0 |         0 
 19758 Thread 27 - PartitionProcessorThre...c2-89f0-79d57c34ffc6-2-13 |  1189000 |   395000 |   474295145 |  15451602563 |         0 |      0 |  1459758832 |      0 |      0 |         0 
