                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 98564 Thread 1 - main                                                |   799000 |    99000 |    60424111 |   6914055244 |  34535424 |   1024 |     8155053 |      0 |      0 |         0 
 98586 Thread 2 - Reference Handler                                   |     4000 |        0 |      380761 |     32411003 |         0 |      0 |      882257 |      0 |      0 |         0 
 98587 Thread 3 - Finalizer                                           |     4000 |        0 |      345183 |     31031890 |      5120 |      0 |     2116404 |      0 |      0 |         0 
 98588 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 98589 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 98598 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      371402 |     17523417 |      2048 |      0 |       18664 |      0 |      0 |         0 
 98599 Thread 13 - RMI RenewClean-[10.231.182.152:35733]              |        0 |     1000 |       82890 |      7828570 |      1024 |      0 |       13806 |      0 |      0 |         0 
 98600 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 98603 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 24683000 | 33593000 | 16748681835 | 567832104550 | 575210496 | 114688 | 14218773536 | 199890 |      0 |         0 
 98604 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   220000 |    33000 |    72747565 |   2464828479 |   4875264 |   5120 |    27186761 | 195473 |      0 |         0 
 98608 Thread 17 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-0 |  1089000 |   430000 |   436931919 |  14818681824 |      4096 |      0 |  1052921323 |      0 |      0 |         0 
 98609 Thread 18 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-1 |  1152000 |   385000 |   440561134 |  14995590675 |         0 |      0 |  1008336312 |      0 |      0 |         0 
 98610 Thread 19 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-2 |  1109000 |   355000 |   418861224 |  14282715769 |         0 |      0 |  1027312752 |      0 |      0 |         0 
 98611 Thread 20 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-3 |  1103000 |   363000 |   418008587 |  14294991469 |     30720 |      0 |  1130530418 |      0 |      0 |         0 
 98612 Thread 21 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-4 |  1090000 |   401000 |   426215083 |  14542904519 |         0 |      0 |  1124991707 |      0 |      0 |         0 
 98613 Thread 22 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-5 |  1113000 |   405000 |   434732868 |  14804595121 |         0 |      0 |  1092074221 |      0 |      0 |         0 
 98614 Thread 23 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-6 |  1153000 |   371000 |   435788677 |  14863707050 |         0 |      0 |  1136864381 |      0 |      0 |         0 
 98615 Thread 24 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-7 |  1116000 |   425000 |   438639337 |  15029621043 |         0 |      0 |  1220587715 |      0 |      0 |         0 
 98616 Thread 25 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-8 |  1091000 |   362000 |   414788274 |  14172970281 |         0 |      0 |  1207122661 |      0 |      0 |         0 
 98617 Thread 26 - PartitionProcessorThre...83a-95ee-bf06ad04c305-2-9 |  1078000 |   398000 |   421810677 |  14397320262 |         0 |      0 |  1123389851 |      0 |      0 |         0 
 98618 Thread 27 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-10 |  1108000 |   375000 |   423375579 |  14462635097 |         0 |      0 |  1178139554 |      0 |      0 |         0 
 98619 Thread 28 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-11 |  1135000 |   370000 |   429868684 |  14678721758 |         0 |      0 |  1064452701 |      0 |      0 |         0 
 98620 Thread 29 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-12 |  1140000 |   347000 |   426568802 |  14505102785 |      3072 |      0 |  1019217293 |      0 |      0 |         0 
 98621 Thread 30 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-13 |  1109000 |   404000 |   434135934 |  14758996594 |  10836992 |      0 |  1071534092 |      0 |      0 |         0 
 98622 Thread 31 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-14 |  1172000 |   389000 |   446560282 |  15228304957 |         0 |      0 |  1071528018 |      0 |      0 |         0 
 98623 Thread 32 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-15 |  1117000 |   396000 |   431060235 |  14755496886 |         0 |      0 |  1095779068 |      0 |      0 |         0 
 98624 Thread 33 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-16 |  1154000 |   434000 |   454150548 |  15492081304 |         0 |      0 |  1144996995 |      0 |      0 |         0 
 98625 Thread 34 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-17 |  1149000 |   370000 |   435809204 |  14821329074 |         0 |      0 |  1165048281 |      0 |      0 |         0 
 98626 Thread 35 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-18 |  1158000 |   397000 |   446840610 |  15170955894 |         0 |      0 |  1172994002 |      0 |      0 |         0 
 98627 Thread 36 - PartitionProcessorThre...3a-95ee-bf06ad04c305-2-19 |  1233000 |   407000 |   470292481 |  15999915226 |         0 |      0 |   939088308 |      0 |      0 |         0 
 98628 Thread 37 - PartitionProcessorThre...83a-95ee-bf06ad04c305-0-0 |  1104000 |   370000 |   424635634 |  14386275941 |         0 |      0 |   884139842 |      0 |      0 |         0 
