                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 61212 Thread 1 - main                                                |   829000 |   157000 |    65886314 |   7567860842 |  34139136 |   2048 |    17100371 |      0 |      0 |         0 
 61234 Thread 2 - Reference Handler                                   |     7000 |        0 |      730054 |     57336117 |         0 |      0 |      805899 |      0 |      0 |         0 
 61235 Thread 3 - Finalizer                                           |     5000 |     2000 |      672898 |     56503988 |      5120 |      0 |      287337 |      0 |      0 |         0 
 61236 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |       26703 |      7163285 |         0 |      0 |           0 |      0 |      0 |         0 
 61237 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 61247 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |     1114097 |     39030093 |      4096 |      0 |       26653 |      0 |      0 |         0 
 61249 Thread 13 - RMI RenewClean-[10.231.182.152:45203]              |     1000 |     1000 |      156968 |     15719488 |      1024 |      0 |        7608 |      0 |      0 |         0 
 61250 Thread 14 - GC Daemon                                          |     1000 |        0 |       75652 |      7893246 |         0 |      0 |           0 |      0 |      0 |         0 
 61252 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28374000 | 30224000 | 16377473203 | 570865909239 | 573779968 | 152576 | 18099925250 | 260600 |      0 |         0 
 61254 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   253000 |    60000 |    87429940 |   3044675468 |   6022144 |   6144 |    36425745 | 402949 |      0 |         0 
 61258 Thread 17 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-0 |  1269000 |   434000 |   474080930 |  16605893469 |     35840 |      0 |  1932502344 |      0 |      0 |         0 
 61259 Thread 18 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-1 |  1286000 |   399000 |   468360188 |  16428376126 |         0 |      0 |  1726955148 |      0 |      0 |         0 
 61260 Thread 19 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-2 |  1295000 |   399000 |   471928000 |  16520932930 |         0 |      0 |  1859951182 |      0 |      0 |         0 
 61261 Thread 20 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-3 |  1291000 |   442000 |   484478039 |  16901736770 |         0 |      0 |  1629227049 |      0 |      0 |         0 
 61262 Thread 21 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-4 |  1326000 |   395000 |   480929528 |  16789207837 |         0 |      0 |  1579169055 |      0 |      0 |         0 
 61263 Thread 22 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-5 |  1301000 |   402000 |   473916036 |  16606296977 |         0 |      0 |  1670328855 |      0 |      0 |         0 
 61264 Thread 23 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-6 |  1279000 |   427000 |   476952367 |  16640017571 |      1024 |      0 |  1829566968 |      0 |      0 |         0 
 61265 Thread 24 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-7 |  1348000 |   424000 |   492745461 |  17278851829 |         0 |      0 |  1762536603 |      0 |      0 |         0 
 61266 Thread 25 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-8 |  1289000 |   403000 |   473829965 |  16502297137 |     52224 |      0 |  1696021332 |      0 |      0 |         0 
 61267 Thread 26 - PartitionProcessorThre...4a4-8d73-b4f2fbcc7b7c-0-9 |  1323000 |   400000 |   479719981 |  16799122016 |      4096 |      0 |  1466291499 |      0 |      0 |         0 
 61268 Thread 27 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-10 |  1328000 |   425000 |   488472617 |  17095394270 |         0 |      0 |  1955125965 |      0 |      0 |         0 
 61269 Thread 28 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-11 |  1326000 |   409000 |   482093141 |  16919991954 |         0 |      0 |  1874502671 |      0 |      0 |         0 
 61270 Thread 29 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-12 |  1359000 |   424000 |   496541981 |  17387652700 |         0 |      0 |  1827100114 |      0 |      0 |         0 
 61271 Thread 30 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-13 |  1253000 |   394000 |   458220801 |  16060047759 |         0 |      0 |  1608387264 |      0 |      0 |         0 
 61272 Thread 31 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-14 |  1408000 |   439000 |   514442934 |  18010323950 |         0 |      0 |  1934174398 |      0 |      0 |         0 
 61273 Thread 32 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-15 |  1344000 |   465000 |   501642516 |  17634470415 |     65536 |      0 |  1763988255 |      0 |      0 |         0 
 61274 Thread 33 - PartitionProcessorThre...a4-8d73-b4f2fbcc7b7c-0-16 |  1310000 |   421000 |   484135934 |  16882272223 |         0 |      0 |  1866526110 |      0 |      0 |         0 
