                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 80435 Thread 1 - main                                                |   813000 |   137000 |    62096931 |   7271427998 |  34535424 |   1024 |    18827551 |      0 |      0 |         0 
 80486 Thread 2 - Reference Handler                                   |     5000 |        0 |      636187 |     42863246 |         0 |      0 |       76020 |      0 |      0 |         0 
 80487 Thread 3 - Finalizer                                           |     5000 |        0 |      636187 |     42863246 |      5120 |      0 |     1857656 |      0 |      0 |         0 
 80499 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6629 |      0 |      0 |         0 
 80500 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5076 |      0 |      0 |         0 
 80526 Thread 12 - RMI Scheduler(0)                                   |        0 |        0 |           0 |            0 |      2048 |      0 |       13780 |      0 |      0 |         0 
 80527 Thread 13 - RMI RenewClean-[10.231.182.152:38125]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 80528 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 80532 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 23558000 | 34924000 | 16971262990 | 569853239175 | 575263744 | 109568 | 14207085623 | 176658 |      0 |         0 
 80602 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   238000 |    28000 |    76902339 |   2592858241 |   4789248 |   5120 |    10138512 | 107186 |      0 |         0 
 80605 Thread 17 - PartitionProcessorThre...c42-ad90-6da86ecc227b-1-0 |  1081000 |   358000 |   417936845 |  14036375291 |      8192 |      0 |  1014376962 |      0 |      0 |         0 
 80606 Thread 18 - PartitionProcessorThre...c42-ad90-6da86ecc227b-1-1 |  1015000 |   390000 |   407931118 |  13701747081 |     34816 |      0 |   922342776 |      0 |      0 |         0 
 80607 Thread 19 - PartitionProcessorThre...c42-ad90-6da86ecc227b-1-2 |  1149000 |   342000 |   432305712 |  14543441701 |         0 |      0 |   999465192 |      0 |      0 |         0 
 80608 Thread 20 - PartitionProcessorThre...c42-ad90-6da86ecc227b-1-3 |  1058000 |   407000 |   426264833 |  14289223963 |         0 |      0 |   912681987 |      0 |      0 |         0 
 80609 Thread 21 - PartitionProcessorThre...c42-ad90-6da86ecc227b-1-4 |  1044000 |   369000 |   410049157 |  13785873889 |         0 |      0 |   976044081 |      0 |      0 |         0 
