                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 118302 Thread 1 - main                                                |   886000 |   165000 |    70442130 |   8077095865 |  34339840 |   1024 |     6468341 |      0 |      0 |         0 
 118324 Thread 2 - Reference Handler                                   |    10000 |        0 |      943410 |     79506933 |         0 |      0 |       50831 |      0 |      0 |         0 
 118325 Thread 3 - Finalizer                                           |     8000 |     1000 |      935699 |     73610058 |      5120 |      0 |     1293001 |      0 |      0 |         0 
 118326 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6416 |      0 |      0 |         0 
 118327 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       18099 |      0 |      0 |         0 
 118337 Thread 12 - RMI Scheduler(0)                                   |     4000 |        0 |      763554 |     35041585 |      4096 |      0 |     4730343 |      0 |      0 |         0 
 118338 Thread 13 - RMI RenewClean-[10.231.182.152:41388]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 118339 Thread 14 - GC Daemon                                          |     1000 |        0 |       82730 |      7893261 |         0 |      0 |           0 |      0 |      0 |         0 
 118341 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31932000 | 42918000 | 22278811286 | 729636547217 | 622808064 | 126976 | 21849944576 | 116630 |      0 |         0 
 118344 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   255000 |    47000 |    88162792 |   2936189053 |   8154112 |   5120 |    49984449 | 242592 |      0 |         0 
 118347 Thread 17 - PartitionProcessorThre...2f1-ad6e-6f4fc9fd0133-0-0 |  1493000 |   537000 |   603254019 |  19800148534 |     34816 |      0 |  1639943115 |      0 |      0 |         0 
 118348 Thread 18 - PartitionProcessorThre...2f1-ad6e-6f4fc9fd0133-0-1 |  1576000 |   574000 |   639827249 |  20975093959 |         0 |      0 |  1610690467 |      0 |      0 |         0 
 118349 Thread 19 - PartitionProcessorThre...2f1-ad6e-6f4fc9fd0133-0-2 |  1602000 |   599000 |   655860632 |  21478767264 |         0 |      0 |  1852074691 |      0 |      0 |         0 
