                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 115020 Thread 1 - main                                                |   904000 |   252000 |    76338470 |   8800703607 |  34331648 |   1024 |     5371148 |       0 |      0 |         0 
 115042 Thread 2 - Reference Handler                                   |     8000 |        0 |     1053128 |     67332582 |         0 |      0 |     1668888 |       0 |      0 |         0 
 115043 Thread 3 - Finalizer                                           |     7000 |        0 |      704328 |     56442593 |     13312 |      0 |     1584020 |       0 |      0 |         0 
 115044 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       13013 |       0 |      0 |         0 
 115045 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      311750 |      9759761 |         0 |      0 |           0 |       0 |      0 |         0 
 115087 Thread 12 - RMI Scheduler(0)                                   |     2000 |     2000 |     1000339 |     37035871 |      4096 |      0 |        5772 |       0 |      0 |         0 
 115088 Thread 13 - RMI RenewClean-[10.231.182.152:44982]              |     1000 |        0 |       83449 |      7893261 |      1024 |      0 |       15374 |       0 |      0 |         0 
 115089 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 115091 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31211000 | 38980000 | 21350451540 | 683994940407 | 571801600 | 150528 | 22000399447 | 2207960 |      0 |         0 
 115093 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   301000 |    70000 |   112278315 |   3610590491 |   7926784 |   6144 |    64884800 | 2717304 |      0 |         0 
 115096 Thread 17 - PartitionProcessorThre...ecf-b90e-c68dad2dcbc1-2-0 |  1472000 |   465000 |   589472237 |  18891177116 |     34816 |      0 |  1784574175 |       0 |      0 |         0 
 115097 Thread 18 - PartitionProcessorThre...ecf-b90e-c68dad2dcbc1-2-1 |  1425000 |   452000 |   573163932 |  18310207225 |         0 |      0 |  1764491787 |       0 |      0 |         0 
 115098 Thread 19 - PartitionProcessorThre...ecf-b90e-c68dad2dcbc1-2-2 |  1307000 |   456000 |   539461245 |  17200103128 |         0 |      0 |  1591784845 |       0 |      0 |         0 
