                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 70332 Thread 1 - main                                                |   557000 |    73000 |    39259834 |   4789859869 |  21055488 |   1024 |    10026172 |      0 |      0 |         0 
 70354 Thread 2 - Reference Handler                                   |     4000 |        0 |      375097 |     30932273 |         0 |      0 |      301315 |      0 |      0 |         0 
 70355 Thread 3 - Finalizer                                           |     3000 |        0 |      259699 |     23095699 |      5120 |      0 |      755883 |      0 |      0 |         0 
 70356 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 70357 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 70366 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30486000 | 32111000 | 18264547337 | 609426854621 | 636485632 | 126976 | 18778116378 |  66078 |      0 |         0 
 70427 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   192000 |    51000 |    70069745 |   2368993433 |   6612992 |   4096 |    36750499 | 262215 |      0 |         0 
 70485 Thread 14 - PartitionProcessorThre...200-978f-02089c841a25-0-0 |  1262000 |   458000 |   499616755 |  16751567079 |     95232 |      0 |  1433727041 |      0 |      0 |         0 
 70486 Thread 15 - PartitionProcessorThre...200-978f-02089c841a25-0-1 |  1318000 |   447000 |   513561806 |  17207805629 |     64512 |      0 |  1472590616 |      0 |      0 |         0 
 70487 Thread 16 - PartitionProcessorThre...200-978f-02089c841a25-0-2 |  1342000 |   471000 |   528845212 |  17687008242 |         0 |      0 |  1408672424 |      0 |      0 |         0 
 70488 Thread 17 - PartitionProcessorThre...200-978f-02089c841a25-0-3 |  1307000 |   426000 |   507357083 |  16909671840 |         0 |      0 |  1385346458 |      0 |      0 |         0 
 70489 Thread 18 - PartitionProcessorThre...200-978f-02089c841a25-0-4 |  1327000 |   461000 |   523943888 |  17444978590 |         0 |      0 |  1612066340 |      0 |      0 |         0 
 70490 Thread 19 - PartitionProcessorThre...200-978f-02089c841a25-0-5 |  1270000 |   441000 |   500789427 |  16694692079 |         0 |      0 |  1289246381 |      0 |      0 |         0 
 70491 Thread 20 - PartitionProcessorThre...200-978f-02089c841a25-0-6 |  1297000 |   463000 |   513317712 |  17170669262 |         0 |      0 |  1474978107 |      0 |      0 |         0 
 70492 Thread 21 - PartitionProcessorThre...200-978f-02089c841a25-0-7 |  1309000 |   477000 |   519907970 |  17424751035 |         0 |      0 |  1389890003 |      0 |      0 |         0 
 70493 Thread 22 - PartitionProcessorThre...200-978f-02089c841a25-0-8 |  1311000 |   424000 |   505975243 |  16926937332 |         0 |      0 |  1422867323 |      0 |      0 |         0 
 70494 Thread 23 - PartitionProcessorThre...200-978f-02089c841a25-0-9 |  1270000 |   452000 |   500681189 |  16798740832 |      3072 |      0 |  1325889581 |      0 |      0 |         0 
 70495 Thread 24 - PartitionProcessorThre...00-978f-02089c841a25-0-10 |  1326000 |   437000 |   512868478 |  17200960395 |         0 |      0 |  1413265173 |      0 |      0 |         0 
 70496 Thread 25 - PartitionProcessorThre...00-978f-02089c841a25-0-11 |  1237000 |   446000 |   491774224 |  16421800981 |         0 |      0 |  1397787735 |      0 |      0 |         0 
 70497 Thread 26 - PartitionProcessorThre...00-978f-02089c841a25-0-12 |  1217000 |   437000 |   482495263 |  16138772231 |         0 |      0 |  1557016602 |      0 |      0 |         0 
 70498 Thread 27 - PartitionProcessorThre...00-978f-02089c841a25-0-13 |  1252000 |   447000 |   495386173 |  16578297360 |         0 |      0 |  1514623474 |      0 |      0 |         0 
 70499 Thread 28 - PartitionProcessorThre...00-978f-02089c841a25-0-14 |  1341000 |   443000 |   517930372 |  17405687887 |         0 |      0 |  1421316628 |      0 |      0 |         0 
 70500 Thread 29 - PartitionProcessorThre...00-978f-02089c841a25-0-15 |  1255000 |   432000 |   490841896 |  16459730290 |         0 |      0 |  1469008999 |      0 |      0 |         0 
 70501 Thread 30 - PartitionProcessorThre...00-978f-02089c841a25-0-16 |  1202000 |   394000 |   463842771 |  15570123501 |     43008 |      0 |  1368582163 |      0 |      0 |         0 
 70502 Thread 31 - PartitionProcessorThre...00-978f-02089c841a25-0-17 |  1252000 |   406000 |   481262935 |  16175995106 |         0 |      0 |  1502988426 |      0 |      0 |         0 
 70503 Thread 32 - PartitionProcessorThre...00-978f-02089c841a25-0-18 |  1330000 |   483000 |   527878904 |  17688467071 |         0 |      0 |  1467951393 |      0 |      0 |         0 
 70504 Thread 33 - PartitionProcessorThre...00-978f-02089c841a25-0-19 |  1274000 |   430000 |   496530642 |  16626143692 |      1024 |      0 |  1609414821 |      0 |      0 |         0 
 70505 Thread 34 - PartitionProcessorThre...200-978f-02089c841a25-2-0 |  1358000 |   428000 |   524232470 |  17427359996 |         0 |      0 |  1270219465 |      0 |      0 |         0 
 70506 Thread 35 - PartitionProcessorThre...200-978f-02089c841a25-2-1 |  1285000 |   457000 |   512115572 |  16999104996 |         0 |      0 |  1422697786 |      0 |      0 |         0 
 70507 Thread 36 - PartitionProcessorThre...200-978f-02089c841a25-2-2 |  1283000 |   453000 |   509735915 |  16939930590 |         0 |      0 |  1426715509 |      0 |      0 |         0 
 70508 Thread 37 - PartitionProcessorThre...200-978f-02089c841a25-2-3 |  1196000 |   437000 |   479329083 |  15934264012 |         0 |      0 |  1246889223 |      0 |      0 |         0 
 70509 Thread 38 - PartitionProcessorThre...200-978f-02089c841a25-2-4 |  1206000 |   392000 |   467517029 |  15592321844 |         0 |      0 |  1299741674 |      0 |      0 |         0 
 70510 Thread 39 - PartitionProcessorThre...200-978f-02089c841a25-2-5 |  1206000 |   424000 |   477744415 |  15905264973 |         0 |      0 |  1220416970 |      0 |      0 |         0 
 70511 Thread 40 - PartitionProcessorThre...200-978f-02089c841a25-2-6 |  1275000 |   443000 |   503728048 |  16763987090 |         0 |      0 |  1294367310 |      0 |      0 |         0 
 70512 Thread 41 - PartitionProcessorThre...200-978f-02089c841a25-2-7 |  1300000 |   477000 |   520241665 |  17339449293 |         0 |      0 |  1416040846 |      0 |      0 |         0 
 70513 Thread 42 - PartitionProcessorThre...200-978f-02089c841a25-2-8 |  1279000 |   503000 |   522680927 |  17388817879 |         0 |      0 |  1433520802 |      0 |      0 |         0 
 70514 Thread 43 - PartitionProcessorThre...200-978f-02089c841a25-2-9 |  1250000 |   489000 |   510752892 |  16969348258 |         0 |      0 |  1530917534 |      0 |      0 |         0 
 70515 Thread 44 - PartitionProcessorThre...00-978f-02089c841a25-2-10 |  1258000 |   405000 |   489083818 |  16228086317 |         0 |      0 |  1358782856 |      0 |      0 |         0 
 70516 Thread 45 - PartitionProcessorThre...00-978f-02089c841a25-2-11 |  1344000 |   404000 |   512594216 |  17057080325 |         0 |      0 |  1430045260 |      0 |      0 |         0 
 70517 Thread 46 - PartitionProcessorThre...00-978f-02089c841a25-2-12 |  1298000 |   434000 |   507119083 |  16900225594 |         0 |      0 |  1381900651 |      0 |      0 |         0 
 70518 Thread 47 - PartitionProcessorThre...00-978f-02089c841a25-2-13 |  1165000 |   401000 |   458609611 |  15280180755 |         0 |      0 |  1515711562 |      0 |      0 |         0 
 70519 Thread 48 - PartitionProcessorThre...00-978f-02089c841a25-2-14 |  1226000 |   431000 |   484428638 |  16168828575 |         0 |      0 |  1291172221 |      0 |      0 |         0 
 70520 Thread 49 - PartitionProcessorThre...00-978f-02089c841a25-2-15 |  1221000 |   497000 |   503491365 |  16764017539 |         0 |      0 |  1489842182 |      0 |      0 |         0 
 70521 Thread 50 - PartitionProcessorThre...00-978f-02089c841a25-2-16 |  1222000 |   454000 |   491274251 |  16354846075 |         0 |      0 |  1416530695 |      0 |      0 |         0 
 70522 Thread 51 - PartitionProcessorThre...00-978f-02089c841a25-2-17 |  1246000 |   428000 |   491431052 |  16334677708 |         0 |      0 |  1405771839 |      0 |      0 |         0 
 70523 Thread 52 - PartitionProcessorThre...00-978f-02089c841a25-2-18 |  1233000 |   419000 |   484611720 |  16120127762 |         0 |      0 |  1390885813 |      0 |      0 |         0 
 70524 Thread 53 - PartitionProcessorThre...00-978f-02089c841a25-2-19 |  1209000 |   435000 |   482044603 |  16041734258 |         0 |      0 |  1354969031 |      0 |      0 |         0 
 70525 Thread 54 - PartitionProcessorThre...200-978f-02089c841a25-1-0 |  1323000 |   410000 |   509962747 |  16910497629 |         0 |      0 |  1445704605 |      0 |      0 |         0 
 70526 Thread 55 - PartitionProcessorThre...200-978f-02089c841a25-1-1 |  1329000 |   480000 |   533033806 |  17652569055 |         0 |      0 |  1519363066 |      0 |      0 |         0 
 70527 Thread 56 - PartitionProcessorThre...200-978f-02089c841a25-1-2 |  1268000 |   437000 |   501134244 |  16636508598 |         0 |      0 |  1415855648 |      0 |      0 |         0 
 70528 Thread 57 - PartitionProcessorThre...200-978f-02089c841a25-1-3 |  1283000 |   460000 |   513438263 |  17008608953 |         0 |      0 |  1603214936 |      0 |      0 |         0 
 70529 Thread 58 - PartitionProcessorThre...200-978f-02089c841a25-1-4 |  1228000 |   422000 |   486918790 |  16101558508 |         0 |      0 |  1531134265 |      0 |      0 |         0 
 70530 Thread 59 - PartitionProcessorThre...200-978f-02089c841a25-1-5 |  1237000 |   415000 |   486817130 |  16121152708 |      1024 |      0 |  1413361168 |      0 |      0 |         0 
 70531 Thread 60 - PartitionProcessorThre...200-978f-02089c841a25-1-6 |  1206000 |   458000 |   490350564 |  16238291176 |         0 |      0 |  1337633036 |      0 |      0 |         0 
 70532 Thread 61 - PartitionProcessorThre...200-978f-02089c841a25-1-7 |  1234000 |   421000 |   488395368 |  16150527340 |         0 |      0 |  1547206055 |      0 |      0 |         0 
 70533 Thread 62 - PartitionProcessorThre...200-978f-02089c841a25-1-8 |  1273000 |   451000 |   507724357 |  16823107782 |         0 |      0 |  1531074374 |      0 |      0 |         0 
 70534 Thread 63 - PartitionProcessorThre...200-978f-02089c841a25-1-9 |  1184000 |   481000 |   490263462 |  16247303067 |         0 |      0 |  1506340298 |      0 |      0 |         0 
 70535 Thread 64 - PartitionProcessorThre...00-978f-02089c841a25-1-10 |  1273000 |   443000 |   505519884 |  16745001391 |         0 |      0 |  1454723755 |      0 |      0 |         0 
