                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 19031 Thread 1 - main                                                |  1076000 |   111000 |    80292079 |   8406548813 |  15109120 |   1024 |     6101397 |      0 |      0 |         0 
 19038 Thread 2 - Reference Handler                                   |     1000 |        0 |       80320 |      7305496 |         0 |      0 |      252043 |      0 |      0 |         0 
 19039 Thread 3 - Finalizer                                           |     1000 |        0 |       16882 |      6212687 |      5120 |      0 |      424977 |      0 |      0 |         0 
 19040 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 19046 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |      864935 |      0 |      0 |         0 
 19052 Thread 13 - RMI Scheduler(0)                                   |     3000 |        0 |      768175 |     26760378 |      1024 |      0 |      255517 |      0 |      0 |         0 
 19058 Thread 14 - RMI RenewClean-[10.231.182.152:41979]              |     4000 |        0 |      341320 |     29683035 |         0 |      0 |      135580 |      0 |      0 |         0 
 19059 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |      297065 |      0 |      0 |         0 
 19061 Thread 16 - logging-metrics-publisher                          |   221000 |    17000 |    80072241 |   2340276534 |     18432 | 335872 |    97426983 |      0 |      0 |         0 
 19063 Thread 17 - DecatonSubscriptionThread-decaton-benchmark        | 27895000 | 35960000 | 21798840762 | 630376480807 | 623626240 | 106496 | 19223541372 | 128484 |      0 |         0 
 19067 Thread 18 - kafka-coordinator-hear...hread | decaton-benchmark |   256000 |    33000 |    96045940 |   2843376187 |   6831104 |   5120 |    39681882 | 264938 |      0 |         0 
 19072 Thread 19 - PartitionProcessorThre...f41-a321-aeff2d8b1a97-2-0 |  2192000 |   453000 |   897387315 |  26126796991 |     35840 |      0 |  1448080873 |      0 |      0 |         0 
 19073 Thread 20 - PartitionProcessorThre...f41-a321-aeff2d8b1a97-2-1 |  2085000 |   441000 |   859496085 |  24958499136 |         0 |      0 |  1553701531 |      0 |      0 |         0 
 19074 Thread 21 - PartitionProcessorThre...f41-a321-aeff2d8b1a97-2-2 |  2109000 |   414000 |   855402550 |  24932087284 |      2048 |      0 |  1786772582 |      0 |      0 |         0 
