                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 112786 Thread 1 - main                                                |   598000 |    77000 |    41932854 |   5115358346 |  21055488 |   1024 |     8238088 |      0 |      0 |         0 
 112808 Thread 2 - Reference Handler                                   |     6000 |        0 |      720664 |     47822207 |         0 |      0 |      362595 |      0 |      0 |         0 
 112809 Thread 3 - Finalizer                                           |     5000 |        0 |      505371 |     38768847 |      5120 |      0 |     1661119 |      0 |      0 |         0 
 112810 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       32917 |      7227285 |         0 |      0 |      728141 |      0 |      0 |         0 
 112811 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 112822 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29229000 | 32303000 | 18899316641 | 599210201056 | 636284928 | 125952 | 19167509544 | 189780 |      0 |         0 
 112823 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   187000 |    42000 |    69824284 |   2230540620 |   6938624 |   4096 |    21373377 | 391118 |      0 |         0 
 112827 Thread 14 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-0 |  1324000 |   436000 |   539885680 |  17166094762 |     33792 |      0 |  1441673110 |      0 |      0 |         0 
 112828 Thread 15 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-1 |  1342000 |   453000 |   549890738 |  17511482653 |         0 |      0 |  1398376125 |      0 |      0 |         0 
 112829 Thread 16 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-2 |  1317000 |   438000 |   538403031 |  17120856067 |         0 |      0 |  1440197418 |      0 |      0 |         0 
 112830 Thread 17 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-3 |  1298000 |   409000 |   521654430 |  16653314950 |         0 |      0 |  1324533813 |      0 |      0 |         0 
 112831 Thread 18 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-4 |  1297000 |   465000 |   539535117 |  17190780239 |      1024 |      0 |  1533170860 |      0 |      0 |         0 
 112832 Thread 19 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-5 |  1309000 |   447000 |   537609445 |  17128829403 |         0 |      0 |  1413880772 |      0 |      0 |         0 
 112833 Thread 20 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-6 |  1275000 |   497000 |   543244551 |  17284563809 |      2048 |      0 |  1418472713 |      0 |      0 |         0 
 112834 Thread 21 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-7 |  1210000 |   458000 |   510630688 |  16271687032 |         0 |      0 |  1565855366 |      0 |      0 |         0 
 112835 Thread 22 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-8 |  1194000 |   443000 |   500936000 |  15970704579 |         0 |      0 |  1289577420 |      0 |      0 |         0 
 112836 Thread 23 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-2-9 |  1193000 |   437000 |   498973348 |  15900222532 |         0 |      0 |  1341761492 |      0 |      0 |         0 
 112837 Thread 24 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-10 |  1255000 |   436000 |   517249289 |  16496993254 |      1024 |      0 |  1438372607 |      0 |      0 |         0 
 112838 Thread 25 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-11 |  1281000 |   454000 |   530655629 |  16920839711 |         0 |      0 |  1527895817 |      0 |      0 |         0 
 112839 Thread 26 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-12 |  1316000 |   440000 |   537883266 |  17133283594 |         0 |      0 |  1379468413 |      0 |      0 |         0 
 112840 Thread 27 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-13 |  1286000 |   463000 |   535388656 |  17059185891 |    122880 |      0 |  1484105435 |      0 |      0 |         0 
 112841 Thread 28 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-14 |  1278000 |   452000 |   529246121 |  16876446786 |     43008 |      0 |  1574606441 |      0 |      0 |         0 
 112842 Thread 29 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-15 |  1255000 |   429000 |   515494367 |  16430931204 |         0 |      0 |  1554200415 |      0 |      0 |         0 
 112843 Thread 30 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-16 |  1341000 |   427000 |   539717914 |  17248808703 |         0 |      0 |  1442100643 |      0 |      0 |         0 
 112844 Thread 31 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-17 |  1304000 |   417000 |   526095520 |  16790433450 |         0 |      0 |  1454300576 |      0 |      0 |         0 
 112845 Thread 32 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-18 |  1283000 |   446000 |   530108621 |  16869365512 |         0 |      0 |  1328326109 |      0 |      0 |         0 
 112846 Thread 33 - PartitionProcessorThre...cc-8762-92a9c2fb18df-2-19 |  1260000 |   451000 |   524910516 |  16693593895 |         0 |      0 |  1341033036 |      0 |      0 |         0 
 112847 Thread 34 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-0 |  1306000 |   514000 |   560708227 |  17760004621 |         0 |      0 |  1392049355 |      0 |      0 |         0 
 112848 Thread 35 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-1 |  1215000 |   450000 |   514089883 |  16246924282 |         0 |      0 |  1685695208 |      0 |      0 |         0 
 112849 Thread 36 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-2 |  1208000 |   434000 |   506691418 |  16022717622 |         0 |      0 |  1416809873 |      0 |      0 |         0 
 112850 Thread 37 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-3 |  1232000 |   393000 |   501346114 |  15856422622 |         0 |      0 |  1329198848 |      0 |      0 |         0 
 112851 Thread 38 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-4 |  1212000 |   432000 |   506968852 |  16041699387 |         0 |      0 |  1505342012 |      0 |      0 |         0 
 112852 Thread 39 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-5 |  1282000 |   431000 |   529700153 |  16715880883 |         0 |      0 |  1403399647 |      0 |      0 |         0 
 112853 Thread 40 - PartitionProcessorThre...dcc-8762-92a9c2fb18df-1-6 |  1184000 |   433000 |   498972848 |  15778802657 |         0 |      0 |  1541481112 |      0 |      0 |         0 
