                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 30909 Thread 1 - main                                                |   589000 |    78000 |    41157947 |   5054870685 |  21203968 |   1024 |     3805042 |      0 |      0 |         0 
 30931 Thread 2 - Reference Handler                                   |     9000 |        0 |     1157839 |     72064636 |         0 |      0 |      308683 |      0 |      0 |         0 
 30932 Thread 3 - Finalizer                                           |     7000 |        0 |      690523 |     54304042 |      5120 |      0 |      497055 |      0 |      0 |         0 
 30933 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 30934 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 30943 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27262000 | 29431000 | 16961888202 | 551801070263 | 584593408 | 128000 | 17873085093 | 136090 |      0 |         0 
 30945 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   188000 |    36000 |    66854241 |   2179996800 |   7158784 |   4096 |    30538363 | 269168 |      0 |         0 
 30948 Thread 14 - PartitionProcessorThre...fbf-b106-59447051630b-0-0 |  1222000 |   448000 |   501145382 |  16289367152 |         0 |      0 |  1439595471 |      0 |      0 |         0 
 30949 Thread 15 - PartitionProcessorThre...fbf-b106-59447051630b-0-1 |  1207000 |   392000 |   479251804 |  15591236679 |     32768 |      0 |  1480857317 |      0 |      0 |         0 
 30950 Thread 16 - PartitionProcessorThre...fbf-b106-59447051630b-0-2 |  1190000 |   409000 |   477458832 |  15596058246 |         0 |      0 |  1502363430 |      0 |      0 |         0 
 30951 Thread 17 - PartitionProcessorThre...fbf-b106-59447051630b-0-3 |  1230000 |   423000 |   496001085 |  16124350015 |         0 |      0 |  1455121979 |      0 |      0 |         0 
 30952 Thread 18 - PartitionProcessorThre...fbf-b106-59447051630b-0-4 |  1184000 |   397000 |   474513476 |  15422679910 |         0 |      0 |  1552971781 |      0 |      0 |         0 
 30953 Thread 19 - PartitionProcessorThre...fbf-b106-59447051630b-0-5 |  1149000 |   342000 |   447669527 |  14544627430 |         0 |      0 |  1639606431 |      0 |      0 |         0 
 30954 Thread 20 - PartitionProcessorThre...fbf-b106-59447051630b-0-6 |  1178000 |   402000 |   474268035 |  15408715230 |      6144 |      0 |  1464140383 |      0 |      0 |         0 
 30955 Thread 21 - PartitionProcessorThre...fbf-b106-59447051630b-0-7 |  1180000 |   403000 |   474573519 |  15436029543 |    124928 |      0 |  1344836867 |      0 |      0 |         0 
 30956 Thread 22 - PartitionProcessorThre...fbf-b106-59447051630b-0-8 |  1194000 |   396000 |   477780488 |  15510303906 |         0 |      0 |  1480964537 |      0 |      0 |         0 
 30957 Thread 23 - PartitionProcessorThre...fbf-b106-59447051630b-0-9 |  1176000 |   431000 |   480651957 |  15668818570 |      1024 |      0 |  1509551362 |      0 |      0 |         0 
 30958 Thread 24 - PartitionProcessorThre...bf-b106-59447051630b-0-10 |  1240000 |   447000 |   505745195 |  16454266648 |         0 |      0 |  1496486926 |      0 |      0 |         0 
 30959 Thread 25 - PartitionProcessorThre...bf-b106-59447051630b-0-11 |  1223000 |   400000 |   487514761 |  15831867461 |         0 |      0 |  1646764305 |      0 |      0 |         0 
 30960 Thread 26 - PartitionProcessorThre...bf-b106-59447051630b-0-12 |  1155000 |   423000 |   473967105 |  15392601699 |         0 |      0 |  1621992685 |      0 |      0 |         0 
 30961 Thread 27 - PartitionProcessorThre...bf-b106-59447051630b-0-13 |  1189000 |   408000 |   478103398 |  15578627324 |      1024 |      0 |  1563026335 |      0 |      0 |         0 
 30962 Thread 28 - PartitionProcessorThre...bf-b106-59447051630b-0-14 |  1161000 |   364000 |   457769672 |  14873382348 |     10240 |      0 |  1501605248 |      0 |      0 |         0 
 30963 Thread 29 - PartitionProcessorThre...bf-b106-59447051630b-0-15 |  1102000 |   403000 |   451034734 |  14681348711 |         0 |      0 |  1465421481 |      0 |      0 |         0 
 30964 Thread 30 - PartitionProcessorThre...bf-b106-59447051630b-0-16 |  1220000 |   391000 |   483450699 |  15712884859 |      1024 |      0 |  1559065162 |      0 |      0 |         0 
 30965 Thread 31 - PartitionProcessorThre...bf-b106-59447051630b-0-17 |  1176000 |   387000 |   469804148 |  15247006933 |         0 |      0 |  1454610860 |      0 |      0 |         0 
 30966 Thread 32 - PartitionProcessorThre...bf-b106-59447051630b-0-18 |  1185000 |   378000 |   469440914 |  15246696891 |      3072 |      0 |  1417545433 |      0 |      0 |         0 
 30967 Thread 33 - PartitionProcessorThre...bf-b106-59447051630b-0-19 |  1206000 |   400000 |   482880347 |  15666883336 |     23552 |      0 |  1456356780 |      0 |      0 |         0 
 30968 Thread 34 - PartitionProcessorThre...fbf-b106-59447051630b-2-0 |  1194000 |   379000 |   472755339 |  15345097219 |         0 |      0 |  1612166027 |      0 |      0 |         0 
