                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 1413 Thread 1 - main                                                |   582000 |    95000 |    41707111 |   5133383999 |  21218304 |   1024 |    10440015 |       0 |      0 |         0 
 1435 Thread 2 - Reference Handler                                   |     6000 |     1000 |      798746 |     55519792 |         0 |      0 |      180230 |       0 |      0 |         0 
 1436 Thread 3 - Finalizer                                           |     3000 |        0 |      261398 |     23095710 |      5120 |      0 |     2884682 |       0 |      0 |         0 
 1437 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1423 |       0 |      0 |         0 
 1438 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |       30347 |      7292289 |         0 |      0 |           0 |       0 |      0 |         0 
 1448 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28884000 | 32473000 | 18522621176 | 597574558744 | 636943360 | 121856 | 19863378862 |  161174 |      0 |         0 
 1449 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   154000 |    46000 |    59629589 |   1949140183 |   6055936 |   4096 |    32176552 |  402727 |      0 |         0 
 1453 Thread 14 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-0 |  1295000 |   482000 |   535528192 |  17321208558 |     35840 |      0 |  1627636519 |       0 |      0 |         0 
 1454 Thread 15 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-1 |  1268000 |   453000 |   519617653 |  16789799871 |      6144 |      0 |  1506459480 |       0 |      0 |         0 
 1455 Thread 16 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-2 |  1208000 |   457000 |   504559802 |  16246183890 |         0 |      0 |  1621625490 |       0 |      0 |         0 
 1456 Thread 17 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-3 |  1296000 |   451000 |   529372012 |  17043202992 |         0 |      0 |  1508902954 |       0 |      0 |         0 
 1457 Thread 18 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-4 |  1188000 |   462000 |   498302630 |  16092787015 |    118784 |      0 |  1442356759 |       0 |      0 |         0 
 1458 Thread 19 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-5 |  1256000 |   417000 |   505477653 |  16322593476 |         0 |      0 |  1486507879 |       0 |      0 |         0 
 1459 Thread 20 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-6 |  1224000 |   404000 |   492260548 |  15882721578 |         0 |      0 |  1503414819 |       0 |      0 |         0 
 1460 Thread 21 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-7 |  1304000 |   429000 |   522505923 |  16908894171 |         0 |      0 |  1570851955 |       0 |      0 |         0 
 1461 Thread 22 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-8 |  1270000 |   507000 |   536101430 |  17334881242 |      4096 |      0 |  1579052545 |       0 |      0 |         0 
 1462 Thread 23 - PartitionProcessorThre...1b0-9ca9-72c8f0045105-2-9 |  1281000 |   470000 |   528836161 |  17082137222 |         0 |      0 |  1417732472 |       0 |      0 |         0 
 1463 Thread 24 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-10 |  1308000 |   487000 |   540677348 |  17513802554 |         0 |      0 |  1650913773 |       0 |      0 |         0 
 1464 Thread 25 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-11 |  1250000 |   495000 |   526818016 |  17024488843 |         0 |      0 |  1567231808 |       0 |      0 |         0 
 1465 Thread 26 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-12 |  1252000 |   455000 |   516670684 |  16655130105 |         0 |      0 |  1348043005 |       0 |      0 |         0 
 1466 Thread 27 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-13 |  1251000 |   447000 |   513261489 |  16567143039 |         0 |      0 |  1500211276 |       0 |      0 |         0 
 1467 Thread 28 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-14 |  1213000 |   463000 |   507458829 |  16352308890 |         0 |      0 |  1295620902 |       0 |      0 |         0 
 1468 Thread 29 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-15 |  1349000 |   475000 |   552093805 |  17797466015 |     24576 |      0 |  1320838186 |       0 |      0 |         0 
 1469 Thread 30 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-16 |  1295000 |   450000 |   528678395 |  17026746937 |         0 |      0 |  1477781286 |       0 |      0 |         0 
 1470 Thread 31 - PartitionProcessorThre...b0-9ca9-72c8f0045105-2-17 |  1278000 |   449000 |   522122098 |  16848501894 |      1024 |      0 |  1652496855 |       0 |      0 |         0 
