                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 162440 Thread 1 - main                                                |   587000 |    87000 |    42135514 |   5108731464 |  21210112 |   1024 |     6405774 |      0 |      0 |         0 
 162462 Thread 2 - Reference Handler                                   |     4000 |     1000 |      723546 |     40856296 |         0 |      0 |           0 |      0 |      0 |         0 
 162463 Thread 3 - Finalizer                                           |     4000 |        0 |      404835 |     31070296 |     13312 |      0 |     1045600 |      0 |      0 |         0 
 162464 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        3905 |      0 |      0 |         0 
 162465 Thread 5 - Signal Dispatcher                                   |        0 |     2000 |      329527 |     17074160 |         0 |      0 |        2939 |      0 |      0 |         0 
 162475 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26051000 | 28528000 | 15978252092 | 531276346240 | 585445376 | 132096 | 17640917099 | 174595 |      0 |         0 
 162480 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   185000 |    62000 |    71922085 |   2398682144 |   6577152 |   4096 |    35469465 | 258293 |      0 |         0 
 162483 Thread 14 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-0 |  1190000 |   394000 |   462304672 |  15447444347 |    123904 |      0 |  1635092779 |      0 |      0 |         0 
 162484 Thread 15 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-1 |  1184000 |   388000 |   458339219 |  15329870304 |     33792 |      0 |  1254656372 |      0 |      0 |         0 
 162485 Thread 16 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-2 |  1237000 |   398000 |   478987508 |  15947625917 |         0 |      0 |  1424270443 |      0 |      0 |         0 
 162486 Thread 17 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-3 |  1182000 |   419000 |   469735250 |  15618138019 |         0 |      0 |  1584393462 |      0 |      0 |         0 
 162487 Thread 18 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-4 |  1097000 |   390000 |   436241598 |  14506360433 |         0 |      0 |  1489614464 |      0 |      0 |         0 
 162488 Thread 19 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-5 |  1181000 |   388000 |   458778492 |  15304506695 |         0 |      0 |  1442826387 |      0 |      0 |         0 
 162489 Thread 20 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-6 |  1131000 |   410000 |   452770090 |  15032502718 |         0 |      0 |  1426875054 |      0 |      0 |         0 
 162490 Thread 21 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-7 |  1144000 |   379000 |   446521500 |  14856490816 |         0 |      0 |  1487569445 |      0 |      0 |         0 
 162491 Thread 22 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-8 |  1162000 |   388000 |   453254785 |  15120064621 |         0 |      0 |  1672140687 |      0 |      0 |         0 
 162492 Thread 23 - PartitionProcessorThre...4cf-996c-eaca748c4502-2-9 |  1208000 |   363000 |   460592430 |  15324491363 |         0 |      0 |  1623381272 |      0 |      0 |         0 
 162493 Thread 24 - PartitionProcessorThre...cf-996c-eaca748c4502-2-10 |  1238000 |   390000 |   476631605 |  15881107175 |         0 |      0 |  1634497319 |      0 |      0 |         0 
 162494 Thread 25 - PartitionProcessorThre...cf-996c-eaca748c4502-2-11 |  1174000 |   380000 |   453970789 |  15159760160 |         0 |      0 |  1534161367 |      0 |      0 |         0 
 162495 Thread 26 - PartitionProcessorThre...cf-996c-eaca748c4502-2-12 |  1264000 |   412000 |   490832898 |  16348841906 |      1024 |      0 |  1474410275 |      0 |      0 |         0 
 162496 Thread 27 - PartitionProcessorThre...cf-996c-eaca748c4502-2-13 |  1178000 |   383000 |   458207359 |  15228030964 |         0 |      0 |  1507740476 |      0 |      0 |         0 
 162497 Thread 28 - PartitionProcessorThre...cf-996c-eaca748c4502-2-14 |  1166000 |   392000 |   456749922 |  15197977605 |         0 |      0 |  1607283089 |      0 |      0 |         0 
