                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 106028 Thread 1 - main                                                |   573000 |    73000 |    39393682 |   4883535314 |  21054464 |   1024 |     4116659 |      0 |      0 |         0 
 106050 Thread 2 - Reference Handler                                   |     5000 |        0 |      486683 |     38768847 |         0 |      0 |      150411 |      0 |      0 |         0 
 106051 Thread 3 - Finalizer                                           |     6000 |        0 |      572871 |     46467414 |      5120 |      0 |      864152 |      0 |      0 |         0 
 106052 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 106053 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 106077 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27587000 | 29008000 | 16743401131 | 550810639088 | 586252288 | 137216 | 17361672640 |  55580 |      0 |         0 
 106078 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   195000 |    47000 |    71466194 |   2356940124 |   5641216 |   5120 |    18901192 | 255533 |      0 |         0 
 106081 Thread 14 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-0 |  1148000 |   408000 |   460215648 |  15162886344 |     33792 |      0 |  1322436894 |      0 |      0 |         0 
 106082 Thread 15 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-1 |  1181000 |   413000 |   470111715 |  15540604696 |         0 |      0 |  1440757226 |      0 |      0 |         0 
 106083 Thread 16 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-2 |  1166000 |   411000 |   466459777 |  15380914344 |         0 |      0 |  1500722472 |      0 |      0 |         0 
 106084 Thread 17 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-3 |  1161000 |   381000 |   455200406 |  15033728751 |    123904 |      0 |  1563729563 |      0 |      0 |         0 
 106085 Thread 18 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-4 |  1194000 |   416000 |   476855297 |  15700036204 |  10831872 |      0 |  1404312296 |      0 |      0 |         0 
 106086 Thread 19 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-5 |  1204000 |   416000 |   479196777 |  15800264973 |         0 |      0 |  1292945587 |      0 |      0 |         0 
 106087 Thread 20 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-6 |  1128000 |   411000 |   455255269 |  15010100352 |         0 |      0 |  1388402810 |      0 |      0 |         0 
 106088 Thread 21 - PartitionProcessorThre...b7b-b5f4-f351442a9d64-2-7 |  1196000 |   393000 |   469486183 |  15501337782 |         0 |      0 |  1422805898 |      0 |      0 |         0 
