                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 87437 Thread 1 - main                                                |   833000 |   107000 |    62010669 |   7221503920 |  34336768 |   1024 |     7578362 |       0 |      0 |         0 
 87459 Thread 2 - Reference Handler                                   |     5000 |     1000 |      669800 |     47815464 |         0 |      0 |      919577 |       0 |      0 |         0 
 87460 Thread 3 - Finalizer                                           |     6000 |        0 |      588761 |     48476246 |      5120 |      0 |     1332657 |       0 |      0 |         0 
 87461 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       20634 |       0 |      0 |         0 
 87462 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 87470 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      572601 |     19515062 |      4096 |      0 |       77347 |       0 |      0 |         0 
 87471 Thread 13 - RMI RenewClean-[10.231.182.152:33691]              |        0 |        0 |           0 |            0 |      1024 |      0 |       93015 |       0 |      0 |         0 
 87472 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 87474 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 28754000 | 33973000 | 17962910303 | 611278481420 | 624495616 | 133120 | 21195229212 |  210102 |      0 |         0 
 87476 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   244000 |    51000 |    82679034 |   2863907409 |   6511616 |   5120 |    37374596 |  685940 |      0 |         0 
 87481 Thread 17 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-0 |  1397000 |   455000 |   527832922 |  18055942281 |     34816 |      0 |  1566161605 |       0 |      0 |         0 
 87482 Thread 18 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-1 |  1492000 |   482000 |   560964637 |  19243448335 |      9216 |      0 |  1691214582 |       0 |      0 |         0 
 87483 Thread 19 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-2 |  1501000 |   455000 |   555509637 |  19070818034 |         0 |      0 |  1933200566 |       0 |      0 |         0 
 87484 Thread 20 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-3 |  1527000 |   453000 |   563678145 |  19310632050 |         0 |      0 |  1713565194 |       0 |      0 |         0 
 87485 Thread 21 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-4 |  1397000 |   437000 |   521565961 |  17880051695 |         0 |      0 |  1651771899 |       0 |      0 |         0 
 87486 Thread 22 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-5 |  1445000 |   463000 |   543233536 |  18606835124 |         0 |      0 |  1904683271 |       0 |      0 |         0 
 87487 Thread 23 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-6 |  1475000 |   449000 |   548117793 |  18765881863 |         0 |      0 |  1475722752 |       0 |      0 |         0 
 87488 Thread 24 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-7 |  1413000 |   462000 |   534365243 |  18287357089 |         0 |      0 |  1636407361 |       0 |      0 |         0 
 87489 Thread 25 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-8 |  1509000 |   469000 |   562303813 |  19291838972 |         0 |      0 |  1634525250 |       0 |      0 |         0 
 87490 Thread 26 - PartitionProcessorThre...ed3-afef-9fded1f705bf-1-9 |  1461000 |   466000 |   548892473 |  18792038656 |         0 |      0 |  1625843432 |       0 |      0 |         0 
 87491 Thread 27 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-10 |  1419000 |   543000 |   560242008 |  19139003741 |         0 |      0 |  1721671691 |       0 |      0 |         0 
 87492 Thread 28 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-11 |  1488000 |   466000 |   557685871 |  19058970527 |         0 |      0 |  1442373332 |       0 |      0 |         0 
 87493 Thread 29 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-12 |  1450000 |   507000 |   559181989 |  19091286308 |         0 |      0 |  1761657791 |       0 |      0 |         0 
 87494 Thread 30 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-13 |  1592000 |   456000 |   584535379 |  19974208245 |         0 |      0 |  1603369448 |       0 |      0 |         0 
 87495 Thread 31 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-14 |  1468000 |   473000 |   553360418 |  18929841226 |         0 |      0 |  1683850812 |       0 |      0 |         0 
 87496 Thread 32 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-15 |  1458000 |   466000 |   549832063 |  18767676730 |         0 |      0 |  1678706970 |       0 |      0 |         0 
 87497 Thread 33 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-16 |  1500000 |   511000 |   572129824 |  19613609183 |         0 |      0 |  1678298233 |       0 |      0 |         0 
 87498 Thread 34 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-17 |  1514000 |   448000 |   559568563 |  19136307452 |         0 |      0 |  1728549181 |       0 |      0 |         0 
 87499 Thread 35 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-18 |  1433000 |   496000 |   547906981 |  18809640835 |         0 |      0 |  1619113694 |       0 |      0 |         0 
 87500 Thread 36 - PartitionProcessorThre...d3-afef-9fded1f705bf-1-19 |  1464000 |   516000 |   563401512 |  19311252980 |         0 |      0 |  1683313287 |       0 |      0 |         0 
 87501 Thread 37 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-0 |  1434000 |   417000 |   532865688 |  18067936132 |         0 |      0 |  1594515978 |       0 |      0 |         0 
 87502 Thread 38 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-1 |  1466000 |   502000 |   567116848 |  19209282585 |         0 |      0 |  1752616923 |       0 |      0 |         0 
 87503 Thread 39 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-2 |  1453000 |   497000 |   561123539 |  19033873319 |         0 |      0 |  1764426253 |       0 |      0 |         0 
 87504 Thread 40 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-3 |  1437000 |   469000 |   549488403 |  18604220566 |         0 |      0 |  1604647352 |       0 |      0 |         0 
 87505 Thread 41 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-4 |  1500000 |   470000 |   566555555 |  19228585913 |         0 |      0 |  1699285484 |       0 |      0 |         0 
 87506 Thread 42 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-5 |  1494000 |   442000 |   557279653 |  18896407296 |         0 |      0 |  1476098825 |       0 |      0 |         0 
 87507 Thread 43 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-6 |  1498000 |   473000 |   566039621 |  19237639402 |         0 |      0 |  1542360310 |       0 |      0 |         0 
 87508 Thread 44 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-7 |  1517000 |   431000 |   558638086 |  19013030097 |         0 |      0 |  1606842338 |       0 |      0 |         0 
 87509 Thread 45 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-8 |  1471000 |   431000 |   547176180 |  18564965554 |         0 |      0 |  1693690504 |       0 |      0 |         0 
 87510 Thread 46 - PartitionProcessorThre...ed3-afef-9fded1f705bf-0-9 |  1417000 |   471000 |   543607536 |  18427986976 |         0 |      0 |  1813609744 |       0 |      0 |         0 
 87511 Thread 47 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-10 |  1459000 |   469000 |   555477883 |  18819344113 |         0 |      0 |  1809240105 |       0 |      0 |         0 
 87512 Thread 48 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-11 |  1482000 |   483000 |   564766551 |  19179438628 |         0 |      0 |  1890278488 |       0 |      0 |         0 
 87513 Thread 49 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-12 |  1497000 |   499000 |   573833266 |  19482318390 |         0 |      0 |  1683781353 |       0 |      0 |         0 
 87514 Thread 50 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-13 |  1496000 |   440000 |   557316684 |  18896837812 |         0 |      0 |  1737271746 |       0 |      0 |         0 
 87515 Thread 51 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-14 |  1419000 |   434000 |   531453582 |  18086236964 |         0 |      0 |  1611078765 |       0 |      0 |         0 
 87516 Thread 52 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-15 |  1504000 |   454000 |   562726469 |  19110789577 |         0 |      0 |  1588922242 |       0 |      0 |         0 
 87517 Thread 53 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-16 |  1477000 |   450000 |   552926989 |  18808167620 |         0 |      0 |  1828724096 |       0 |      0 |         0 
 87518 Thread 54 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-17 |  1481000 |   468000 |   559230797 |  19023220980 |         0 |      0 |  1687618205 |       0 |      0 |         0 
 87519 Thread 55 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-18 |  1459000 |   419000 |   541332239 |  18330699140 |      1024 |      0 |  1621871272 |       0 |      0 |         0 
 87520 Thread 56 - PartitionProcessorThre...d3-afef-9fded1f705bf-0-19 |  1381000 |   505000 |   542141008 |  18409215691 |         0 |      0 |  1799996249 |       0 |      0 |         0 
 87522 Thread 57 - PartitionProcessorThre...ed3-afef-9fded1f705bf-2-0 |  1436000 |   448000 |   543643176 |  18389906023 |         0 |      0 |  1801696015 |       0 |      0 |         0 
 87523 Thread 58 - PartitionProcessorThre...ed3-afef-9fded1f705bf-2-1 |  1439000 |   467000 |   549845243 |  18603399683 |         0 |      0 |  1594841497 |       0 |      0 |         0 
