                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 85194 Thread 1 - main                                                |   815000 |   123000 |    61840341 |   7217156877 |  34328576 |   1024 |     1590004 |      0 |      0 |         0 
 85216 Thread 2 - Reference Handler                                   |     3000 |     1000 |      288195 |     30338617 |         0 |      0 |      569929 |      0 |      0 |         0 
 85217 Thread 3 - Finalizer                                           |     6000 |        0 |      680199 |     47879964 |     13312 |      0 |     3401051 |      0 |      0 |         0 
 85218 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |       26675 |      7163285 |         0 |      0 |       15476 |      0 |      0 |         0 
 85219 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 85229 Thread 12 - RMI Scheduler(0)                                   |     2000 |        0 |      370773 |     17520777 |      4096 |      0 |       19540 |      0 |      0 |         0 
 85230 Thread 13 - RMI RenewClean-[10.231.182.152:37777]              |        0 |     1000 |      328437 |      9787457 |      1024 |      0 |           0 |      0 |      0 |         0 
 85231 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 85233 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 26624000 | 30951000 | 16513633672 | 560951170705 | 572647424 | 137216 | 18569345500 | 125815 |      0 |         0 
 85234 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   213000 |    37000 |    71725522 |   2434434452 |   7033856 |   5120 |    34141539 | 258314 |      0 |         0 
 85239 Thread 17 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-0 |  1291000 |   461000 |   506060281 |  17088180262 |     34816 |      0 |  1505334066 |      0 |      0 |         0 
 85240 Thread 18 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-1 |  1364000 |   474000 |   530300351 |  17929006887 |      7168 |      0 |  1641104865 |      0 |      0 |         0 
 85241 Thread 19 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-2 |  1355000 |   403000 |   506146121 |  17146739875 |         0 |      0 |  1638248390 |      0 |      0 |         0 
 85242 Thread 20 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-3 |  1272000 |   410000 |   485229719 |  16408668707 |         0 |      0 |  1442578901 |      0 |      0 |         0 
 85243 Thread 21 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-4 |  1254000 |   422000 |   483220250 |  16349576535 |         0 |      0 |  1540136986 |      0 |      0 |         0 
 85244 Thread 22 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-5 |  1332000 |   410000 |   501528613 |  16991610617 |         0 |      0 |  1552238215 |      0 |      0 |         0 
 85245 Thread 23 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-6 |  1383000 |   408000 |   516996176 |  17471735324 |         0 |      0 |  1509645293 |      0 |      0 |         0 
 85246 Thread 24 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-7 |  1388000 |   392000 |   513627879 |  17362855629 |         0 |      0 |  1628602427 |      0 |      0 |         0 
 85247 Thread 25 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-8 |  1295000 |   420000 |   495716801 |  16731644121 |         0 |      0 |  1701061224 |      0 |      0 |         0 
 85248 Thread 26 - PartitionProcessorThre...4fb-90d6-32c4f2167f0e-0-9 |  1419000 |   420000 |   530577000 |  17940933148 |         0 |      0 |  1601097174 |      0 |      0 |         0 
 85249 Thread 27 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-10 |  1350000 |   441000 |   516782914 |  17471539473 |         0 |      0 |  1517620042 |      0 |      0 |         0 
 85250 Thread 28 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-11 |  1338000 |   469000 |   522508105 |  17631064344 |  10831872 |      0 |  1633792419 |      0 |      0 |         0 
 85251 Thread 29 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-12 |  1410000 |   416000 |   526985285 |  17812014797 |         0 |      0 |  1528067774 |      0 |      0 |         0 
 85252 Thread 30 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-13 |  1333000 |   434000 |   509119543 |  17236363004 |         0 |      0 |  1388086293 |      0 |      0 |         0 
 85253 Thread 31 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-14 |  1256000 |   449000 |   491883918 |  16634617773 |         0 |      0 |  1496239877 |      0 |      0 |         0 
 85254 Thread 32 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-15 |  1335000 |   368000 |   490870141 |  16613853227 |         0 |      0 |  1502009883 |      0 |      0 |         0 
 85255 Thread 33 - PartitionProcessorThre...fb-90d6-32c4f2167f0e-0-16 |  1368000 |   403000 |   511200090 |  17278029422 |         0 |      0 |  1472902305 |      0 |      0 |         0 
