                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 47747 Thread 1 - main                                                |   578000 |   100000 |    42172330 |   5141869733 |  21055488 |   1024 |     3284827 |      0 |      0 |         0 
 47769 Thread 2 - Reference Handler                                   |     4000 |        0 |      375046 |     30932289 |         0 |      0 |       45526 |      0 |      0 |         0 
 47770 Thread 3 - Finalizer                                           |     7000 |        0 |      577910 |     53390546 |      5120 |      0 |     1868355 |      0 |      0 |         0 
 47771 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       30339 |      7228289 |         0 |      0 |        2317 |      0 |      0 |         0 
 47772 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 47782 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26793000 | 29559000 | 16635510945 | 548466317181 | 585640960 | 130048 | 17430426989 |  97759 |      0 |         0 
 47793 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   166000 |    55000 |    65148620 |   2152507636 |   6221824 |   4096 |    20614368 | 632152 |      0 |         0 
 47796 Thread 14 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-0 |  1203000 |   425000 |   476013942 |  15855994242 |     36864 |      0 |  1406352069 |      0 |      0 |         0 
 47797 Thread 15 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-1 |  1156000 |   403000 |   458849450 |  15200786269 |      3072 |      0 |  1422208355 |      0 |      0 |         0 
 47798 Thread 16 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-2 |  1161000 |   392000 |   456517489 |  15141768128 |         0 |      0 |  1365312249 |      0 |      0 |         0 
 47799 Thread 17 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-3 |  1221000 |   441000 |   488031661 |  16198933531 |    118784 |      0 |  1334031769 |      0 |      0 |         0 
 47800 Thread 18 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-4 |  1183000 |   400000 |   467363353 |  15442844562 |      1024 |      0 |  1114929575 |      0 |      0 |         0 
 47801 Thread 19 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-5 |  1241000 |   440000 |   495463669 |  16397344089 |         0 |      0 |  1475942797 |      0 |      0 |         0 
 47802 Thread 20 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-6 |  1169000 |   372000 |   452331681 |  15029984953 |         0 |      0 |  1592435410 |      0 |      0 |         0 
 47803 Thread 21 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-7 |  1155000 |   413000 |   462078638 |  15296672253 |         0 |      0 |  1306710124 |      0 |      0 |         0 
 47804 Thread 22 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-8 |  1210000 |   425000 |   480422001 |  15947009355 |         0 |      0 |  1300954544 |      0 |      0 |         0 
 47805 Thread 23 - PartitionProcessorThre...2ab-98c2-4c52832f1e7d-0-9 |  1132000 |   389000 |   448261290 |  14836710312 |         0 |      0 |  1585361073 |      0 |      0 |         0 
 47806 Thread 24 - PartitionProcessorThre...ab-98c2-4c52832f1e7d-0-10 |  1166000 |   390000 |   457586458 |  15174319511 |     40960 |      0 |  1483615097 |      0 |      0 |         0 
 47807 Thread 25 - PartitionProcessorThre...ab-98c2-4c52832f1e7d-0-11 |  1210000 |   416000 |   478757743 |  15860753476 |         0 |      0 |  1513790499 |      0 |      0 |         0 
 47808 Thread 26 - PartitionProcessorThre...ab-98c2-4c52832f1e7d-0-12 |  1162000 |   484000 |   486217372 |  16054593261 |         0 |      0 |  1545082580 |      0 |      0 |         0 
 47809 Thread 27 - PartitionProcessorThre...ab-98c2-4c52832f1e7d-0-13 |  1209000 |   415000 |   477223728 |  15839788097 |         0 |      0 |  1440009648 |      0 |      0 |         0 
 47810 Thread 28 - PartitionProcessorThre...ab-98c2-4c52832f1e7d-0-14 |  1218000 |   387000 |   471960528 |  15656214804 |         0 |      0 |  1219753067 |      0 |      0 |         0 
 47811 Thread 29 - PartitionProcessorThre...ab-98c2-4c52832f1e7d-0-15 |  1159000 |   434000 |   466944368 |  15536223277 |      1024 |      0 |  1485267865 |      0 |      0 |         0 
