                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 4737 Thread 1 - main                                                |   586000 |    87000 |    41777596 |   5100495904 |  21203968 |   1024 |     6106164 |      0 |      0 |         0 
 4759 Thread 2 - Reference Handler                                   |     7000 |        0 |      637660 |     53537582 |         0 |      0 |       24875 |      0 |      0 |         0 
 4760 Thread 3 - Finalizer                                           |     5000 |        0 |      493597 |     38768886 |      5120 |      0 |      217082 |      0 |      0 |         0 
 4761 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 4762 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 4771 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27747000 | 29331000 | 17074802514 | 555599936645 | 586598400 | 133120 | 17039665410 |  42636 |      0 |         0 
 4772 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   182000 |    49000 |    68646565 |   2243564991 |   5087232 |   5120 |    29307430 | 431364 |      0 |         0 
 4775 Thread 14 - PartitionProcessorThre...c86-895a-e54b0505c666-0-0 |  1188000 |   392000 |   472904402 |  15411425965 |         0 |      0 |  1355242996 |      0 |      0 |         0 
 4776 Thread 15 - PartitionProcessorThre...c86-895a-e54b0505c666-0-1 |  1242000 |   394000 |   483824527 |  15934659535 |    158720 |      0 |  1398233637 |      0 |      0 |         0 
 4777 Thread 16 - PartitionProcessorThre...c86-895a-e54b0505c666-0-2 |  1238000 |   415000 |   495300797 |  16121352941 |         0 |      0 |  1386080428 |      0 |      0 |         0 
 4778 Thread 17 - PartitionProcessorThre...c86-895a-e54b0505c666-0-3 |  1263000 |   386000 |   489271750 |  16082625074 |         0 |      0 |  1398554933 |      0 |      0 |         0 
 4779 Thread 18 - PartitionProcessorThre...c86-895a-e54b0505c666-0-4 |  1229000 |   416000 |   488906937 |  16044711023 |         0 |      0 |  1645265370 |      0 |      0 |         0 
 4780 Thread 19 - PartitionProcessorThre...c86-895a-e54b0505c666-0-5 |  1188000 |   414000 |   476914297 |  15625345871 |      3072 |      0 |  1398389171 |      0 |      0 |         0 
 4781 Thread 20 - PartitionProcessorThre...c86-895a-e54b0505c666-0-6 |  1196000 |   406000 |   477724836 |  15625607754 |         0 |      0 |  1539614486 |      0 |      0 |         0 
 4782 Thread 21 - PartitionProcessorThre...c86-895a-e54b0505c666-0-7 |  1162000 |   418000 |   469769133 |  15407240055 |         0 |      0 |  1513965773 |      0 |      0 |         0 
 4783 Thread 22 - PartitionProcessorThre...c86-895a-e54b0505c666-0-8 |  1228000 |   404000 |   486370508 |  15917178867 |         0 |      0 |  1320731349 |      0 |      0 |         0 
 4784 Thread 23 - PartitionProcessorThre...c86-895a-e54b0505c666-0-9 |  1216000 |   468000 |   502438719 |  16424270777 |         0 |      0 |  1454600430 |      0 |      0 |         0 
 4785 Thread 24 - PartitionProcessorThre...86-895a-e54b0505c666-0-10 |  1266000 |   430000 |   508698250 |  16543820363 |         0 |      0 |  1465671871 |      0 |      0 |         0 
 4786 Thread 25 - PartitionProcessorThre...86-895a-e54b0505c666-0-11 |  1234000 |   430000 |   497943383 |  16229806703 |      6144 |      0 |  1373522310 |      0 |      0 |         0 
 4787 Thread 26 - PartitionProcessorThre...86-895a-e54b0505c666-0-12 |  1284000 |   433000 |   512230148 |  16745834464 |         0 |      0 |  1381656550 |      0 |      0 |         0 
