                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 115063 Thread 1 - main                                                |   601000 |    67000 |    41263854 |   5059522748 |  21219328 |   1024 |     2388894 |       0 |      0 |         0 
 115085 Thread 2 - Reference Handler                                   |     6000 |        0 |      606222 |     46605421 |         0 |      0 |     2079112 |       0 |      0 |         0 
 115086 Thread 3 - Finalizer                                           |     5000 |     2000 |      604749 |     53528531 |      5120 |      0 |     1345694 |       0 |      0 |         0 
 115087 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       16428 |       0 |      0 |         0 
 115088 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      303644 |      9756035 |         0 |      0 |           0 |       0 |      0 |         0 
 115097 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26382000 | 29356000 | 16618095765 | 542484627098 | 584368128 | 129024 | 16921920078 |  147924 |      0 |         0 
 115099 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   155000 |    43000 |    58585538 |   1927306644 |   7290880 |   4096 |    18271507 |  142771 |      0 |         0 
 115105 Thread 14 - PartitionProcessorThre...464-8515-8af15e76334d-2-0 |  1262000 |   412000 |   496275380 |  16304966352 |     33792 |      0 |  1517142220 |       0 |      0 |         0 
 115106 Thread 15 - PartitionProcessorThre...464-8515-8af15e76334d-2-1 |  1174000 |   375000 |   459892048 |  15095567606 |    122880 |      0 |  1399598084 |       0 |      0 |         0 
 115107 Thread 16 - PartitionProcessorThre...464-8515-8af15e76334d-2-2 |  1215000 |   422000 |   486586036 |  15959915235 |     27648 |      0 |  1626718886 |       0 |      0 |         0 
 115108 Thread 17 - PartitionProcessorThre...464-8515-8af15e76334d-2-3 |  1265000 |   396000 |   494082435 |  16199211586 |         0 |      0 |  1576618576 |       0 |      0 |         0 
 115109 Thread 18 - PartitionProcessorThre...464-8515-8af15e76334d-2-4 |  1195000 |   429000 |   483996888 |  15838739950 |     18432 |      0 |  1524397243 |       0 |      0 |         0 
 115110 Thread 19 - PartitionProcessorThre...464-8515-8af15e76334d-2-5 |  1140000 |   380000 |   451660244 |  14827614130 |         0 |      0 |  1265909187 |       0 |      0 |         0 
 115111 Thread 20 - PartitionProcessorThre...464-8515-8af15e76334d-2-6 |  1207000 |   390000 |   473589290 |  15576891907 |         0 |      0 |  1364215842 |       0 |      0 |         0 
 115112 Thread 21 - PartitionProcessorThre...464-8515-8af15e76334d-2-7 |  1174000 |   426000 |   477337404 |  15606145251 |         0 |      0 |  1209565223 |       0 |      0 |         0 
 115113 Thread 22 - PartitionProcessorThre...464-8515-8af15e76334d-2-8 |  1172000 |   421000 |   471601521 |  15537803833 |         0 |      0 |  1273665497 |       0 |      0 |         0 
 115114 Thread 23 - PartitionProcessorThre...464-8515-8af15e76334d-2-9 |  1149000 |   408000 |   463422044 |  15186334938 |         0 |      0 |  1317613668 |       0 |      0 |         0 
 115115 Thread 24 - PartitionProcessorThre...64-8515-8af15e76334d-2-10 |  1172000 |   413000 |   470483986 |  15460720712 |         0 |      0 |  1147930890 |       0 |      0 |         0 
 115116 Thread 25 - PartitionProcessorThre...64-8515-8af15e76334d-2-11 |  1191000 |   389000 |   468579493 |  15411848872 |         0 |      0 |  1265613675 |       0 |      0 |         0 
 115117 Thread 26 - PartitionProcessorThre...64-8515-8af15e76334d-2-12 |  1275000 |   461000 |   515925454 |  16934147762 |         0 |      0 |  1267728786 |       0 |      0 |         0 
 115118 Thread 27 - PartitionProcessorThre...64-8515-8af15e76334d-2-13 |  1182000 |   393000 |   469736396 |  15364240540 |         0 |      0 |  1227970362 |       0 |      0 |         0 
 115119 Thread 28 - PartitionProcessorThre...64-8515-8af15e76334d-2-14 |  1230000 |   420000 |   488225263 |  16091686993 |         0 |      0 |  1299602832 |       0 |      0 |         0 
 115120 Thread 29 - PartitionProcessorThre...64-8515-8af15e76334d-2-15 |  1262000 |   398000 |   493604962 |  16191870868 |         0 |      0 |  1395025697 |       0 |      0 |         0 
 115121 Thread 30 - PartitionProcessorThre...64-8515-8af15e76334d-2-16 |  1205000 |   427000 |   486363661 |  15919755141 |         0 |      0 |  1509023505 |       0 |      0 |         0 
 115122 Thread 31 - PartitionProcessorThre...64-8515-8af15e76334d-2-17 |  1208000 |   407000 |   478839857 |  15753813309 |         0 |      0 |  1422534599 |       0 |      0 |         0 
 115123 Thread 32 - PartitionProcessorThre...64-8515-8af15e76334d-2-18 |  1179000 |   407000 |   471475911 |  15471990262 |         0 |      0 |  1374659915 |       0 |      0 |         0 
 115124 Thread 33 - PartitionProcessorThre...64-8515-8af15e76334d-2-19 |  1221000 |   398000 |   481788560 |  15793383329 |         0 |      0 |  1556723633 |       0 |      0 |         0 
 115125 Thread 34 - PartitionProcessorThre...464-8515-8af15e76334d-1-0 |  1241000 |   381000 |   487089634 |  15822833637 |         0 |      0 |  1160951574 |       0 |      0 |         0 
 115126 Thread 35 - PartitionProcessorThre...464-8515-8af15e76334d-1-1 |  1090000 |   372000 |   439184962 |  14262089298 |         0 |      0 |  1189041631 |       0 |      0 |         0 
 115127 Thread 36 - PartitionProcessorThre...464-8515-8af15e76334d-1-2 |  1230000 |   371000 |   481637419 |  15618550462 |         0 |      0 |  1215572324 |       0 |      0 |         0 
 115128 Thread 37 - PartitionProcessorThre...464-8515-8af15e76334d-1-3 |  1161000 |   385000 |   464282662 |  15082206266 |         0 |      0 |  1393439805 |       0 |      0 |         0 
