                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 8307 Thread 1 - main                                                |   566000 |    82000 |    38891295 |   4898252916 |  21055488 |   1024 |     5464081 |       0 |      0 |         0 
 8329 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1035320 |     71086035 |         0 |      0 |     2178252 |       0 |      0 |         0 
 8330 Thread 3 - Finalizer                                           |     5000 |        0 |      485402 |     38768785 |      5120 |      0 |       46288 |       0 |      0 |         0 
 8331 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 8332 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        3096 |       0 |      0 |         0 
 8342 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28828000 | 31961000 | 18630671833 | 591940496093 | 636664832 | 123904 | 19544453243 |  151681 |      0 |         0 
 8343 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   172000 |    37000 |    63976077 |   2039156319 |   6924288 |   4096 |    48977706 | 1158866 |      0 |         0 
 8347 Thread 14 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-0 |  1319000 |   458000 |   539055250 |  17320770094 |     36864 |      0 |  1595856024 |       0 |      0 |         0 
 8348 Thread 15 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-1 |  1291000 |   432000 |   524670390 |  16808491407 |         0 |      0 |  1630492293 |       0 |      0 |         0 
 8349 Thread 16 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-2 |  1292000 |   460000 |   534437621 |  17082499989 |    118784 |      0 |  1571178461 |       0 |      0 |         0 
 8350 Thread 17 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-3 |  1373000 |   441000 |   552231988 |  17695304196 |         0 |      0 |  1690721849 |       0 |      0 |         0 
 8351 Thread 18 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-4 |  1322000 |   451000 |   540118249 |  17293103934 |         0 |      0 |  1631780389 |       0 |      0 |         0 
 8352 Thread 19 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-5 |  1239000 |   448000 |   512754589 |  16454374934 |      2048 |      0 |  1585917571 |       0 |      0 |         0 
 8353 Thread 20 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-6 |  1332000 |   400000 |   526741960 |  16896377602 |         0 |      0 |  1725242154 |       0 |      0 |         0 
 8354 Thread 21 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-7 |  1265000 |   457000 |   524636214 |  16799845852 |         0 |      0 |  1745613624 |       0 |      0 |         0 
 8355 Thread 22 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-8 |  1401000 |   467000 |   569597831 |  18225495414 |         0 |      0 |  1835645240 |       0 |      0 |         0 
 8356 Thread 23 - PartitionProcessorThre...673-b21c-8570a1fbb6b1-0-9 |  1424000 |   424000 |   561998214 |  18028911918 |         0 |      0 |  1682571050 |       0 |      0 |         0 
 8357 Thread 24 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-10 |  1372000 |   480000 |   563470843 |  18068071637 |         0 |      0 |  1649110581 |       0 |      0 |         0 
 8358 Thread 25 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-11 |  1345000 |   475000 |   556079581 |  17757111961 |         0 |      0 |  1606297766 |       0 |      0 |         0 
 8359 Thread 26 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-12 |  1392000 |   439000 |   556089601 |  17864009137 |         0 |      0 |  1766339924 |       0 |      0 |         0 
 8360 Thread 27 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-13 |  1344000 |   438000 |   546133699 |  17388771883 |         0 |      0 |  1864369721 |       0 |      0 |         0 
 8361 Thread 28 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-14 |  1334000 |   404000 |   534063996 |  16959121989 |         0 |      0 |  1629501698 |       0 |      0 |         0 
 8362 Thread 29 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-15 |  1321000 |   440000 |   537999171 |  17181667914 |         0 |      0 |  1807744813 |       0 |      0 |         0 
 8363 Thread 30 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-16 |  1335000 |   449000 |   543842640 |  17402844957 |     35840 |      0 |  1743876849 |       0 |      0 |         0 
 8364 Thread 31 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-17 |  1294000 |   462000 |   534663433 |  17131616125 |         0 |      0 |  1217350508 |       0 |      0 |         0 
 8365 Thread 32 - PartitionProcessorThre...73-b21c-8570a1fbb6b1-0-18 |  1328000 |   432000 |   536849097 |  17171656528 |      6144 |      0 |  1741981346 |       0 |      0 |         0 
