                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 5729 Thread 1 - main                                                |   570000 |    87000 |    39901369 |   4963812182 |  21055488 |   1024 |     4146852 |      0 |      0 |         0 
 5751 Thread 2 - Reference Handler                                   |     3000 |        0 |      289347 |     23233707 |         0 |      0 |      570554 |      0 |      0 |         0 
 5752 Thread 3 - Finalizer                                           |     5000 |     1000 |      491085 |     45691957 |      5120 |      0 |     2302128 |      0 |      0 |         0 
 5754 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       12493 |      0 |      0 |         0 
 5755 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 5763 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27263000 | 29727000 | 17172391282 | 554682678767 | 586067968 | 133120 | 17413976164 | 119573 |      0 |         0 
 5764 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   211000 |    47000 |    78647425 |   2515522433 |   5755904 |   5120 |    22398445 | 319413 |      0 |         0 
 5768 Thread 14 - PartitionProcessorThre...75b-b087-2dcdaffd3814-2-0 |  1128000 |   411000 |   463278434 |  14990162262 |     36864 |      0 |  1253643237 |      0 |      0 |         0 
 5769 Thread 15 - PartitionProcessorThre...75b-b087-2dcdaffd3814-2-1 |  1141000 |   414000 |   466988500 |  15155623399 |    121856 |      0 |  1390759115 |      0 |      0 |         0 
 5770 Thread 16 - PartitionProcessorThre...75b-b087-2dcdaffd3814-2-2 |  1137000 |   417000 |   466378758 |  15154472286 |         0 |      0 |  1541954199 |      0 |      0 |         0 
 5771 Thread 17 - PartitionProcessorThre...75b-b087-2dcdaffd3814-2-3 |  1187000 |   391000 |   475131153 |  15393396618 |         0 |      0 |  1276653296 |      0 |      0 |         0 
 5772 Thread 18 - PartitionProcessorThre...75b-b087-2dcdaffd3814-2-4 |  1227000 |   424000 |   496763695 |  16103650098 |         0 |      0 |  1360225086 |      0 |      0 |         0 
