                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 14960 Thread 1 - main                                                |   816000 |   149000 |    65691416 |   7410303443 |  34535424 |   1024 |    10286190 |      0 |      0 |         0 
 14982 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1010996 |     74451574 |         0 |      0 |     1235799 |      0 |      0 |         0 
 14983 Thread 3 - Finalizer                                           |     9000 |     1000 |     1102609 |     80739554 |      5120 |      0 |     1406189 |      0 |      0 |         0 
 14984 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 14985 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 14994 Thread 12 - RMI Scheduler(0)                                   |     4000 |        0 |     1229582 |     39101890 |      2048 |      0 |           0 |      0 |      0 |         0 
 14995 Thread 13 - RMI RenewClean-[10.231.182.152:37873]              |     1000 |        0 |       83468 |      7893589 |      1024 |      0 |           0 |      0 |      0 |         0 
 14996 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 14999 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 23682000 | 34949000 | 17374113618 | 571313197819 | 574437376 | 109568 | 14892707474 | 143534 |      0 |         0 
 15001 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   241000 |    26000 |    79171022 |   2601373620 |   5753856 |   5120 |    24567994 | 118794 |      0 |         0 
 15004 Thread 17 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-0 |  1068000 |   457000 |   453288360 |  14876642486 |     34816 |      0 |  1106642525 |      0 |      0 |         0 
 15005 Thread 18 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-1 |  1088000 |   372000 |   434394477 |  14248945104 |         0 |      0 |  1052852024 |      0 |      0 |         0 
 15006 Thread 19 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-2 |  1042000 |   363000 |   417859915 |  13709291881 |         0 |      0 |   947943109 |      0 |      0 |         0 
 15007 Thread 20 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-3 |  1104000 |   377000 |   439584176 |  14450002049 |      3072 |      0 |   961781827 |      0 |      0 |         0 
 15008 Thread 21 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-4 |  1101000 |   325000 |   423535942 |  13915431409 |         0 |      0 |   960456691 |      0 |      0 |         0 
 15009 Thread 22 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-5 |  1158000 |   412000 |   467214012 |  15322284041 |         0 |      0 |   908626546 |      0 |      0 |         0 
 15010 Thread 23 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-6 |  1079000 |   361000 |   428194227 |  14052630823 |         0 |      0 |   817669107 |      0 |      0 |         0 
 15011 Thread 24 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-7 |  1075000 |   354000 |   425397747 |  13944888901 |         0 |      0 |   808551032 |      0 |      0 |         0 
 15012 Thread 25 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-8 |  1087000 |   375000 |   434996458 |  14268308784 |      1024 |      0 |  1043995318 |      0 |      0 |         0 
 15013 Thread 26 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-2-9 |  1110000 |   418000 |   455065704 |  14912852963 |         0 |      0 |  1107261732 |      0 |      0 |         0 
 15014 Thread 27 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-10 |  1114000 |   370000 |   439981528 |  14481168358 |         0 |      0 |   993874520 |      0 |      0 |         0 
 15015 Thread 28 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-11 |  1121000 |   414000 |   457028903 |  14980966354 |         0 |      0 |  1094448280 |      0 |      0 |         0 
 15016 Thread 29 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-12 |  1122000 |   401000 |   453194376 |  14863334084 |         0 |      0 |   926423584 |      0 |      0 |         0 
 15017 Thread 30 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-13 |  1167000 |   408000 |   467799547 |  15369493904 |  10835968 |      0 |   952980178 |      0 |      0 |         0 
 15018 Thread 31 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-14 |  1143000 |   383000 |   452403458 |  14889975115 |         0 |      0 |   905882958 |      0 |      0 |         0 
 15019 Thread 32 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-15 |  1106000 |   405000 |   449223919 |  14747122486 |         0 |      0 |   995151506 |      0 |      0 |         0 
 15020 Thread 33 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-16 |  1124000 |   406000 |   455083485 |  14931493174 |         0 |      0 |  1057178793 |      0 |      0 |         0 
 15021 Thread 34 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-17 |  1091000 |   383000 |   437508766 |  14385946596 |         0 |      0 |   956444542 |      0 |      0 |         0 
 15022 Thread 35 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-18 |  1036000 |   374000 |   418892091 |  13760246690 |         0 |      0 |  1091929096 |      0 |      0 |         0 
 15023 Thread 36 - PartitionProcessorThre...b8-b4ed-b8ca9f5d5eec-2-19 |  1117000 |   417000 |   457572583 |  14971630643 |         0 |      0 |  1112346316 |      0 |      0 |         0 
 15024 Thread 37 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-0 |  1138000 |   388000 |   449088637 |  14893327424 |      1024 |      0 |  1048456759 |      0 |      0 |         0 
 15025 Thread 38 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-1 |  1146000 |   386000 |   451575520 |  14952073072 |         0 |      0 |  1123894790 |      0 |      0 |         0 
 15026 Thread 39 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-2 |  1168000 |   390000 |   457413594 |  15206115611 |         0 |      0 |  1113862838 |      0 |      0 |         0 
 15027 Thread 40 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-3 |  1170000 |   391000 |   460682727 |  15235287103 |         0 |      0 |  1126716064 |      0 |      0 |         0 
 15028 Thread 41 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-4 |  1096000 |   401000 |   442600528 |  14610915123 |         0 |      0 |  1069278007 |      0 |      0 |         0 
 15029 Thread 42 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-5 |  1108000 |   393000 |   444550688 |  14649952096 |         0 |      0 |   922080028 |      0 |      0 |         0 
 15030 Thread 43 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-6 |  1100000 |   344000 |   426260251 |  14093419092 |         0 |      0 |   951151465 |      0 |      0 |         0 
 15031 Thread 44 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-7 |  1000000 |   410000 |   414688450 |  13761340971 |         0 |      0 |   916968065 |      0 |      0 |         0 
 15032 Thread 45 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-8 |  1074000 |   381000 |   427724259 |  14200886682 |         0 |      0 |   962053147 |      0 |      0 |         0 
 15033 Thread 46 - PartitionProcessorThre...db8-b4ed-b8ca9f5d5eec-1-9 |  1098000 |   411000 |   443522723 |  14727864424 |         0 |      0 |   916973829 |      0 |      0 |         0 
