                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 44111 Thread 1 - main                                                |   591000 |   106000 |    43060842 |   5286375396 |  21203968 |   1024 |    14616669 |      0 |      0 |         0 
 44133 Thread 2 - Reference Handler                                   |     7000 |     2000 |      989746 |     71053976 |         0 |      0 |      580668 |      0 |      0 |         0 
 44134 Thread 3 - Finalizer                                           |     6000 |        0 |      759378 |     48521703 |      5120 |      0 |      172521 |      0 |      0 |         0 
 44135 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        4502 |      0 |      0 |         0 
 44136 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 44146 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28919000 | 33331000 | 18713815912 | 606271391848 | 636765184 | 132096 | 20751764170 | 184504 |      0 |         0 
 44147 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    62000 |    71712026 |   2345531409 |   6269952 |   5120 |    44048649 | 636965 |      0 |         0 
 44150 Thread 14 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-0 |  1305000 |   455000 |   528725144 |  17170720257 |         0 |      0 |  1460516353 |      0 |      0 |         0 
 44151 Thread 15 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-1 |  1330000 |   476000 |   542221508 |  17617224273 |     32768 |      0 |  1329100217 |      0 |      0 |         0 
 44152 Thread 16 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-2 |  1312000 |   467000 |   534652070 |  17358240847 |      6144 |      0 |  1507579667 |      0 |      0 |         0 
 44153 Thread 17 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-3 |  1307000 |   441000 |   526017398 |  17056415011 |         0 |      0 |  1366830326 |      0 |      0 |         0 
 44154 Thread 18 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-4 |  1341000 |   483000 |   546188050 |  17795861671 |     35840 |      0 |  1387024296 |      0 |      0 |         0 
 44155 Thread 19 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-5 |  1352000 |   479000 |   550359347 |  17866373034 |         0 |      0 |  1317427215 |      0 |      0 |         0 
 44156 Thread 20 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-6 |  1226000 |   455000 |   505335789 |  16402740851 |         0 |      0 |  1201208611 |      0 |      0 |         0 
 44157 Thread 21 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-7 |  1334000 |   433000 |   530006402 |  17240796874 |      1024 |      0 |  1464864097 |      0 |      0 |         0 
 44158 Thread 22 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-8 |  1293000 |   492000 |   536960375 |  17417335464 |         0 |      0 |  1362680646 |      0 |      0 |         0 
 44159 Thread 23 - PartitionProcessorThre...c02-b37d-6924495fef0a-0-9 |  1267000 |   494000 |   528683047 |  17182048453 |         0 |      0 |  1561232386 |      0 |      0 |         0 
 44160 Thread 24 - PartitionProcessorThre...02-b37d-6924495fef0a-0-10 |  1275000 |   439000 |   513109574 |  16722583550 |         0 |      0 |  1379515017 |      0 |      0 |         0 
 44161 Thread 25 - PartitionProcessorThre...02-b37d-6924495fef0a-0-11 |  1311000 |   476000 |   537854586 |  17434853222 |    117760 |      0 |  1406209181 |      0 |      0 |         0 
 44162 Thread 26 - PartitionProcessorThre...02-b37d-6924495fef0a-0-12 |  1345000 |   448000 |   538598906 |  17492599054 |         0 |      0 |  1410108552 |      0 |      0 |         0 
 44163 Thread 27 - PartitionProcessorThre...02-b37d-6924495fef0a-0-13 |  1322000 |   460000 |   536099910 |  17387288054 |      7168 |      0 |  1354299021 |      0 |      0 |         0 
