                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 53685 Thread 1 - main                                                |   980000 |    89000 |    72101244 |   7528507684 |  14848000 |   1024 |     6596507 |      0 |      0 |         0 
 53692 Thread 2 - Reference Handler                                   |     1000 |     1000 |      154332 |     15226351 |         0 |      0 |      188061 |      0 |      0 |         0 
 53693 Thread 3 - Finalizer                                           |     1000 |        0 |       17925 |      6313851 |      5120 |      0 |       28465 |      0 |      0 |         0 
 53694 Thread 4 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |      235042 |      0 |      0 |         0 
 53700 Thread 11 - Common-Cleaner                                     |        0 |        0 |           0 |            0 |         0 |      0 |     1118784 |      0 |      0 |         0 
 53706 Thread 13 - RMI Scheduler(0)                                   |     3000 |     1000 |     1146042 |     36640929 |      1024 |      0 |       23434 |      0 |      0 |         0 
 53712 Thread 14 - RMI RenewClean-[10.231.182.152:36808]              |     2000 |        0 |      173765 |     14875531 |         0 |      0 |           0 |      0 |      0 |         0 
 53713 Thread 15 - RMI GC Daemon                                      |        0 |        0 |           0 |            0 |         0 |      0 |        9285 |      0 |      0 |         0 
 53716 Thread 16 - DecatonSubscriptionThread-decaton-benchmark        | 23328000 | 32556000 | 19211604216 | 551321444847 | 574391296 | 109568 | 11968453042 | 101009 |      0 |         0 
 53717 Thread 17 - kafka-coordinator-hear...hread | decaton-benchmark |   236000 |    27000 |    90753003 |   2597656190 |   4762624 |   5120 |    10821233 | 467105 |      0 |         0 
 53722 Thread 18 - PartitionProcessorThre...abd-baf2-18239166450f-0-0 |   981000 |   372000 |   462237528 |  13357884047 |     33792 |      0 |   923103689 |      0 |      0 |         0 
 53723 Thread 19 - PartitionProcessorThre...abd-baf2-18239166450f-0-1 |  1049000 |   386000 |   492210016 |  14167476351 |         0 |      0 |  1038217730 |      0 |      0 |         0 
 53724 Thread 20 - PartitionProcessorThre...abd-baf2-18239166450f-0-2 |  1006000 |   340000 |   459516149 |  13290476218 |         0 |      0 |   774562193 |      0 |      0 |         0 
 53725 Thread 21 - PartitionProcessorThre...abd-baf2-18239166450f-0-3 |   981000 |   360000 |   460794145 |  13243998035 |         0 |      0 |   992296007 |      0 |      0 |         0 
 53726 Thread 22 - PartitionProcessorThre...abd-baf2-18239166450f-0-4 |   934000 |   363000 |   444283767 |  12808338523 |         0 |      0 |   953546899 |      0 |      0 |         0 
 53727 Thread 23 - PartitionProcessorThre...abd-baf2-18239166450f-0-5 |  1004000 |   396000 |   478954938 |  13823575816 |         0 |      0 |  1039597488 |      0 |      0 |         0 
 53728 Thread 24 - PartitionProcessorThre...abd-baf2-18239166450f-0-6 |  1012000 |   306000 |   449911681 |  13014124304 |         0 |      0 |   869983101 |      0 |      0 |         0 
 53729 Thread 25 - PartitionProcessorThre...abd-baf2-18239166450f-0-7 |   935000 |   357000 |   443730751 |  12760368512 |         0 |      0 |   837541991 |      0 |      0 |         0 
 53730 Thread 26 - PartitionProcessorThre...abd-baf2-18239166450f-0-8 |  1011000 |   385000 |   476886587 |  13784529308 |         0 |      0 |   976518391 |      0 |      0 |         0 
 53731 Thread 27 - PartitionProcessorThre...abd-baf2-18239166450f-0-9 |   993000 |   334000 |   453818048 |  13104405508 |         0 |      0 |   907398583 |      0 |      0 |         0 
 53732 Thread 28 - PartitionProcessorThre...bd-baf2-18239166450f-0-10 |   932000 |   340000 |   434797087 |  12557142465 |         0 |      0 |   896665889 |      0 |      0 |         0 
 53733 Thread 29 - PartitionProcessorThre...bd-baf2-18239166450f-0-11 |   943000 |   351000 |   442304970 |  12777689558 |         0 |      0 |  1016898888 |      0 |      0 |         0 
 53734 Thread 30 - PartitionProcessorThre...bd-baf2-18239166450f-0-12 |   955000 |   375000 |   455409348 |  13131071203 |      1024 |      0 |   956134204 |      0 |      0 |         0 
 53735 Thread 31 - PartitionProcessorThre...bd-baf2-18239166450f-0-13 |   936000 |   356000 |   442596802 |  12756757570 |         0 |      0 |  1040955090 |      0 |      0 |         0 
 53736 Thread 32 - PartitionProcessorThre...bd-baf2-18239166450f-0-14 |   995000 |   361000 |   465133657 |  13392781879 |         0 |      0 |   954680706 |      0 |      0 |         0 
 53737 Thread 33 - PartitionProcessorThre...bd-baf2-18239166450f-0-15 |  1000000 |   404000 |   479995837 |  13858587425 |     14336 |      0 |   986844669 |      0 |      0 |         0 
 53738 Thread 34 - PartitionProcessorThre...bd-baf2-18239166450f-0-16 |   966000 |   338000 |   446232118 |  12870931683 |         0 |      0 |   940964064 |      0 |      0 |         0 
 53739 Thread 35 - PartitionProcessorThre...bd-baf2-18239166450f-0-17 |   951000 |   327000 |   437245942 |  12617137941 |      2048 |      0 |  1022852355 |      0 |      0 |         0 
 53740 Thread 36 - PartitionProcessorThre...bd-baf2-18239166450f-0-18 |   940000 |   405000 |   460979216 |  13285482144 |         0 |      0 |   998059917 |      0 |      0 |         0 
 53741 Thread 37 - PartitionProcessorThre...bd-baf2-18239166450f-0-19 |   967000 |   322000 |   441124259 |  12725980238 |      8192 |      0 |   816049823 |      0 |      0 |         0 
 53746 Thread 38 - PartitionProcessorThre...abd-baf2-18239166450f-1-0 |  1028000 |   387000 |   482264524 |  13989344211 |         0 |      0 |  1005615000 |      0 |      0 |         0 
 53747 Thread 39 - PartitionProcessorThre...abd-baf2-18239166450f-1-1 |   971000 |   366000 |   457713173 |  13219125867 |         0 |      0 |   908948078 |      0 |      0 |         0 
 53748 Thread 40 - PartitionProcessorThre...abd-baf2-18239166450f-1-2 |   977000 |   374000 |   460647013 |  13357130238 |         0 |      0 |   856795446 |      0 |      0 |         0 
 53749 Thread 41 - PartitionProcessorThre...abd-baf2-18239166450f-1-3 |  1035000 |   420000 |   497093208 |  14385401999 |         0 |      0 |  1038652737 |      0 |      0 |         0 
 53750 Thread 42 - PartitionProcessorThre...abd-baf2-18239166450f-1-4 |  1043000 |   351000 |   476162391 |  13782353968 |         0 |      0 |   939485940 |      0 |      0 |         0 
 53751 Thread 43 - PartitionProcessorThre...abd-baf2-18239166450f-1-5 |   971000 |   389000 |   464924794 |  13446233629 |         0 |      0 |   882084514 |      0 |      0 |         0 
 53752 Thread 44 - PartitionProcessorThre...abd-baf2-18239166450f-1-6 |   975000 |   372000 |   459710266 |  13317418297 |         0 |      0 |   989555143 |      0 |      0 |         0 
 53753 Thread 45 - PartitionProcessorThre...abd-baf2-18239166450f-1-7 |  1007000 |   362000 |   469972227 |  13535098785 |         0 |      0 |   924400739 |      0 |      0 |         0 
 53754 Thread 46 - PartitionProcessorThre...abd-baf2-18239166450f-1-8 |   980000 |   408000 |   475604673 |  13723019578 |         0 |      0 |  1052676426 |      0 |      0 |         0 
 53755 Thread 47 - PartitionProcessorThre...abd-baf2-18239166450f-1-9 |  1002000 |   398000 |   480603794 |  13841919648 |         0 |      0 |   968407466 |      0 |      0 |         0 
 53756 Thread 48 - PartitionProcessorThre...bd-baf2-18239166450f-1-10 |   970000 |   360000 |   452411208 |  13149385488 |         0 |      0 |   907895990 |      0 |      0 |         0 
 53757 Thread 49 - PartitionProcessorThre...bd-baf2-18239166450f-1-11 |  1061000 |   364000 |   486664364 |  14089023808 |         0 |      0 |   992789169 |      0 |      0 |         0 
 53758 Thread 50 - PartitionProcessorThre...bd-baf2-18239166450f-1-12 |  1036000 |   362000 |   475599981 |  13821435988 |         0 |      0 |  1037232599 |      0 |      0 |         0 
 53759 Thread 51 - PartitionProcessorThre...bd-baf2-18239166450f-1-13 |  1040000 |   372000 |   482815837 |  13960272632 |         0 |      0 |   989837112 |      0 |      0 |         0 
 53760 Thread 52 - PartitionProcessorThre...bd-baf2-18239166450f-1-14 |   969000 |   334000 |   445718790 |  12882494848 |         0 |      0 |   947399635 |      0 |      0 |         0 
 53761 Thread 53 - PartitionProcessorThre...bd-baf2-18239166450f-1-15 |   967000 |   370000 |   458446411 |  13219047679 |         0 |      0 |  1117210286 |      0 |      0 |         0 
 53762 Thread 54 - PartitionProcessorThre...bd-baf2-18239166450f-1-16 |   992000 |   382000 |   470242876 |  13584609386 |         0 |      0 |  1023892632 |      0 |      0 |         0 
 53763 Thread 55 - PartitionProcessorThre...bd-baf2-18239166450f-1-17 |   938000 |   319000 |   428782825 |  12427666578 |         0 |      0 |   932631027 |      0 |      0 |         0 
 53764 Thread 56 - PartitionProcessorThre...bd-baf2-18239166450f-1-18 |   987000 |   346000 |   454851247 |  13179155258 |         0 |      0 |  1012644127 |      0 |      0 |         0 
 53765 Thread 57 - PartitionProcessorThre...bd-baf2-18239166450f-1-19 |   998000 |   393000 |   473493348 |  13752420586 |         0 |      0 |   949875366 |      0 |      0 |         0 
