                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 13411 Thread 1 - main                                                |   598000 |    72000 |    41889865 |   5104424073 |  21055488 |   1024 |     2542219 |       0 |      0 |         0 
 13433 Thread 2 - Reference Handler                                   |     7000 |        0 |      696863 |     54304015 |         0 |      0 |     1212298 |       0 |      0 |         0 
 13434 Thread 3 - Finalizer                                           |     7000 |        0 |      607886 |     53528554 |      5120 |      0 |       78794 |       0 |      0 |         0 
 13435 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 13436 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        5071 |       0 |      0 |         0 
 13445 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28929000 | 32764000 | 18250668840 | 600769694494 | 636667904 | 131072 | 18730528072 |   89021 |      0 |         0 
 13447 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   179000 |    52000 |    67780257 |   2249944828 |   6444032 |   5120 |    24047699 |  358353 |      0 |         0 
 13450 Thread 14 - PartitionProcessorThre...2e5-ab9a-bc6c6fc2840b-2-0 |  1317000 |   435000 |   519941207 |  17092091953 |         0 |      0 |  1494993825 |       0 |      0 |         0 
 13451 Thread 15 - PartitionProcessorThre...2e5-ab9a-bc6c6fc2840b-2-1 |  1270000 |   473000 |   515419949 |  16995620304 |     35840 |      0 |  1532656178 |       0 |      0 |         0 
 13452 Thread 16 - PartitionProcessorThre...2e5-ab9a-bc6c6fc2840b-2-2 |  1340000 |   485000 |   538872531 |  17802340273 |         0 |      0 |  1537371848 |       0 |      0 |         0 
 13453 Thread 17 - PartitionProcessorThre...2e5-ab9a-bc6c6fc2840b-2-3 |  1340000 |   456000 |   532286129 |  17523019339 |         0 |      0 |  1635311351 |       0 |      0 |         0 
 13454 Thread 18 - PartitionProcessorThre...2e5-ab9a-bc6c6fc2840b-2-4 |  1344000 |   444000 |   529615086 |  17444503394 |         0 |      0 |  1387244049 |       0 |      0 |         0 
 13455 Thread 19 - PartitionProcessorThre...2e5-ab9a-bc6c6fc2840b-2-5 |  1324000 |   467000 |   529683082 |  17467523714 |    123904 |      0 |  1423439338 |       0 |      0 |         0 
