                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 11023 Thread 1 - main                                                |   551000 |    91000 |    40240100 |   4865140155 |  21055488 |   1024 |     3357054 |      0 |      0 |         0 
 11045 Thread 2 - Reference Handler                                   |     4000 |     1000 |      439648 |     38066410 |         0 |      0 |      166157 |      0 |      0 |         0 
 11046 Thread 3 - Finalizer                                           |     6000 |        0 |      585546 |     46467437 |      5120 |      0 |     3312509 |      0 |      0 |         0 
 11047 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 11048 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 11056 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27706000 | 28863000 | 16562922144 | 550642383959 | 586919936 | 120832 | 15644420129 |  67032 |      0 |         0 
 11057 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   156000 |    42000 |    57848460 |   1929892332 |   4904960 |   4096 |    23995407 | 162642 |      0 |         0 
 11061 Thread 14 - PartitionProcessorThre...d09-8076-8835d3a19839-2-0 |  1189000 |   399000 |   464839294 |  15477251285 |     35840 |      0 |  1330919229 |      0 |      0 |         0 
 11062 Thread 15 - PartitionProcessorThre...d09-8076-8835d3a19839-2-1 |  1148000 |   364000 |   441923302 |  14748720281 |         0 |      0 |  1443242635 |      0 |      0 |         0 
 11063 Thread 16 - PartitionProcessorThre...d09-8076-8835d3a19839-2-2 |  1119000 |   422000 |   450367904 |  15018059328 |    119808 |      0 |  1534822695 |      0 |      0 |         0 
 11064 Thread 17 - PartitionProcessorThre...d09-8076-8835d3a19839-2-3 |  1231000 |   398000 |   475340896 |  15880720867 |      3072 |      0 |  1522288934 |      0 |      0 |         0 
 11065 Thread 18 - PartitionProcessorThre...d09-8076-8835d3a19839-2-4 |  1172000 |   437000 |   469841232 |  15691969941 |         0 |      0 |  1475941431 |      0 |      0 |         0 
 11066 Thread 19 - PartitionProcessorThre...d09-8076-8835d3a19839-2-5 |  1211000 |   497000 |   498843505 |  16660587171 |  10831872 |      0 |  1471858190 |      0 |      0 |         0 
 11067 Thread 20 - PartitionProcessorThre...d09-8076-8835d3a19839-2-6 |  1200000 |   405000 |   469709642 |  15653633171 |      1024 |      0 |  1364400284 |      0 |      0 |         0 
 11068 Thread 21 - PartitionProcessorThre...d09-8076-8835d3a19839-2-7 |  1226000 |   409000 |   478035915 |  15947197839 |         0 |      0 |  1336947465 |      0 |      0 |         0 
 11069 Thread 22 - PartitionProcessorThre...d09-8076-8835d3a19839-2-8 |  1213000 |   382000 |   467592001 |  15558633624 |         0 |      0 |  1431629151 |      0 |      0 |         0 
 11070 Thread 23 - PartitionProcessorThre...d09-8076-8835d3a19839-2-9 |  1183000 |   404000 |   463201083 |  15477841039 |         0 |      0 |  1439339792 |      0 |      0 |         0 
 11071 Thread 24 - PartitionProcessorThre...09-8076-8835d3a19839-2-10 |  1129000 |   400000 |   447357931 |  14909233601 |         0 |      0 |  1350819326 |      0 |      0 |         0 
 11072 Thread 25 - PartitionProcessorThre...09-8076-8835d3a19839-2-11 |  1195000 |   385000 |   460789072 |  15409548546 |         0 |      0 |  1200391166 |      0 |      0 |         0 
 11073 Thread 26 - PartitionProcessorThre...09-8076-8835d3a19839-2-12 |  1162000 |   404000 |   457091443 |  15274846527 |         0 |      0 |  1327996595 |  37968 |      0 |         0 
 11074 Thread 27 - PartitionProcessorThre...09-8076-8835d3a19839-2-13 |  1158000 |   419000 |   462888435 |  15384037402 |         0 |      0 |  1455437644 |      0 |      0 |         0 
 11075 Thread 28 - PartitionProcessorThre...09-8076-8835d3a19839-2-14 |  1179000 |   404000 |   462875615 |  15440993585 |      1024 |      0 |  1444439015 |      0 |      0 |         0 
 11076 Thread 29 - PartitionProcessorThre...09-8076-8835d3a19839-2-15 |  1155000 |   409000 |   458011877 |  15254454769 |     29696 |      0 |  1467845911 |      0 |      0 |         0 
 11077 Thread 30 - PartitionProcessorThre...09-8076-8835d3a19839-2-16 |  1224000 |   442000 |   486974556 |  16250859843 |         0 |      0 |  1424655685 |      0 |      0 |         0 
 11078 Thread 31 - PartitionProcessorThre...09-8076-8835d3a19839-2-17 |  1226000 |   417000 |   481173787 |  16023411765 |     16384 |      0 |  1479167269 |      0 |      0 |         0 
 11079 Thread 32 - PartitionProcessorThre...09-8076-8835d3a19839-2-18 |  1198000 |   427000 |   474486451 |  15851649437 |         0 |      0 |  1389443060 |      0 |      0 |         0 
 11080 Thread 33 - PartitionProcessorThre...09-8076-8835d3a19839-2-19 |  1168000 |   390000 |   455102720 |  15198390523 |         0 |      0 |  1319936596 |      0 |      0 |         0 
 11081 Thread 34 - PartitionProcessorThre...d09-8076-8835d3a19839-0-0 |  1139000 |   383000 |   450012166 |  14848069718 |         0 |      0 |  1333896038 |      0 |      0 |         0 
 11082 Thread 35 - PartitionProcessorThre...d09-8076-8835d3a19839-0-1 |  1104000 |   390000 |   440889076 |  14574594386 |         0 |      0 |  1409285687 |      0 |      0 |         0 
 11083 Thread 36 - PartitionProcessorThre...d09-8076-8835d3a19839-0-2 |  1149000 |   439000 |   467846939 |  15491197847 |         0 |      0 |  1397174332 |      0 |      0 |         0 
 11084 Thread 37 - PartitionProcessorThre...d09-8076-8835d3a19839-0-3 |  1135000 |   397000 |   451408107 |  14945285835 |         0 |      0 |  1523114198 |      0 |      0 |         0 
 11085 Thread 38 - PartitionProcessorThre...d09-8076-8835d3a19839-0-4 |  1181000 |   398000 |   466039513 |  15403970875 |         0 |      0 |  1325566585 |      0 |      0 |         0 
 11086 Thread 39 - PartitionProcessorThre...d09-8076-8835d3a19839-0-5 |  1120000 |   425000 |   456044255 |  15072507484 |         0 |      0 |  1374050726 |      0 |      0 |         0 
 11087 Thread 40 - PartitionProcessorThre...d09-8076-8835d3a19839-0-6 |  1079000 |   397000 |   435929166 |  14399178894 |         0 |      0 |  1342235688 |      0 |      0 |         0 
 11088 Thread 41 - PartitionProcessorThre...d09-8076-8835d3a19839-0-7 |  1211000 |   439000 |   486222118 |  16096510406 |         0 |      0 |  1393283366 |      0 |      0 |         0 
 11089 Thread 42 - PartitionProcessorThre...d09-8076-8835d3a19839-0-8 |  1197000 |   410000 |   473146361 |  15676863312 |         0 |      0 |  1198057768 |      0 |      0 |         0 
 11090 Thread 43 - PartitionProcessorThre...d09-8076-8835d3a19839-0-9 |  1062000 |   454000 |   447148681 |  14789597925 |         0 |      0 |  1298150359 |      0 |      0 |         0 
 11091 Thread 44 - PartitionProcessorThre...09-8076-8835d3a19839-0-10 |  1149000 |   412000 |   459492087 |  15228144968 |         0 |      0 |  1406168255 |      0 |      0 |         0 
 11092 Thread 45 - PartitionProcessorThre...09-8076-8835d3a19839-0-11 |  1186000 |   435000 |   477436138 |  15813637960 |         0 |      0 |  1320705350 |      0 |      0 |         0 
 11093 Thread 46 - PartitionProcessorThre...09-8076-8835d3a19839-0-12 |  1192000 |   428000 |   477313505 |  15803557144 |         0 |      0 |  1550362682 |      0 |      0 |         0 
 11094 Thread 47 - PartitionProcessorThre...09-8076-8835d3a19839-0-13 |  1182000 |   426000 |   473031216 |  15686604152 |         0 |      0 |  1527044013 |      0 |      0 |         0 
 11095 Thread 48 - PartitionProcessorThre...09-8076-8835d3a19839-0-14 |  1123000 |   405000 |   449503513 |  14906485769 |         0 |      0 |  1307027200 |      0 |      0 |         0 
 11096 Thread 49 - PartitionProcessorThre...09-8076-8835d3a19839-0-15 |  1104000 |   435000 |   453949802 |  15013425332 |         0 |      0 |  1553648758 |      0 |      0 |         0 
 11097 Thread 50 - PartitionProcessorThre...09-8076-8835d3a19839-0-16 |  1200000 |   383000 |   467068193 |  15443010335 |         0 |      0 |  1548835413 |      0 |      0 |         0 
 11098 Thread 51 - PartitionProcessorThre...09-8076-8835d3a19839-0-17 |  1244000 |   377000 |   478485978 |  15813553304 |         0 |      0 |  1386834688 |      0 |      0 |         0 
