                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 98930 Thread 1 - main                                                |   595000 |    61000 |    40454041 |   4972131773 |  21195776 |   1024 |     2024693 |        0 |      0 |         0 
 98952 Thread 2 - Reference Handler                                   |     9000 |        0 |     1015839 |     71752515 |         0 |      0 |     3225479 |        0 |      0 |         0 
 98953 Thread 3 - Finalizer                                           |     7000 |        0 |      684628 |     54301773 |     13312 |      0 |      415537 |        0 |      0 |         0 
 98954 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        6895 |        0 |      0 |         0 
 98955 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        3684 |        0 |      0 |         0 
 98964 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30339000 | 33409000 | 18618142167 | 620785550192 | 636516352 | 130048 | 19700593779 | 12773048 |      0 |         0 
 98965 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   180000 |    53000 |    67547222 |   2273199225 |   6517760 |   5120 |    17544679 | 16183267 |      0 |         0 
 98968 Thread 14 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-0 |  1303000 |   444000 |   507370886 |  17023054712 |     36864 |      0 |  1336332594 |        0 |      0 |         0 
 98969 Thread 15 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-1 |  1298000 |   456000 |   512799652 |  17108473165 |      2048 |      0 |  1505702850 |        0 |      0 |         0 
 98970 Thread 16 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-2 |  1333000 |   442000 |   516868000 |  17309059114 |    118784 |      0 |  1523260388 |        0 |      0 |         0 
 98971 Thread 17 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-3 |  1376000 |   436000 |   530872179 |  17679562630 |         0 |      0 |  1483525417 |        0 |      0 |         0 
 98972 Thread 18 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-4 |  1378000 |   494000 |   547761042 |  18260424669 |         0 |      0 |  1451239909 |        0 |      0 |         0 
 98973 Thread 19 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-5 |  1319000 |   448000 |   513312152 |  17232912396 |         0 |      0 |  1502854168 |        0 |      0 |         0 
 98974 Thread 20 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-6 |  1339000 |   482000 |   530844316 |  17763672392 |      3072 |      0 |  1444342296 |        0 |      0 |         0 
 98975 Thread 21 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-7 |  1341000 |   463000 |   527231070 |  17600903931 |         0 |      0 |  1534437098 |  5127664 |      0 |         0 
 98976 Thread 22 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-8 |  1368000 |   419000 |   521268504 |  17433854118 |         0 |      0 |  1313442808 |        0 |      0 |         0 
 98977 Thread 23 - PartitionProcessorThre...b50-8016-75c8686e05cc-2-9 |  1357000 |   434000 |   523792898 |  17472402306 |         0 |      0 |  1472522233 |        0 |      0 |         0 
 98978 Thread 24 - PartitionProcessorThre...50-8016-75c8686e05cc-2-10 |  1359000 |   453000 |   528715250 |  17677888470 |      1024 |      0 |  1561626758 |        0 |      0 |         0 
 98979 Thread 25 - PartitionProcessorThre...50-8016-75c8686e05cc-2-11 |  1340000 |   439000 |   519514148 |  17357812192 |         0 |      0 |  1597704007 |        0 |      0 |         0 
 98980 Thread 26 - PartitionProcessorThre...50-8016-75c8686e05cc-2-12 |  1368000 |   476000 |   536317343 |  17990407903 |         0 |      0 |  1339715078 |        0 |      0 |         0 
 98981 Thread 27 - PartitionProcessorThre...50-8016-75c8686e05cc-2-13 |  1355000 |   466000 |   529366515 |  17765286685 |         0 |      0 |  1372516351 |        0 |      0 |         0 
 98982 Thread 28 - PartitionProcessorThre...50-8016-75c8686e05cc-2-14 |  1327000 |   423000 |   509586179 |  17073240997 |         0 |      0 |  1426297360 |        0 |      0 |         0 
 98983 Thread 29 - PartitionProcessorThre...50-8016-75c8686e05cc-2-15 |  1288000 |   448000 |   506320008 |  16936780857 |         0 |      0 |  1529413360 |        0 |      0 |         0 
 98984 Thread 30 - PartitionProcessorThre...50-8016-75c8686e05cc-2-16 |  1344000 |   472000 |   528612886 |  17716073587 |     40960 |      0 |  1509535142 |        0 |      0 |         0 
 98985 Thread 31 - PartitionProcessorThre...50-8016-75c8686e05cc-2-17 |  1373000 |   507000 |   547811906 |  18342160325 |      1024 |      0 |  1656180755 |        0 |      0 |         0 
 98986 Thread 32 - PartitionProcessorThre...50-8016-75c8686e05cc-2-18 |  1367000 |   463000 |   534712054 |  17854655071 |         0 |      0 |  1537819939 |        0 |      0 |         0 
 98987 Thread 33 - PartitionProcessorThre...50-8016-75c8686e05cc-2-19 |  1367000 |   467000 |   536240945 |  17894087294 |         0 |      0 |  1314442698 |        0 |      0 |         0 
 98988 Thread 34 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-0 |  1299000 |   445000 |   512873090 |  17017880743 |         0 |      0 |  1555911785 |        0 |      0 |         0 
 98989 Thread 35 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-1 |  1285000 |   447000 |   508136863 |  16900194603 |         0 |      0 |  1332020158 |        0 |      0 |         0 
 98990 Thread 36 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-2 |  1327000 |   458000 |   523123050 |  17416477544 |         0 |      0 |  1517511831 |        0 |      0 |         0 
 98991 Thread 37 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-3 |  1283000 |   467000 |   512908539 |  17075294540 |         0 |      0 |  1346463486 |        0 |      0 |         0 
 98992 Thread 38 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-4 |  1341000 |   471000 |   532075648 |  17680981696 |         0 |      0 |  1702335943 |        0 |      0 |         0 
 98993 Thread 39 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-5 |  1341000 |   539000 |   552035570 |  18344325071 |         0 |      0 |  1780000785 |        0 |      0 |         0 
 98994 Thread 40 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-6 |  1352000 |   457000 |   531591004 |  17651968106 |         0 |      0 |  1590779041 |        0 |      0 |         0 
 98995 Thread 41 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-7 |  1281000 |   487000 |   519771925 |  17252023275 |         0 |      0 |  1538123859 |        0 |      0 |         0 
 98996 Thread 42 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-8 |  1288000 |   448000 |   509867164 |  16939001150 |         0 |      0 |  1573918044 |        0 |      0 |         0 
 98997 Thread 43 - PartitionProcessorThre...b50-8016-75c8686e05cc-1-9 |  1315000 |   469000 |   523353410 |  17407789306 |      1024 |      0 |  1592395119 |        0 |      0 |         0 
 98998 Thread 44 - PartitionProcessorThre...50-8016-75c8686e05cc-1-10 |  1310000 |   424000 |   509213941 |  16919975868 |         0 |      0 |  1616146971 |        0 |      0 |         0 
 98999 Thread 45 - PartitionProcessorThre...50-8016-75c8686e05cc-1-11 |  1278000 |   434000 |   503311613 |  16705908001 |         0 |      0 |  1426400708 |        0 |      0 |         0 
 99000 Thread 46 - PartitionProcessorThre...50-8016-75c8686e05cc-1-12 |  1244000 |   459000 |   500510590 |  16618451009 |         0 |      0 |  1408460297 |        0 |      0 |         0 
 99001 Thread 47 - PartitionProcessorThre...50-8016-75c8686e05cc-1-13 |  1265000 |   461000 |   506807226 |  16841578185 |         0 |      0 |  1282144442 |        0 |      0 |         0 
 99002 Thread 48 - PartitionProcessorThre...50-8016-75c8686e05cc-1-14 |  1259000 |   444000 |   498648804 |  16616770872 |         0 |      0 |  1379636603 |        0 |      0 |         0 
 99003 Thread 49 - PartitionProcessorThre...50-8016-75c8686e05cc-1-15 |  1380000 |   471000 |   543453750 |  18062155173 |         0 |      0 |  1561495059 |        0 |      0 |         0 
 99004 Thread 50 - PartitionProcessorThre...50-8016-75c8686e05cc-1-16 |  1280000 |   427000 |   499928336 |  16656899474 |         0 |      0 |  1439033419 |        0 |      0 |         0 
 99005 Thread 51 - PartitionProcessorThre...50-8016-75c8686e05cc-1-17 |  1307000 |   501000 |   531104738 |  17642552716 |         0 |      0 |  1303877559 |        0 |      0 |         0 
 99006 Thread 52 - PartitionProcessorThre...50-8016-75c8686e05cc-1-18 |  1265000 |   474000 |   510646246 |  16968843970 |         0 |      0 |  1548802750 |        0 |      0 |         0 
 99007 Thread 53 - PartitionProcessorThre...50-8016-75c8686e05cc-1-19 |  1311000 |   465000 |   520688789 |  17329922591 |         0 |      0 |  1369538317 |        0 |      0 |         0 
 99008 Thread 54 - PartitionProcessorThre...b50-8016-75c8686e05cc-0-0 |  1395000 |   496000 |   554238816 |  18451046087 |         0 |      0 |  1517066509 |        0 |      0 |         0 
 99009 Thread 55 - PartitionProcessorThre...b50-8016-75c8686e05cc-0-1 |  1354000 |   530000 |   553953105 |  18383530512 |         0 |      0 |  1557168822 |        0 |      0 |         0 
 99010 Thread 56 - PartitionProcessorThre...b50-8016-75c8686e05cc-0-2 |  1323000 |   453000 |   521985945 |  17329230482 |         0 |      0 |  1544725088 |        0 |      0 |         0 
 99011 Thread 57 - PartitionProcessorThre...b50-8016-75c8686e05cc-0-3 |  1288000 |   505000 |   527852468 |  17495435337 |         0 |      0 |  1542554412 |        0 |      0 |         0 
