                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 96299 Thread 1 - main                                                |   605000 |    60000 |    40293674 |   5055944554 |  21203968 |   1024 |     3171821 |      0 |      0 |         0 
 96321 Thread 2 - Reference Handler                                   |     4000 |     1000 |      425828 |     38065128 |         0 |      0 |      324331 |      0 |      0 |         0 
 96322 Thread 3 - Finalizer                                           |     2000 |     2000 |      604335 |     33018437 |      5120 |      0 |     1662290 |      0 |      0 |         0 
 96323 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        1139 |      0 |      0 |         0 
 96324 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        1891 |      0 |      0 |         0 
 96332 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28111000 | 30164000 | 17798689109 | 567257551808 | 586017792 | 141312 | 17991473795 | 156629 |      0 |         0 
 96334 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   203000 |    53000 |    78248987 |   2495721956 |   5648384 |   5120 |    28633220 | 531912 |      0 |         0 
 96337 Thread 14 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-0 |  1326000 |   396000 |   520304340 |  16767021861 |    160768 |      0 |  1449683974 |      0 |      0 |         0 
 96338 Thread 15 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-1 |  1236000 |   412000 |   499418032 |  16065598244 |         0 |      0 |  1283207472 |      0 |      0 |         0 
 96339 Thread 16 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-2 |  1203000 |   451000 |   500440653 |  16129174283 |      1024 |      0 |  1479274919 |      0 |      0 |         0 
 96340 Thread 17 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-3 |  1192000 |   394000 |   482192216 |  15470659373 |         0 |      0 |  1247521143 |      0 |      0 |         0 
 96341 Thread 18 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-4 |  1169000 |   414000 |   480539598 |  15438967764 |         0 |      0 |  1457321038 |      0 |      0 |         0 
 96342 Thread 19 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-5 |  1201000 |   406000 |   487873024 |  15674624638 |         0 |      0 |  1429815649 |      0 |      0 |         0 
 96343 Thread 20 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-6 |  1202000 |   430000 |   494407301 |  15913781685 |         0 |      0 |  1410709452 |      0 |      0 |         0 
 96344 Thread 21 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-7 |  1240000 |   412000 |   499647946 |  16112081513 |         0 |      0 |  1333487076 |      0 |      0 |         0 
 96345 Thread 22 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-8 |  1216000 |   411000 |   492637868 |  15869358345 |         0 |      0 |  1365370964 |      0 |      0 |         0 
 96346 Thread 23 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-0-9 |  1262000 |   419000 |   510300833 |  16396520701 |         0 |      0 |  1561921278 |      0 |      0 |         0 
 96347 Thread 24 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-10 |  1224000 |   444000 |   506311133 |  16270852369 |         0 |      0 |  1545254648 |      0 |      0 |         0 
 96348 Thread 25 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-11 |  1186000 |   436000 |   491358567 |  15822225666 |         0 |      0 |  1610344228 |      0 |      0 |         0 
 96349 Thread 26 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-12 |  1224000 |   420000 |   496674989 |  16035968849 |         0 |      0 |  1205340532 |      0 |      0 |         0 
 96350 Thread 27 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-13 |  1296000 |   419000 |   520081340 |  16728595790 |         0 |      0 |  1430711152 |      0 |      0 |         0 
 96351 Thread 28 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-14 |  1212000 |   460000 |   507730024 |  16307779283 |         0 |      0 |  1607776786 |      0 |      0 |         0 
 96352 Thread 29 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-15 |  1265000 |   425000 |   513634626 |  16486202185 |         0 |      0 |  1463132918 |      0 |      0 |         0 
 96353 Thread 30 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-16 |  1267000 |   429000 |   515119610 |  16541943134 |     35840 |      0 |  1625986597 |      0 |      0 |         0 
 96354 Thread 31 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-17 |  1193000 |   395000 |   482928637 |  15489371451 |      4096 |      0 |  1221171369 |      0 |      0 |         0 
 96355 Thread 32 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-18 |  1211000 |   413000 |   495765013 |  15841359326 |         0 |      0 |  1585901544 |      0 |      0 |         0 
 96356 Thread 33 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-0-19 |  1245000 |   414000 |   503223247 |  16182472185 |         0 |      0 |  1431473689 |      0 |      0 |         0 
 96357 Thread 34 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-0 |  1184000 |   429000 |   495985231 |  15735208396 |         0 |      0 |  1460046518 |      0 |      0 |         0 
 96358 Thread 35 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-1 |  1178000 |   419000 |   492153891 |  15579069865 |         0 |      0 |  1541752861 |      0 |      0 |         0 
 96359 Thread 36 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-2 |  1190000 |   376000 |   482458626 |  15276720182 |         0 |      0 |  1453416874 |      0 |      0 |         0 
 96360 Thread 37 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-3 |  1239000 |   415000 |   509543708 |  16135154404 |         0 |      0 |  1449843317 |      0 |      0 |         0 
 96361 Thread 38 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-4 |  1249000 |   422000 |   514512524 |  16301045111 |         0 |      0 |  1357231516 |      0 |      0 |         0 
 96362 Thread 39 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-5 |  1203000 |   399000 |   492742231 |  15627795689 |         0 |      0 |  1317028678 |      0 |      0 |         0 
 96363 Thread 40 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-6 |  1222000 |   416000 |   503865231 |  15978857302 |         0 |      0 |  1441454623 |      0 |      0 |         0 
 96364 Thread 41 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-7 |  1197000 |   415000 |   496234270 |  15725388580 |         0 |      0 |  1282950094 |      0 |      0 |         0 
 96365 Thread 42 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-8 |  1248000 |   422000 |   513453969 |  16291366584 |         0 |      0 |  1537568507 |      0 |      0 |         0 
 96366 Thread 43 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-2-9 |  1159000 |   400000 |   480196997 |  15208837205 |         0 |      0 |  1399081399 |      0 |      0 |         0 
 96367 Thread 44 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-10 |  1181000 |   393000 |   484278540 |  15354528635 |         0 |      0 |  1484559488 |      0 |      0 |         0 
 96368 Thread 45 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-11 |  1214000 |   421000 |   503928239 |  15949886400 |         0 |      0 |  1377094250 |      0 |      0 |         0 
 96369 Thread 46 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-12 |  1186000 |   398000 |   487828684 |  15452620025 |         0 |      0 |  1529055138 |      0 |      0 |         0 
 96370 Thread 47 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-13 |  1182000 |   419000 |   492306227 |  15618617052 |         0 |      0 |  1316796010 |      0 |      0 |         0 
 96371 Thread 48 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-14 |  1128000 |   399000 |   469991931 |  14896283549 |         0 |      0 |  1335865017 |      0 |      0 |         0 
 96372 Thread 49 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-15 |  1163000 |   414000 |   485647716 |  15384181947 |         0 |      0 |  1343968250 |      0 |      0 |         0 
 96373 Thread 50 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-16 |  1111000 |   400000 |   464216989 |  14740277291 |      3072 |      0 |  1420800522 |      0 |      0 |         0 
 96374 Thread 51 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-17 |  1104000 |   421000 |   469660536 |  14876480115 |         0 |      0 |  1436515635 |      0 |      0 |         0 
 96375 Thread 52 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-18 |  1173000 |   447000 |   498497188 |  15803527908 |         0 |      0 |  1520241404 |      0 |      0 |         0 
 96376 Thread 53 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-2-19 |  1098000 |   401000 |   460836845 |  14623167733 |         0 |      0 |  1527483568 |      0 |      0 |         0 
 96377 Thread 54 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-0 |  1157000 |   459000 |   498245419 |  15764354256 |         0 |      0 |  1506584438 |      0 |      0 |         0 
 96378 Thread 55 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-1 |  1181000 |   400000 |   488220766 |  15423122017 |         0 |      0 |  1293989422 |      0 |      0 |         0 
 96379 Thread 56 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-2 |  1180000 |   421000 |   494311059 |  15618558947 |  10831872 |      0 |  1419429617 |      0 |      0 |         0 
 96380 Thread 57 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-3 |  1134000 |   400000 |   473453903 |  14964698072 |         0 |      0 |  1290077757 |      0 |      0 |         0 
 96381 Thread 58 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-4 |  1173000 |   398000 |   484622384 |  15325454346 |         0 |      0 |  1341276388 |      0 |      0 |         0 
 96382 Thread 59 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-5 |  1221000 |   433000 |   510183008 |  16135008822 |         0 |      0 |  1465333811 |      0 |      0 |         0 
 96383 Thread 60 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-6 |  1211000 |   395000 |   495022098 |  15666896896 |         0 |      0 |  1496559617 |      0 |      0 |         0 
 96384 Thread 61 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-7 |  1178000 |   393000 |   484707024 |  15325547869 |         0 |      0 |  1512136057 |      0 |      0 |         0 
 96385 Thread 62 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-8 |  1125000 |   385000 |   465841638 |  14730498658 |         0 |      0 |  1461731723 |      0 |      0 |         0 
 96386 Thread 63 - PartitionProcessorThre...538-b090-5bd3c63c1c1f-1-9 |  1202000 |   384000 |   488975075 |  15471676158 |         0 |      0 |  1381693463 |      0 |      0 |         0 
 96387 Thread 64 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-10 |  1124000 |   414000 |   473764341 |  15003210014 |         0 |      0 |  1409736331 |      0 |      0 |         0 
 96388 Thread 65 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-11 |  1161000 |   404000 |   482645255 |  15266766428 |         0 |      0 |  1480063380 |      0 |      0 |         0 
 96389 Thread 66 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-12 |  1110000 |   375000 |   458163888 |  14486700768 |         0 |      0 |  1462547819 |      0 |      0 |         0 
 96390 Thread 67 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-13 |  1158000 |   454000 |   497335653 |  15725458900 |         0 |      0 |  1445681601 |      0 |      0 |         0 
 96391 Thread 68 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-14 |  1194000 |   426000 |   499720098 |  15803176947 |         0 |      0 |  1426807520 |      0 |      0 |         0 
 96392 Thread 69 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-15 |  1157000 |   472000 |   502414501 |  15891214884 |         0 |      0 |  1381281880 |      0 |      0 |         0 
 96393 Thread 70 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-16 |  1131000 |   426000 |   480588278 |  15188657947 |         0 |      0 |  1380256208 |      0 |      0 |         0 
 96394 Thread 71 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-17 |  1185000 |   404000 |   490614923 |  15501255510 |         0 |      0 |  1457701998 |      0 |      0 |         0 
 96395 Thread 72 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-18 |  1225000 |   425000 |   508615012 |  16096055228 |         0 |      0 |  1365279351 |      0 |      0 |         0 
 96396 Thread 73 - PartitionProcessorThre...38-b090-5bd3c63c1c1f-1-19 |  1110000 |   448000 |   480424817 |  15198525197 |         0 |      0 |  1446989309 |      0 |      0 |         0 
 96814 Thread 74 - process reaper                                     |     1000 |        0 |      322390 |      9785679 |         0 |      0 |        6730 |      0 |      0 |         0 
 96820 Thread 75 - Attach Listener                                    |   355000 |    95000 |   141548624 |   4397322854 |   5304320 | 137216 |     1870330 |      0 |      0 |         0 
