                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 88162 Thread 1 - main                                                |   807000 |   142000 |    63360939 |   7292430627 |  34140160 |   1024 |    10868641 |      0 |      0 |         0 
 88184 Thread 2 - Reference Handler                                   |     4000 |        0 |      349976 |     31646023 |         0 |      0 |     1732301 |      0 |      0 |         0 
 88185 Thread 3 - Finalizer                                           |     6000 |        0 |      456609 |     46600386 |      5120 |      0 |     1796041 |      0 |      0 |         0 
 88186 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       49498 |      0 |      0 |         0 
 88187 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 88198 Thread 12 - RMI Scheduler(0)                                   |     2000 |     1000 |      698527 |     27276285 |      4096 |      0 |      267636 |      0 |      0 |         0 
 88199 Thread 13 - RMI RenewClean-[10.231.182.152:35506]              |        0 |        0 |           0 |            0 |      1024 |      0 |       15092 |      0 |      0 |         0 
 88200 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 88202 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29899000 | 30590000 | 18560222507 | 589288588612 | 572976128 | 139264 | 18844371262 | 194651 |      0 |         0 
 88204 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   231000 |    61000 |    88775198 |   2835339788 |   6681600 |   5120 |    46250384 | 178667 |      0 |         0 
 88208 Thread 17 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-0 |  1273000 |   428000 |   518964426 |  16576099848 |     33792 |      0 |  1604596141 |      0 |      0 |         0 
 88209 Thread 18 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-1 |  1268000 |   386000 |   505617047 |  16126122606 |         0 |      0 |  1496201983 |      0 |      0 |         0 
 88210 Thread 19 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-2 |  1251000 |   416000 |   508767820 |  16248923895 |    117760 |      0 |  1841986583 |      0 |      0 |         0 
 88211 Thread 20 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-3 |  1360000 |   436000 |   548906394 |  17507292544 |         0 |      0 |  1653641129 |      0 |      0 |         0 
 88212 Thread 21 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-4 |  1407000 |   428000 |   558542664 |  17886326981 |         0 |      0 |  1924767300 |      0 |      0 |         0 
 88213 Thread 22 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-5 |  1333000 |   418000 |   534531090 |  17072402282 |         0 |      0 |  1599038590 |      0 |      0 |         0 
 88214 Thread 23 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-6 |  1353000 |   419000 |   540856394 |  17275858344 |         0 |      0 |  1653681271 |      0 |      0 |         0 
 88215 Thread 24 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-7 |  1350000 |   445000 |   547658339 |  17502021755 |         0 |      0 |  1503592971 |      0 |      0 |         0 
 88216 Thread 25 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-8 |  1359000 |   411000 |   538920879 |  17254185083 |      3072 |      0 |  1598508342 |      0 |      0 |         0 
 88217 Thread 26 - PartitionProcessorThre...5d4-af61-db0c6875c62b-0-9 |  1258000 |   424000 |   513726601 |  16397130317 |         0 |      0 |  1538469870 |      0 |      0 |         0 
 88218 Thread 27 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-10 |  1354000 |   411000 |   537717879 |  17205536852 |      1024 |      0 |  1636668488 |      0 |      0 |         0 
 88219 Thread 28 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-11 |  1425000 |   441000 |   568193535 |  18194755883 |      4096 |      0 |  1740309105 |      0 |      0 |         0 
 88220 Thread 29 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-12 |  1424000 |   436000 |   568050277 |  18135596442 |         0 |      0 |  1740999609 |      0 |      0 |         0 
 88221 Thread 30 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-13 |  1334000 |   435000 |   542956879 |  17253003598 |         0 |      0 |  1653449107 |      0 |      0 |         0 
 88222 Thread 31 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-14 |  1368000 |   420000 |   546052824 |  17435990286 |  10831872 |      0 |  1724663328 |      0 |      0 |         0 
 88223 Thread 32 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-15 |  1296000 |   419000 |   524251859 |  16724101895 |         0 |      0 |  1727959838 |      0 |      0 |         0 
 88224 Thread 33 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-16 |  1357000 |   433000 |   545714675 |  17450330188 |         0 |      0 |  1698560326 |      0 |      0 |         0 
 88225 Thread 34 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-17 |  1287000 |   418000 |   520625793 |  16623636747 |         0 |      0 |  1675329248 |      0 |      0 |         0 
 88226 Thread 35 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-18 |  1367000 |   435000 |   547833879 |  17569395005 |         0 |      0 |  1756621605 |      0 |      0 |         0 
 88227 Thread 36 - PartitionProcessorThre...d4-af61-db0c6875c62b-0-19 |  1281000 |   370000 |   503622195 |  16096713927 |         0 |      0 |  1557331818 |      0 |      0 |         0 
 88228 Thread 37 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-0 |  1252000 |   405000 |   511458875 |  16169050251 |         0 |      0 |  1441359928 |      0 |      0 |         0 
 88229 Thread 38 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-1 |  1275000 |   413000 |   521369793 |  16471732446 |         0 |      0 |  1657532037 |      0 |      0 |         0 
 88230 Thread 39 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-2 |  1342000 |   434000 |   547384007 |  17330160813 |         0 |      0 |  1607332346 |      0 |      0 |         0 
 88231 Thread 40 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-3 |  1317000 |   445000 |   543855847 |  17193594411 |         0 |      0 |  1555606605 |      0 |      0 |         0 
 88232 Thread 41 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-4 |  1270000 |   413000 |   520006281 |  16423327067 |         0 |      0 |  1717498534 |      0 |      0 |         0 
 88233 Thread 42 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-5 |  1305000 |   397000 |   523237472 |  16608127825 |         0 |      0 |  1708590801 |      0 |      0 |         0 
 88234 Thread 43 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-6 |  1301000 |   403000 |   524359797 |  16627846860 |         0 |      0 |  1701824051 |      0 |      0 |         0 
 88235 Thread 44 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-7 |  1291000 |   393000 |   518403523 |  16432529001 |         0 |      0 |  1583690248 |      0 |      0 |         0 
 88236 Thread 45 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-8 |  1311000 |   438000 |   539829488 |  17067159477 |         0 |      0 |  1686608944 |      0 |      0 |         0 
 88237 Thread 46 - PartitionProcessorThre...5d4-af61-db0c6875c62b-2-9 |  1261000 |   405000 |   514140988 |  16257357610 |         0 |      0 |  1732104658 |      0 |      0 |         0 
 88238 Thread 47 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-10 |  1309000 |   411000 |   530610000 |  16784233161 |         0 |      0 |  1830575633 |      0 |      0 |         0 
 88239 Thread 48 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-11 |  1303000 |   431000 |   534677695 |  16920124181 |         0 |      0 |  1646332026 |      0 |      0 |         0 
 88240 Thread 49 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-12 |  1306000 |   435000 |   537340043 |  16988680083 |         0 |      0 |  1840855836 |      0 |      0 |         0 
 88241 Thread 50 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-13 |  1319000 |   415000 |   534555035 |  16920542434 |         0 |      0 |  1731014693 |      0 |      0 |         0 
 88242 Thread 51 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-14 |  1247000 |   378000 |   500453555 |  15857062224 |         0 |      0 |  1722902121 |      0 |      0 |         0 
 88243 Thread 52 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-15 |  1279000 |   439000 |   531018004 |  16764643165 |      3072 |      0 |  1716795917 |      0 |      0 |         0 
 88244 Thread 53 - PartitionProcessorThre...d4-af61-db0c6875c62b-2-16 |  1205000 |   423000 |   502765832 |  15886359778 |         0 |      0 |  1803891837 |      0 |      0 |         0 
