                                 Task                                  |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 147935 Thread 1 - main                                                |   601000 |   116000 |    44022365 |   5451267088 |  21206016 |   2048 |     4585087 |      0 |      0 |         0 
 147957 Thread 2 - Reference Handler                                   |     6000 |     2000 |      901535 |     63385289 |         0 |      0 |      384010 |      0 |      0 |         0 
 147958 Thread 3 - Finalizer                                           |     4000 |     1000 |      826601 |     42770910 |      5120 |      0 |     1754658 |      0 |      0 |         0 
 147959 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |     1000 |       26707 |      7228289 |         0 |      0 |       15308 |      0 |      0 |         0 
 147960 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 147970 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 30589000 | 34370000 | 18801756008 | 632605425634 | 635850752 | 144384 | 21895760438 | 126493 |      0 |         0 
 147971 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   243000 |    69000 |    89361151 |   3039804058 |   7163904 |   6144 |    22080363 | 749289 |      0 |         0 
 147975 Thread 14 - PartitionProcessorThre...77d-814b-8c993846062e-0-0 |  1429000 |   488000 |   551712359 |  18685816021 |     36864 |      0 |  1729188481 |      0 |      0 |         0 
 147976 Thread 15 - PartitionProcessorThre...77d-814b-8c993846062e-0-1 |  1328000 |   463000 |   517807461 |  17468047657 |      3072 |      0 |  1733069679 |      0 |      0 |         0 
 147977 Thread 16 - PartitionProcessorThre...77d-814b-8c993846062e-0-2 |  1399000 |   461000 |   537804996 |  18148242626 |         0 |      0 |  1716007996 |      0 |      0 |         0 
 147978 Thread 17 - PartitionProcessorThre...77d-814b-8c993846062e-0-3 |  1379000 |   486000 |   537206824 |  18193257446 |         0 |      0 |  1677523008 |      0 |      0 |         0 
 147979 Thread 18 - PartitionProcessorThre...77d-814b-8c993846062e-0-4 |  1424000 |   465000 |   545355738 |  18427716271 |         0 |      0 |  1869381325 |      0 |      0 |         0 
 147980 Thread 19 - PartitionProcessorThre...77d-814b-8c993846062e-0-5 |  1416000 |   468000 |   546965359 |  18382255802 |         0 |      0 |  1658756303 |      0 |      0 |         0 
 147981 Thread 20 - PartitionProcessorThre...77d-814b-8c993846062e-0-6 |  1352000 |   430000 |   514093008 |  17382641204 |    117760 |      0 |  1474299837 |      0 |      0 |         0 
 147982 Thread 21 - PartitionProcessorThre...77d-814b-8c993846062e-0-7 |  1360000 |   483000 |   532170473 |  17979888056 |         0 |      0 |  1421533323 |      0 |      0 |         0 
 147983 Thread 22 - PartitionProcessorThre...77d-814b-8c993846062e-0-8 |  1398000 |   492000 |   545634316 |  18440207552 |         0 |      0 |  1734058046 |      0 |      0 |         0 
 147984 Thread 23 - PartitionProcessorThre...77d-814b-8c993846062e-0-9 |  1471000 |   465000 |   557019340 |  18888693896 |         0 |      0 |  1538780680 |      0 |      0 |         0 
 147985 Thread 24 - PartitionProcessorThre...7d-814b-8c993846062e-0-10 |  1463000 |   466000 |   558191633 |  18821613243 |         0 |      0 |  1622878143 |      0 |      0 |         0 
 147986 Thread 25 - PartitionProcessorThre...7d-814b-8c993846062e-0-11 |  1467000 |   474000 |   558877066 |  18939227556 |         0 |      0 |  1697327451 |      0 |      0 |         0 
