                                Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 5735 Thread 1 - main                                                |   800000 |   159000 |    62112287 |   7342312354 |  34130944 |   1024 |    12110196 |      0 |      0 |         0 
 5757 Thread 2 - Reference Handler                                   |     9000 |     1000 |     1367667 |     84775621 |         0 |      0 |     1099755 |      0 |      0 |         0 
 5758 Thread 3 - Finalizer                                           |     7000 |     1000 |      730863 |     64324195 |     13312 |      0 |      195364 |      0 |      0 |         0 
 5759 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 5760 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      303503 |      9757746 |         0 |      0 |        1300 |      0 |      0 |         0 
 5768 Thread 12 - RMI Scheduler(0)                                   |     3000 |     1000 |     1213164 |     39060523 |      4096 |      0 |     2506600 |      0 |      0 |         0 
 5769 Thread 13 - RMI RenewClean-[10.231.182.152:38776]              |        0 |     1000 |       75109 |      7826242 |      1024 |      0 |       15092 |      0 |      0 |         0 
 5770 Thread 14 - GC Daemon                                          |        0 |     1000 |       75367 |      7893246 |         0 |      0 |           0 |      0 |      0 |         0 
 5772 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 31213000 | 34257000 | 19514682351 | 638078297005 | 624721920 | 136192 | 19057057920 | 149182 |      0 |         0 
 5774 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   223000 |    34000 |    75745523 |   2504275718 |   6217728 |   4096 |    52985963 | 644434 |      0 |         0 
 5779 Thread 17 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-0 |  1457000 |   473000 |   569670985 |  18804111133 |     36864 |      0 |  1737535454 |      0 |      0 |         0 
 5780 Thread 18 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-1 |  1304000 |   513000 |   534884837 |  17711624414 |         0 |      0 |  1484478571 |      0 |      0 |         0 
 5781 Thread 19 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-2 |  1450000 |   473000 |   568406579 |  18748222258 |         0 |      0 |  1447133078 |      0 |      0 |         0 
 5782 Thread 20 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-3 |  1421000 |   513000 |   571182403 |  18853696238 |         0 |      0 |  1708215368 |      0 |      0 |         0 
 5783 Thread 21 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-4 |  1408000 |   408000 |   537696508 |  17709202399 |         0 |      0 |  1338989954 |      0 |      0 |         0 
 5784 Thread 22 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-5 |  1306000 |   453000 |   520798102 |  17152846000 |         0 |      0 |  1637749658 |      0 |      0 |         0 
 5785 Thread 23 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-6 |  1312000 |   434000 |   517835126 |  17028014247 |         0 |      0 |  1376674825 | 927269 |      0 |         0 
 5786 Thread 24 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-7 |  1417000 |   467000 |   555409207 |  18368833973 |         0 |      0 |  1555956500 |      0 |      0 |         0 
 5787 Thread 25 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-8 |  1373000 |   476000 |   547985262 |  18028521961 |      5120 |      0 |  1422749638 |      0 |      0 |         0 
 5788 Thread 26 - PartitionProcessorThre...c50-823a-92ed9d1d838e-1-9 |  1428000 |   457000 |   561688477 |  18389162168 |         0 |      0 |  1497951524 |      0 |      0 |         0 
 5789 Thread 27 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-10 |  1454000 |   464000 |   570230993 |  18707109367 |         0 |      0 |  1458663318 |      0 |      0 |         0 
 5790 Thread 28 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-11 |  1456000 |   492000 |   576251164 |  18994892965 |    117760 |      0 |  1607537531 |      0 |      0 |         0 
 5791 Thread 29 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-12 |  1362000 |   444000 |   535696352 |  17612532223 |         0 |      0 |  1581013496 |      0 |      0 |         0 
 5792 Thread 30 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-13 |  1352000 |   493000 |   546327778 |  17991809223 |         0 |      0 |  1455806776 |      0 |      0 |         0 
 5793 Thread 31 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-14 |  1362000 |   425000 |   528056442 |  17425707227 |         0 |      0 |  1615833003 |      0 |      0 |         0 
 5794 Thread 32 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-15 |  1402000 |   450000 |   547827180 |  18061772582 |         0 |      0 |  1433597493 |      0 |      0 |         0 
 5795 Thread 33 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-16 |  1336000 |   441000 |   525591329 |  17330700309 |         0 |      0 |  1607413457 |      0 |      0 |         0 
 5796 Thread 34 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-17 |  1256000 |   461000 |   509823462 |  16748598043 |         0 |      0 |  1592064935 |      0 |      0 |         0 
 5797 Thread 35 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-18 |  1325000 |   436000 |   520950309 |  17170992325 |         0 |      0 |  1410585011 |      0 |      0 |         0 
 5798 Thread 36 - PartitionProcessorThre...50-823a-92ed9d1d838e-1-19 |  1290000 |   482000 |   526231676 |  17284090629 |         0 |      0 |  1563652291 |      0 |      0 |         0 
 5799 Thread 37 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-0 |  1364000 |   421000 |   532863341 |  17421805864 |         0 |      0 |  1583084719 |      0 |      0 |         0 
 5800 Thread 38 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-1 |  1301000 |   451000 |   522970536 |  17100052028 |         0 |      0 |  1424048755 |      0 |      0 |         0 
 5801 Thread 39 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-2 |  1428000 |   487000 |   572516649 |  18691624711 |         0 |      0 |  1498804346 |      0 |      0 |         0 
 5802 Thread 40 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-3 |  1370000 |   482000 |   552709590 |  18077237621 |         0 |      0 |  1442696049 |      0 |      0 |         0 
 5803 Thread 41 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-4 |  1290000 |   494000 |   534552477 |  17413542219 |         0 |      0 |  1282544907 |      0 |      0 |         0 
 5804 Thread 42 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-5 |  1402000 |   559000 |   585474813 |  19140907797 |         0 |      0 |  1555330078 |      0 |      0 |         0 
 5805 Thread 43 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-6 |  1432000 |   495000 |   575636153 |  18808338598 |         0 |      0 |  1631058945 |      0 |      0 |         0 
 5806 Thread 44 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-7 |  1425000 |   469000 |   563975008 |  18486304543 |         0 |      0 |  1337275084 |      0 |      0 |         0 
 5807 Thread 45 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-8 |  1423000 |   516000 |   578612696 |  18926273852 |      1024 |      0 |  1622685486 |      0 |      0 |         0 
 5808 Thread 46 - PartitionProcessorThre...c50-823a-92ed9d1d838e-0-9 |  1310000 |   480000 |   532187543 |  17471566547 |         0 |      0 |  1596998645 |      0 |      0 |         0 
 5809 Thread 47 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-10 |  1297000 |   455000 |   522632321 |  17100773180 |         0 |      0 |  1408160939 |      0 |      0 |         0 
 5810 Thread 48 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-11 |  1308000 |   387000 |   506257423 |  16543523778 |         0 |      0 |  1403481432 |      0 |      0 |         0 
 5811 Thread 49 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-12 |  1388000 |   470000 |   553645379 |  18134255344 |         0 |      0 |  1523884035 |      0 |      0 |         0 
 5812 Thread 50 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-13 |  1346000 |   431000 |   530134856 |  17344054653 |         0 |      0 |  1592534609 |      0 |      0 |         0 
 5813 Thread 51 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-14 |  1370000 |   489000 |   554618438 |  18145399934 |         0 |      0 |  1606920765 |      0 |      0 |         0 
 5814 Thread 52 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-15 |  1310000 |   493000 |   536792422 |  17597427379 |         0 |      0 |  1523990444 |      0 |      0 |         0 
 5815 Thread 53 - PartitionProcessorThre...50-823a-92ed9d1d838e-0-16 |  1267000 |   458000 |   514012391 |  16836322301 |         0 |      0 |  1429420480 |      0 |      0 |         0 
