                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio   | d:swap | d:reclaim 
 86742 Thread 1 - main                                                |   631000 |   115000 |    44409447 |   5670669545 |  21204992 |   2048 |     6429264 |        0 |      0 |         0 
 86764 Thread 2 - Reference Handler                                   |     6000 |     1000 |      788746 |     55791863 |         0 |      0 |     1202573 |        0 |      0 |         0 
 86765 Thread 3 - Finalizer                                           |     6000 |        0 |      711570 |     48519734 |      5120 |      0 |     2019659 |        0 |      0 |         0 
 86766 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |        0 |      0 |         0 
 86767 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |        0 |      0 |         0 
 86777 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 31850000 | 34236000 | 19389920512 | 643550672027 | 636250112 | 144384 | 21241392958 |   148865 |      0 |         0 
 86778 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   275000 |    64000 |    99026397 |   3305357925 |   6819840 |   6144 |    53918282 |   473981 |      0 |         0 
 86783 Thread 14 - PartitionProcessorThre...026-a31c-43d1238bc744-0-0 |  1355000 |   485000 |   538046202 |  17926198271 |     39936 |      0 |  1676611950 |        0 |      0 |         0 
 86784 Thread 15 - PartitionProcessorThre...026-a31c-43d1238bc744-0-1 |  1460000 |   462000 |   563012690 |  18753312837 |         0 |      0 |  1674105715 |        0 |      0 |         0 
 86785 Thread 16 - PartitionProcessorThre...026-a31c-43d1238bc744-0-2 |  1396000 |   515000 |   558296269 |  18636365653 |    118784 |      0 |  1717046458 |        0 |      0 |         0 
 86786 Thread 17 - PartitionProcessorThre...026-a31c-43d1238bc744-0-3 |  1335000 |   433000 |   519363976 |  17249816763 |         0 |      0 |  1705738235 |        0 |      0 |         0 
 86787 Thread 18 - PartitionProcessorThre...026-a31c-43d1238bc744-0-4 |  1423000 |   459000 |   549785226 |  18357836423 |     18432 |      0 |  1599901596 |        0 |      0 |         0 
 86788 Thread 19 - PartitionProcessorThre...026-a31c-43d1238bc744-0-5 |  1358000 |   493000 |   543100886 |  18058443806 |         0 |      0 |  1409537627 |        0 |      0 |         0 
 86789 Thread 20 - PartitionProcessorThre...026-a31c-43d1238bc744-0-6 |  1379000 |   463000 |   540481261 |  17968377931 |      1024 |      0 |  1493484710 |        0 |      0 |         0 
 86790 Thread 21 - PartitionProcessorThre...026-a31c-43d1238bc744-0-7 |  1393000 |   469000 |   543947780 |  18165201837 |         0 |      0 |  1677268999 |        0 |      0 |         0 
 86791 Thread 22 - PartitionProcessorThre...026-a31c-43d1238bc744-0-8 |  1383000 |   463000 |   539467499 |  18009737880 |         0 |      0 |  1604811523 |        0 |      0 |         0 
 86792 Thread 23 - PartitionProcessorThre...026-a31c-43d1238bc744-0-9 |  1318000 |   466000 |   522622995 |  17405531298 |         0 |      0 |  1479569522 |        0 |      0 |         0 
 86793 Thread 24 - PartitionProcessorThre...26-a31c-43d1238bc744-0-10 |  1362000 |   454000 |   531306988 |  17718206462 |      3072 |      0 |  1481063423 |        0 |      0 |         0 
 86794 Thread 25 - PartitionProcessorThre...26-a31c-43d1238bc744-0-11 |  1388000 |   477000 |   548476116 |  18194885095 |         0 |      0 |  1726620764 |        0 |      0 |         0 
 86795 Thread 26 - PartitionProcessorThre...26-a31c-43d1238bc744-0-12 |  1391000 |   499000 |   552699608 |  18440362337 |         0 |      0 |  1614800748 |        0 |      0 |         0 
 86796 Thread 27 - PartitionProcessorThre...26-a31c-43d1238bc744-0-13 |  1369000 |   485000 |   541188327 |  18088019419 |         0 |      0 |  1701712114 |        0 |      0 |         0 
 86797 Thread 28 - PartitionProcessorThre...26-a31c-43d1238bc744-0-14 |  1446000 |   498000 |   569010694 |  18966638345 |         0 |      0 |  1401998142 |        0 |      0 |         0 
 86798 Thread 29 - PartitionProcessorThre...26-a31c-43d1238bc744-0-15 |  1369000 |   491000 |   542911112 |  18147667278 |         0 |      0 |  1407957688 |        0 |      0 |         0 
 86799 Thread 30 - PartitionProcessorThre...26-a31c-43d1238bc744-0-16 |  1374000 |   470000 |   539752027 |  17990520333 |         0 |      0 |  1442076836 |        0 |      0 |         0 
 86800 Thread 31 - PartitionProcessorThre...26-a31c-43d1238bc744-0-17 |  1322000 |   470000 |   525138800 |  17481688806 |     24576 |      0 |  1548581805 |        0 |      0 |         0 
 86801 Thread 32 - PartitionProcessorThre...26-a31c-43d1238bc744-0-18 |  1378000 |   483000 |   542638652 |  18156168403 |         0 |      0 |  1552362599 |        0 |      0 |         0 
 86802 Thread 33 - PartitionProcessorThre...26-a31c-43d1238bc744-0-19 |  1398000 |   452000 |   542528152 |  18049412181 |         0 |      0 |  1582633354 |        0 |      0 |         0 
