                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 83935 Thread 1 - main                                                |   710000 |   130000 |    49447475 |   6380492861 |  21196800 |   1024 |     6399678 |      0 |      0 |         0 
 83957 Thread 2 - Reference Handler                                   |     7000 |        0 |      676367 |     54439753 |         0 |      0 |      182076 |      0 |      0 |         0 
 83958 Thread 3 - Finalizer                                           |     4000 |        0 |      267046 |     30155855 |     13312 |      0 |      551175 |      0 |      0 |         0 
 83959 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 83960 Thread 5 - Signal Dispatcher                                   |        0 |     1000 |      283527 |      9754710 |         0 |      0 |           0 |      0 |      0 |         0 
 83970 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27745000 | 30702000 | 16240971488 | 568935301482 | 584649728 | 128000 | 18825859476 | 216122 |      0 |         0 
 83971 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   201000 |    53000 |    71163569 |   2476522667 |   7030784 |   5120 |    33686744 | 386368 |      0 |         0 
 83975 Thread 14 - PartitionProcessorThre...35f-ac41-4424f96a8d32-0-0 |  1268000 |   444000 |   475223896 |  16689248611 |     33792 |      0 |  1789624128 |      0 |      0 |         0 
 83976 Thread 15 - PartitionProcessorThre...35f-ac41-4424f96a8d32-0-1 |  1302000 |   443000 |   482825708 |  17012262310 |      3072 |      0 |  1534958888 |      0 |      0 |         0 
 83977 Thread 16 - PartitionProcessorThre...35f-ac41-4424f96a8d32-0-2 |  1254000 |   450000 |   474461181 |  16620251806 |         0 |      0 |  1662614526 |      0 |      0 |         0 
 83978 Thread 17 - PartitionProcessorThre...35f-ac41-4424f96a8d32-0-3 |  1322000 |   452000 |   492872829 |  17293688150 |    121856 |      0 |  1718198177 |      0 |      0 |         0 
 83979 Thread 18 - PartitionProcessorThre...35f-ac41-4424f96a8d32-0-4 |  1266000 |   406000 |   464693404 |  16308366712 |         0 |      0 |  1555477454 |      0 |      0 |         0 
