                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 16852 Thread 1 - main                                                |   698000 |   163000 |    49550791 |   6537557545 |  21206016 |   1024 |     9792162 |      0 |      0 |         0 
 16875 Thread 2 - Reference Handler                                   |     9000 |        0 |     1176082 |     73139777 |         0 |      0 |     1193251 |      0 |      0 |         0 
 16876 Thread 3 - Finalizer                                           |     5000 |        0 |      373535 |     37992109 |      5120 |      0 |     1626505 |      0 |      0 |         0 
 16877 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |     1000 |        0 |       26710 |      7227285 |         0 |      0 |           0 |      0 |      0 |         0 
 16878 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      301613 |      9754710 |         0 |      0 |           0 |      0 |      0 |         0 
 16887 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 32228000 | 34308000 | 19724174380 | 647954137245 | 636755968 | 129024 | 21475946952 | 201812 |      0 |         0 
 16889 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   233000 |    47000 |    82685167 |   2731873112 |   6237184 |   5120 |    23363946 |  91321 |      0 |         0 
 16893 Thread 14 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-0 |  1378000 |   490000 |   551130425 |  18215958755 |     33792 |      0 |  1738700220 |      0 |      0 |         0 
 16894 Thread 15 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-1 |  1329000 |   447000 |   523741996 |  17310956060 |    124928 |      0 |  1574685219 |      0 |      0 |         0 
 16895 Thread 16 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-2 |  1414000 |   475000 |   557762367 |  18423480134 |         0 |      0 |  1802641068 |      0 |      0 |         0 
 16896 Thread 17 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-3 |  1416000 |   421000 |   542552968 |  17923900005 |         0 |      0 |  1727000757 |      0 |      0 |         0 
 16897 Thread 18 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-4 |  1454000 |   493000 |   576055663 |  18996628841 |         0 |      0 |  1798888982 |      0 |      0 |         0 
 16898 Thread 19 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-5 |  1422000 |   459000 |   556473722 |  18352699290 |         0 |      0 |  1795616949 |      0 |      0 |         0 
 16899 Thread 20 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-6 |  1398000 |   506000 |   562642777 |  18577797821 |         0 |      0 |  1668210680 |      0 |      0 |         0 
 16900 Thread 21 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-7 |  1530000 |   500000 |   599313753 |  19807666423 |         0 |      0 |  1717718393 |      0 |      0 |         0 
 16901 Thread 22 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-8 |  1458000 |   507000 |   581937253 |  19171736368 |         0 |      0 |  1699815598 |      0 |      0 |         0 
 16902 Thread 23 - PartitionProcessorThre...41a-a3ac-cc7ba68689d5-2-9 |  1404000 |   476000 |   553128980 |  18343095622 |         0 |      0 |  1754124738 |      0 |      0 |         0 
 16903 Thread 24 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-10 |  1373000 |   448000 |   537240679 |  17764809474 |      1024 |      0 |  1668081048 |      0 |      0 |         0 
 16904 Thread 25 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-11 |  1458000 |   452000 |   564682898 |  18637308048 |         0 |      0 |  1630377238 |      0 |      0 |         0 
 16905 Thread 26 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-12 |  1338000 |   442000 |   527776238 |  17368420415 |         0 |      0 |  1734763183 |      0 |      0 |         0 
 16906 Thread 27 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-13 |  1408000 |   476000 |   557795207 |  18382540907 |         0 |      0 |  1797867456 |      0 |      0 |         0 
 16907 Thread 28 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-14 |  1316000 |   453000 |   523884980 |  17259467126 |         0 |      0 |  1661795833 |      0 |      0 |         0 
 16908 Thread 29 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-15 |  1414000 |   444000 |   548987293 |  18124839978 |     43008 |      0 |  1836152541 |      0 |      0 |         0 
 16909 Thread 30 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-16 |  1335000 |   435000 |   522039621 |  17268311341 |      3072 |      0 |  1748075499 |      0 |      0 |         0 
 16910 Thread 31 - PartitionProcessorThre...1a-a3ac-cc7ba68689d5-2-17 |  1350000 |   452000 |   533840285 |  17583064361 |         0 |      0 |  1672472608 |      0 |      0 |         0 
