                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 14242 Thread 1 - main                                                |   613000 |   172000 |    46326279 |   5938274123 |  21206016 |   1024 |     7861415 |       0 |      0 |         0 
 14264 Thread 2 - Reference Handler                                   |     5000 |     1000 |      487839 |     45763359 |         0 |      0 |      958213 |       0 |      0 |         0 
 14265 Thread 3 - Finalizer                                           |     5000 |     2000 |      807753 |     55715203 |      5120 |      0 |     1060738 |       0 |      0 |         0 
 14266 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 14267 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |      119468 |       0 |      0 |         0 
 14276 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 29303000 | 30255000 | 17346092161 | 579642432504 | 585984000 | 138240 | 16690093206 |   91663 |      0 |         0 
 14277 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   226000 |    58000 |    82549585 |   2769205737 |   5787648 |   5120 |    57923553 | 2612598 |      0 |         0 
 14283 Thread 14 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-0 |  1405000 |   449000 |   538899820 |  18076191337 |     34816 |      0 |  1693752204 |       0 |      0 |         0 
 14284 Thread 15 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-1 |  1287000 |   432000 |   500260023 |  16763425431 |         0 |      0 |  1798274767 |       0 |      0 |         0 
 14285 Thread 16 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-2 |  1322000 |   459000 |   518140484 |  17368315775 |         0 |      0 |  1933301301 |       0 |      0 |         0 
 14286 Thread 17 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-3 |  1365000 |   410000 |   517687105 |  17313456474 |         0 |      0 |  1857321962 |       0 |      0 |         0 
 14287 Thread 18 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-4 |  1295000 |   430000 |   502031336 |  16821996103 |    124928 |      0 |  1642505239 |       0 |      0 |         0 
 14288 Thread 19 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-5 |  1351000 |   425000 |   515268339 |  17321187880 |         0 |      0 |  1635504432 |       0 |      0 |         0 
 14289 Thread 20 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-6 |  1267000 |   411000 |   486674164 |  16358325001 |      2048 |      0 |  1571534162 |       0 |      0 |         0 
 14290 Thread 21 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-7 |  1365000 |   406000 |   513897253 |  17273486091 |         0 |      0 |  1527744848 |       0 |      0 |         0 
 14291 Thread 22 - PartitionProcessorThre...e56-ad2b-c2249d19a1d3-2-8 |  1382000 |   404000 |   520065707 |  17421521712 |         0 |      0 |  1811665186 |       0 |      0 |         0 
