                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 54581 Thread 1 - main                                                |   623000 |    63000 |    44117959 |   5227228712 |  21194752 |   2048 |     6506553 |       0 |      0 |         0 
 54603 Thread 2 - Reference Handler                                   |     9000 |        0 |     1116390 |     72031449 |         0 |      0 |       39847 |       0 |      0 |         0 
 54604 Thread 3 - Finalizer                                           |     8000 |     2000 |     1145691 |     79092566 |     13312 |      0 |      518655 |       0 |      0 |         0 
 54605 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        4490 |       0 |      0 |         0 
 54606 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       20777 |       0 |      0 |         0 
 54615 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28248000 | 32493000 | 18591081922 | 591562025797 | 637161472 | 140288 | 19312986464 |   98124 |      0 |         0 
 54617 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   202000 |    51000 |    77217620 |   2464017483 |   5806080 |   6144 |    41186425 |  306514 |      0 |         0 
 54620 Thread 14 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-0 |  1345000 |   425000 |   538338559 |  17246555492 |     33792 |      0 |  1381970400 |       0 |      0 |         0 
 54621 Thread 15 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-1 |  1429000 |   438000 |   570621219 |  18215247237 |         0 |      0 |  1341093096 |       0 |      0 |         0 
 54622 Thread 16 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-2 |  1292000 |   490000 |   543877743 |  17388288378 |         0 |      0 |  1451969165 |       0 |      0 |         0 
 54623 Thread 17 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-3 |  1265000 |   429000 |   516077137 |  16525863617 |         0 |      0 |  1516748465 |       0 |      0 |         0 
 54624 Thread 18 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-4 |  1274000 |   438000 |   520077079 |  16698036207 |    121856 |      0 |  1553167318 |       0 |      0 |         0 
 54625 Thread 19 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-5 |  1216000 |   473000 |   515380180 |  16478465129 |         0 |      0 |  1339726183 | 1056512 |      0 |         0 
 54626 Thread 20 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-6 |  1234000 |   487000 |   524380129 |  16789451195 |         0 |      0 |  1322052996 |       0 |      0 |         0 
 54627 Thread 21 - PartitionProcessorThre...b61-aaa5-8c0b762aef73-1-7 |  1365000 |   425000 |   546089282 |  17463859242 |      3072 |      0 |  1222114368 |       0 |      0 |         0 
