                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 52041 Thread 1 - main                                                |   578000 |    68000 |    39467612 |   4890077556 |  21203968 |   1024 |     6979823 |      0 |      0 |         0 
 52063 Thread 2 - Reference Handler                                   |     8000 |     1000 |     1019917 |     71190980 |         0 |      0 |        2129 |      0 |      0 |         0 
 52064 Thread 3 - Finalizer                                           |     6000 |     1000 |      688015 |     54304042 |      5120 |      0 |      402913 |      0 |      0 |         0 
 52065 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 52066 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 52074 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 26684000 | 29426000 | 16636117094 | 546117125077 | 586464256 | 126976 | 17576522417 | 104524 |      0 |         0 
 52076 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   177000 |    48000 |    66857054 |   2191293378 |   5211136 |   4096 |    18908707 | 379847 |      0 |         0 
 52079 Thread 14 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-0 |  1243000 |   407000 |   487578610 |  16085029445 |     91136 |      0 |  1232318523 |      0 |      0 |         0 
 52080 Thread 15 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-1 |  1248000 |   385000 |   482949067 |  15923997578 |     64512 |      0 |  1320269112 |      0 |      0 |         0 
 52081 Thread 16 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-2 |  1246000 |   382000 |   482339067 |  15871882578 |         0 |      0 |  1402406675 |      0 |      0 |         0 
 52082 Thread 17 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-3 |  1221000 |   434000 |   491267317 |  16143490293 |      1024 |      0 |  1463845964 |      0 |      0 |         0 
 52083 Thread 18 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-4 |  1125000 |   406000 |   453247243 |  14930793406 |      3072 |      0 |  1374677487 |      0 |      0 |         0 
 52084 Thread 19 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-5 |  1161000 |   377000 |   454563688 |  15000733199 |         0 |      0 |  1185072543 |      0 |      0 |         0 
 52085 Thread 20 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-6 |  1339000 |   398000 |   515492945 |  16944925000 |         0 |      0 |  1286397574 |      0 |      0 |         0 
 52086 Thread 21 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-7 |  1195000 |   429000 |   479461262 |  15840656148 |         0 |      0 |  1355290668 |      0 |      0 |         0 
 52087 Thread 22 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-8 |  1236000 |   381000 |   477839996 |  15771129390 |         0 |      0 |  1464095896 |      0 |      0 |         0 
 52088 Thread 23 - PartitionProcessorThre...7d0-a687-90cb0064df45-2-9 |  1191000 |   425000 |   478386832 |  15762088996 |      1024 |      0 |  1379466918 |      0 |      0 |         0 
 52089 Thread 24 - PartitionProcessorThre...d0-a687-90cb0064df45-2-10 |  1237000 |   426000 |   490389465 |  16220650800 |         0 |      0 |  1396093091 |      0 |      0 |         0 
 52090 Thread 25 - PartitionProcessorThre...d0-a687-90cb0064df45-2-11 |  1193000 |   434000 |   482505629 |  15871015113 |         0 |      0 |  1463924442 |      0 |      0 |         0 
