                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 62683 Thread 1 - main                                                |   816000 |   148000 |    62202205 |   7373199862 |  34140160 |      0 |    10958928 |      0 |      0 |         0 
 62705 Thread 2 - Reference Handler                                   |     6000 |        0 |      554812 |     48399660 |         0 |      0 |      383131 |      0 |      0 |         0 
 62706 Thread 3 - Finalizer                                           |     7000 |        0 |      657816 |     56430949 |      5120 |      0 |      282731 |      0 |      0 |         0 
 62707 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 62708 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |        8199 |      0 |      0 |         0 
 62717 Thread 12 - RMI Scheduler(0)                                   |     4000 |        0 |     1005843 |     37065019 |      4096 |      0 |       13192 |      0 |      0 |         0 
 62718 Thread 13 - RMI RenewClean-[10.231.182.152:35346]              |     1000 |        0 |       82128 |      7893246 |      1024 |      0 |           0 |      0 |      0 |         0 
 62719 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 62721 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 29468000 | 30837000 | 17975384656 | 587457106936 | 572901376 | 130048 | 18568072575 | 185567 |      0 |         0 
 62723 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   222000 |    47000 |    79811886 |   2620360483 |   6722560 |   4096 |    50439852 | 264183 |      0 |         0 
 62727 Thread 17 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-0 |  1317000 |   409000 |   510851899 |  16820259426 |     33792 |      0 |  1741332167 |      0 |      0 |         0 
 62728 Thread 18 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-1 |  1343000 |   420000 |   521965606 |  17190095079 |         0 |      0 |  1680530327 |      0 |      0 |         0 
 62729 Thread 19 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-2 |  1350000 |   451000 |   533852555 |  17558130215 |         0 |      0 |  1760499505 |      0 |      0 |         0 
 62730 Thread 20 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-3 |  1350000 |   411000 |   518876774 |  17166196993 |         0 |      0 |  1501708532 |      0 |      0 |         0 
 62731 Thread 21 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-4 |  1281000 |   418000 |   501840204 |  16564394141 |         0 |      0 |  1662897684 |      0 |      0 |         0 
 62732 Thread 22 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-5 |  1187000 |   416000 |   474384399 |  15626799220 |         0 |      0 |  1840017905 |      0 |      0 |         0 
 62733 Thread 23 - PartitionProcessorThre...b85-b749-cfe55d71f22c-0-6 |  1272000 |   414000 |   499272071 |  16436869716 |         0 |      0 |  1686865531 |      0 |      0 |         0 
