                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 39690 Thread 1 - main                                                |   766000 |   108000 |    57557248 |   6715030494 |  34516992 |   1024 |     6643377 |      0 |      0 |         0 
 39712 Thread 2 - Reference Handler                                   |     8000 |        0 |      878359 |     66206632 |         0 |      0 |     1389836 |      0 |      0 |         0 
 39713 Thread 3 - Finalizer                                           |     7000 |        0 |      719328 |     57612710 |      5120 |      0 |      431311 |      0 |      0 |         0 
 39714 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        3945 |      0 |      0 |         0 
 39715 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |       11429 |      0 |      0 |         0 
 39723 Thread 12 - RMI Scheduler(0)                                   |        0 |     1000 |      300250 |      9759851 |      2048 |      0 |      708288 |      0 |      0 |         0 
 39724 Thread 13 - RMI RenewClean-[10.231.182.152:46870]              |        0 |        0 |           0 |            0 |      1024 |      0 |           0 |      0 |      0 |         0 
 39725 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 39727 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 22717000 | 32300000 | 16503070949 | 536067726089 | 575141888 | 104448 | 14372053351 | 106989 |      0 |         0 
 39728 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   199000 |    27000 |    67640163 |   2202346476 |   4917248 |   4096 |    12312465 | 111542 |      0 |         0 
 39731 Thread 17 - PartitionProcessorThre...d48-8527-dd9de235bcaa-0-0 |  1095000 |   361000 |   436744547 |  14204515070 |     34816 |      0 |  1040631834 |      0 |      0 |         0 
 39732 Thread 18 - PartitionProcessorThre...d48-8527-dd9de235bcaa-0-1 |  1070000 |   360000 |   429688786 |  13952124433 |         0 |      0 |   879028044 |      0 |      0 |         0 
 39733 Thread 19 - PartitionProcessorThre...d48-8527-dd9de235bcaa-0-2 |  1110000 |   381000 |   447399297 |  14549291808 |         0 |      0 |   997698941 |      0 |      0 |         0 
 39734 Thread 20 - PartitionProcessorThre...d48-8527-dd9de235bcaa-0-3 |  1042000 |   370000 |   424351528 |  13777869766 |         0 |      0 |   880804208 |      0 |      0 |         0 
