                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 65822 Thread 1 - main                                                |   693000 |   149000 |    50710021 |   6422048835 |  22117376 |   1024 |    26399347 |      0 |      0 |         0 
 65844 Thread 2 - Reference Handler                                   |     8000 |        0 |      781832 |     65156324 |         0 |      0 |     2397292 |      0 |      0 |         0 
 65845 Thread 3 - Finalizer                                           |     6000 |        0 |      541640 |     48464664 |      5120 |      0 |      775351 |      0 |      0 |         0 
 65846 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 65847 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      288128 |      9757746 |         0 |      0 |       10659 |      0 |      0 |         0 
 65856 Thread 12 - RMI Scheduler(0)                                   |     1000 |     1000 |      573828 |     19515046 |      4096 |      0 |     5505920 |      0 |      0 |         0 
 65857 Thread 13 - RMI RenewClean-[10.231.182.152:44940]              |        0 |        0 |           0 |            0 |      1024 |      0 |     6280710 |      0 |      0 |         0 
 65858 Thread 14 - GC Daemon                                          |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 65861 Thread 15 - DecatonSubscriptionThread-decaton-benchmark        | 33756000 | 34746000 | 19447879752 | 667475279048 | 634610688 | 128000 | 20104461692 | 111994 |      0 |         0 
 65863 Thread 16 - kafka-coordinator-hear...hread | decaton-benchmark |   222000 |    55000 |    77791319 |   2700923456 |   8150016 |   5120 |    24662993 | 287619 |      0 |         0 
 65866 Thread 17 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-0 |  1546000 |   476000 |   570867887 |  19720934773 |     38912 |      0 |  1687137678 |      0 |      0 |         0 
 65867 Thread 18 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-1 |  1453000 |   512000 |   556937059 |  19177221516 |         0 |      0 |  1648489250 |      0 |      0 |         0 
 65868 Thread 19 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-2 |  1496000 |   485000 |   561030633 |  19332916078 |      3072 |      0 |  1530907481 |      0 |      0 |         0 
 65869 Thread 20 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-3 |  1454000 |   514000 |   557737239 |  19207107457 |         0 |      0 |  1691499222 |      0 |      0 |         0 
 65870 Thread 21 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-4 |  1489000 |   485000 |   557126094 |  19261265715 |    117760 |      0 |  1726457743 |      0 |      0 |         0 
 65871 Thread 22 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-5 |  1477000 |   471000 |   550635758 |  19013315125 |         0 |      0 |  1804444251 |      0 |      0 |         0 
 65872 Thread 23 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-6 |  1423000 |   483000 |   539582133 |  18601617805 |      1024 |      0 |  1616440517 |      0 |      0 |         0 
 65873 Thread 24 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-7 |  1504000 |   477000 |   560769774 |  19332997645 |         0 |      0 |  1890512072 | 498960 |      0 |         0 
 65874 Thread 25 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-8 |  1511000 |   532000 |   576823535 |  19938248106 |         0 |      0 |  1796614357 |      0 |      0 |         0 
 65875 Thread 26 - PartitionProcessorThre...605-82c0-7ef0c675cb6b-1-9 |  1457000 |   468000 |   543596242 |  18788536961 |         0 |      0 |  1874049945 |      0 |      0 |         0 
 65876 Thread 27 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-10 |  1526000 |   514000 |   579950309 |  19910738934 |         0 |      0 |  1920373760 |      0 |      0 |         0 
 65877 Thread 28 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-11 |  1447000 |   483000 |   546592805 |  18835937871 |         0 |      0 |  1634309389 |      0 |      0 |         0 
 65878 Thread 29 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-12 |  1472000 |   492000 |   555872864 |  19168360539 |         0 |      0 |  1614804451 |      0 |      0 |         0 
 65879 Thread 30 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-13 |  1444000 |   454000 |   540134860 |  18526489910 |         0 |      0 |  1860139616 |      0 |      0 |         0 
 65880 Thread 31 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-14 |  1509000 |   449000 |   556547856 |  19109743188 |         0 |      0 |  1771789541 |      0 |      0 |         0 
 65881 Thread 32 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-15 |  1467000 |   509000 |   558734641 |  19286367789 |         0 |      0 |  1994580116 |      0 |      0 |         0 
 65882 Thread 33 - PartitionProcessorThre...05-82c0-7ef0c675cb6b-1-16 |  1457000 |   455000 |   541168887 |  18662099989 |         0 |      0 |  1726587868 |      0 |      0 |         0 
