                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 24128 Thread 1 - main                                                |   584000 |    79000 |    40006873 |   5029052920 |  21046272 |   1024 |     4470948 |      0 |      0 |         0 
 24150 Thread 2 - Reference Handler                                   |     5000 |        0 |      522492 |     38906855 |         0 |      0 |     2984158 |      0 |      0 |         0 
 24151 Thread 3 - Finalizer                                           |     5000 |        0 |      650499 |     40685082 |     13312 |      0 |     1411166 |      0 |      0 |         0 
 24152 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        4455 |      0 |      0 |         0 
 24153 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      300554 |      9755031 |         0 |      0 |        2040 |      0 |      0 |         0 
 24163 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28775000 | 32394000 | 17965087577 | 595552388092 | 635387904 | 122880 | 20330189553 |  50918 |      0 |         0 
 24164 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   175000 |    41000 |    62363730 |   2101615187 |   7930880 |   4096 |    35030784 | 239527 |      0 |         0 
 24167 Thread 14 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-0 |  1302000 |   490000 |   525826360 |  17478816629 |         0 |      0 |  1643382645 |      0 |      0 |         0 
 24168 Thread 15 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-1 |  1319000 |   437000 |   514544813 |  17110668078 |    158720 |      0 |  1583986709 |      0 |      0 |         0 
 24169 Thread 16 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-2 |  1304000 |   458000 |   515855551 |  17183254078 |      4096 |      0 |  1397259752 |      0 |      0 |         0 
 24170 Thread 17 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-3 |  1351000 |   477000 |   537952617 |  17831188172 |         0 |      0 |  1643763877 |      0 |      0 |         0 
 24171 Thread 18 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-4 |  1356000 |   455000 |   531819297 |  17666206906 |         0 |      0 |  1589376476 |      0 |      0 |         0 
 24172 Thread 19 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-5 |  1291000 |   424000 |   504006126 |  16732765235 |         0 |      0 |  1381792186 |      0 |      0 |         0 
 24173 Thread 20 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-6 |  1315000 |   423000 |   511357414 |  16955568000 |      1024 |      0 |  1720548474 |      0 |      0 |         0 
 24174 Thread 21 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-7 |  1334000 |   458000 |   527642520 |  17484204028 |         0 |      0 |  1668360075 |      0 |      0 |         0 
 24175 Thread 22 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-8 |  1330000 |   434000 |   517820633 |  17210365543 |     11264 |      0 |  1679894397 |      0 |      0 |         0 
 24176 Thread 23 - PartitionProcessorThre...05e-8975-45b42ee1fffa-2-9 |  1280000 |   444000 |   506723649 |  16820863731 |         0 |      0 |  1737399767 |      0 |      0 |         0 
 24177 Thread 24 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-10 |  1263000 |   435000 |   498947993 |  16567844946 |         0 |      0 |  1394960832 |      0 |      0 |         0 
 24178 Thread 25 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-11 |  1256000 |   461000 |   503854633 |  16753901946 |         0 |      0 |  1465190682 |      0 |      0 |         0 
 24179 Thread 26 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-12 |  1360000 |   443000 |   529781856 |  17593059067 |         0 |      0 |  1641688695 |      0 |      0 |         0 
 24180 Thread 27 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-13 |  1288000 |   385000 |   491149903 |  16323100883 |         0 |      0 |  1535677596 |      0 |      0 |         0 
 24181 Thread 28 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-14 |  1258000 |   435000 |   495757692 |  16517862102 |         0 |      0 |  1523344954 |      0 |      0 |         0 
 24182 Thread 29 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-15 |  1284000 |   409000 |   497052739 |  16517588168 |         0 |      0 |  1496352237 |      0 |      0 |         0 
 24183 Thread 30 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-16 |  1282000 |   413000 |   496742391 |  16537839532 |     24576 |      0 |  1740622404 |      0 |      0 |         0 
 24184 Thread 31 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-17 |  1264000 |   432000 |   497908563 |  16548346434 |         0 |      0 |  1697813356 |      0 |      0 |         0 
 24185 Thread 32 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-18 |  1313000 |   437000 |   513725008 |  17075268118 |         0 |      0 |  1353161201 |      0 |      0 |         0 
 24186 Thread 33 - PartitionProcessorThre...5e-8975-45b42ee1fffa-2-19 |  1366000 |   450000 |   534367114 |  17720093485 |         0 |      0 |  1567900864 |      0 |      0 |         0 
 24187 Thread 34 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-0 |  1333000 |   446000 |   523862797 |  17358005231 |         0 |      0 |  1713871398 |      0 |      0 |         0 
 24188 Thread 35 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-1 |  1253000 |   465000 |   507187153 |  16763618629 |         0 |      0 |  1664735516 |      0 |      0 |         0 
 24189 Thread 36 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-2 |  1217000 |   404000 |   478382954 |  15816600426 |         0 |      0 |  1624250695 |      0 |      0 |         0 
 24190 Thread 37 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-3 |  1273000 |   440000 |   505118891 |  16715192836 |      3072 |      0 |  1618645831 |      0 |      0 |         0 
 24191 Thread 38 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-4 |  1255000 |   452000 |   503127794 |  16656570422 |         0 |      0 |  1690754246 |      0 |      0 |         0 
 24192 Thread 39 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-5 |  1297000 |   443000 |   513800247 |  16979176235 |         0 |      0 |  1686964564 |      0 |      0 |         0 
 24193 Thread 40 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-6 |  1352000 |   444000 |   528974262 |  17524727231 |         0 |      0 |  1584215748 |      0 |      0 |         0 
 24194 Thread 41 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-7 |  1257000 |   481000 |   512459934 |  16959033938 |         0 |      0 |  1637423645 |      0 |      0 |         0 
 24195 Thread 42 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-8 |  1278000 |   446000 |   508780891 |  16822804457 |         0 |      0 |  1510520112 |      0 |      0 |         0 
 24196 Thread 43 - PartitionProcessorThre...05e-8975-45b42ee1fffa-1-9 |  1254000 |   418000 |   493791454 |  16315466961 |         0 |      0 |  1616846615 |      0 |      0 |         0 
 24197 Thread 44 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-10 |  1310000 |   422000 |   511463481 |  16900729325 |         0 |      0 |  1644343429 |      0 |      0 |         0 
 24199 Thread 45 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-11 |  1250000 |   412000 |   491378274 |  16217411805 |         0 |      0 |  1713513560 |      0 |      0 |         0 
 24200 Thread 46 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-12 |  1240000 |   423000 |   491315536 |  16226471290 |         0 |      0 |  1657807346 |      0 |      0 |         0 
 24201 Thread 47 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-13 |  1276000 |   441000 |   507316696 |  16754499649 |         0 |      0 |  1700419386 |      0 |      0 |         0 
 24202 Thread 48 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-14 |  1265000 |   442000 |   503585653 |  16656475750 |      1024 |      0 |  1711279702 |      0 |      0 |         0 
 24203 Thread 49 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-15 |  1234000 |   393000 |   480282145 |  15876491622 |         0 |      0 |  1655994516 |      0 |      0 |         0 
 24204 Thread 50 - PartitionProcessorThre...5e-8975-45b42ee1fffa-1-16 |  1298000 |   446000 |   514362110 |  17017523520 |         0 |      0 |  1530481018 |      0 |      0 |         0 
