                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 21534 Thread 1 - main                                                |   549000 |    88000 |    39873616 |   4826228689 |  21055488 |   1024 |     7042263 |       0 |      0 |         0 
 21556 Thread 2 - Reference Handler                                   |     6000 |     1000 |      886996 |     56253410 |         0 |      0 |     1586681 |       0 |      0 |         0 
 21557 Thread 3 - Finalizer                                           |     5000 |        0 |      461550 |     38630839 |      5120 |      0 |       56771 |       0 |      0 |         0 
 21558 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        5493 |       0 |      0 |         0 
 21559 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 21568 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27270000 | 29291000 | 16459755261 | 550478770432 | 585646080 | 131072 | 16533380662 |  137292 |      0 |         0 
 21570 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   185000 |    63000 |    72568542 |   2416638011 |   6162432 |   5120 |    22404438 | 2789889 |      0 |         0 
 21573 Thread 14 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-0 |  1246000 |   378000 |   468843938 |  15834322047 |     33792 |      0 |  1457651266 |       0 |      0 |         0 
 21574 Thread 15 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-1 |  1223000 |   379000 |   464721277 |  15621566219 |      8192 |      0 |  1404789040 |       0 |      0 |         0 
 21575 Thread 16 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-2 |  1204000 |   415000 |   471237930 |  15788041133 |         0 |      0 |  1383690430 |       0 |      0 |         0 
 21576 Thread 17 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-3 |  1195000 |   395000 |   461250945 |  15499157173 |         0 |      0 |  1423863006 |       0 |      0 |         0 
 21577 Thread 18 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-4 |  1253000 |   382000 |   475155769 |  15949870544 |         0 |      0 |  1443257000 |       0 |      0 |         0 
 21578 Thread 19 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-5 |  1275000 |   407000 |   488207781 |  16405741899 |         0 |      0 |  1630868761 |       0 |      0 |         0 
 21579 Thread 20 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-6 |  1255000 |   426000 |   485994859 |  16385773528 |    119808 |      0 |  1552026582 |       0 |      0 |         0 
 21580 Thread 21 - PartitionProcessorThre...d6d-ac4c-20a1d96f49c7-1-7 |  1113000 |   394000 |   436454200 |  14699037825 |         0 |      0 |  1459667846 |       0 |      0 |         0 
