                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    |  d:bio  | d:swap | d:reclaim 
 59834 Thread 1 - main                                                |   577000 |    87000 |    42219713 |   5019556908 |  21047296 |   1024 |    13923750 |       0 |      0 |         0 
 59856 Thread 2 - Reference Handler                                   |     7000 |        0 |      866624 |     56220222 |         0 |      0 |     1935849 |       0 |      0 |         0 
 59857 Thread 3 - Finalizer                                           |     6000 |        0 |      537890 |     45829964 |     13312 |      0 |      538054 |       0 |      0 |         0 
 59858 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        5555 |       0 |      0 |         0 
 59859 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |       0 |      0 |         0 
 59868 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28974000 | 32582000 | 19520183413 | 599416249689 | 636230656 | 126976 | 19676987225 |  163188 |      0 |         0 
 59869 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   197000 |    50000 |    77579128 |   2409871710 |   6957056 |   4096 |    24669360 |  186542 |      0 |         0 
 59872 Thread 14 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-0 |  1270000 |   469000 |   547284730 |  16955817485 |     33792 |      0 |  1568762854 |       0 |      0 |         0 
 59873 Thread 15 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-1 |  1384000 |   468000 |   587194909 |  18063863805 |    120832 |      0 |  1632726584 |       0 |      0 |         0 
 59874 Thread 16 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-2 |  1305000 |   464000 |   559116304 |  17256206360 |         0 |      0 |  1490482799 |       0 |      0 |         0 
 59875 Thread 17 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-3 |  1299000 |   448000 |   552679519 |  17046779786 |         0 |      0 |  1435091267 |       0 |      0 |         0 
 59876 Thread 18 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-4 |  1309000 |   453000 |   556519249 |  17192011489 |         0 |      0 |  1462893558 |       0 |      0 |         0 
 59877 Thread 19 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-5 |  1358000 |   471000 |   576749433 |  17840528035 |      3072 |      0 |  1315517429 |       0 |      0 |         0 
 59878 Thread 20 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-6 |  1334000 |   521000 |   585480601 |  18094575699 |         0 |      0 |  1566432435 |       0 |      0 |         0 
 59879 Thread 21 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-7 |  1311000 |   450000 |   553452937 |  17174981965 |      2048 |      0 |  1542124981 |       0 |      0 |         0 
 59880 Thread 22 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-8 |  1310000 |   450000 |   553869300 |  17167783551 |         0 |      0 |  1474916099 |       0 |      0 |         0 
 59881 Thread 23 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-0-9 |  1315000 |   423000 |   549277835 |  16953497739 |         0 |      0 |  1425974611 |       0 |      0 |         0 
 59882 Thread 24 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-10 |  1309000 |   453000 |   555939499 |  17191076231 |         0 |      0 |  1351714039 |       0 |      0 |         0 
 59883 Thread 25 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-11 |  1328000 |   424000 |   556652765 |  17094861149 |         0 |      0 |  1449575324 |       0 |      0 |         0 
 59884 Thread 26 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-12 |  1310000 |   466000 |   560333097 |  17326876836 |         0 |      0 |  1279918216 |       0 |      0 |         0 
 59885 Thread 27 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-13 |  1292000 |   461000 |   554077757 |  17103266254 |         0 |      0 |  1454475590 |       0 |      0 |         0 
 59886 Thread 28 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-14 |  1275000 |   456000 |   546239999 |  16886997805 |     18432 |      0 |  1399817625 |       0 |      0 |         0 
 59887 Thread 29 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-15 |  1321000 |   476000 |   568272570 |  17533860852 |         0 |      0 |  1321865331 |       0 |      0 |         0 
 59888 Thread 30 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-16 |  1324000 |   445000 |   559113316 |  17258448305 |     24576 |      0 |  1256857081 |       0 |      0 |         0 
 59889 Thread 31 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-17 |  1235000 |   456000 |   533491648 |  16498646547 |         0 |      0 |  1568874067 | 1403393 |      0 |         0 
 59890 Thread 32 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-18 |  1221000 |   415000 |   517717027 |  15963438981 |         0 |      0 |  1408684518 |       0 |      0 |         0 
 59891 Thread 33 - PartitionProcessorThre...2a-abbb-b02e6414a76a-0-19 |  1293000 |   464000 |   556177245 |  17142945141 |         0 |      0 |  1384549996 |       0 |      0 |         0 
 59892 Thread 34 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-0 |  1196000 |   481000 |   534649168 |  16365113801 |         0 |      0 |  1491406053 |       0 |      0 |         0 
 59893 Thread 35 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-1 |  1226000 |   444000 |   532972210 |  16295231024 |         0 |      0 |  1486187764 |       0 |      0 |         0 
 59894 Thread 36 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-2 |  1228000 |   452000 |   534813570 |  16392608426 |         0 |      0 |  1525394123 |       0 |      0 |         0 
 59895 Thread 37 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-3 |  1261000 |   456000 |   548036542 |  16754127797 |         0 |      0 |  1179613871 |       0 |      0 |         0 
 59896 Thread 38 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-4 |  1201000 |   443000 |   524724226 |  16041967297 |         0 |      0 |  1257634071 |       0 |      0 |         0 
 59897 Thread 39 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-5 |  1243000 |   464000 |   544685668 |  16656075743 |         0 |      0 |  1348213891 |       0 |      0 |         0 
 59898 Thread 40 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-6 |  1357000 |   461000 |   579370335 |  17740189574 |         0 |      0 |  1505050304 |       0 |      0 |         0 
 59899 Thread 41 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-7 |  1318000 |   469000 |   569276077 |  17436949543 |         0 |      0 |  1444729576 |       0 |      0 |         0 
 59900 Thread 42 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-8 |  1259000 |   464000 |   549963718 |  16813011297 |         0 |      0 |  1385059991 |       0 |      0 |         0 
 59901 Thread 43 - PartitionProcessorThre...e2a-abbb-b02e6414a76a-2-9 |  1242000 |   448000 |   539757257 |  16491273547 |         0 |      0 |  1310357234 |       0 |      0 |         0 
 59902 Thread 44 - PartitionProcessorThre...2a-abbb-b02e6414a76a-2-10 |  1331000 |   410000 |   554951546 |  16988883930 |      3072 |      0 |  1526068412 |       0 |      0 |         0 
 59903 Thread 45 - PartitionProcessorThre...2a-abbb-b02e6414a76a-2-11 |  1297000 |   431000 |   551915156 |  16861906633 |         0 |      0 |  1522533748 |       0 |      0 |         0 
 59904 Thread 46 - PartitionProcessorThre...2a-abbb-b02e6414a76a-2-12 |  1312000 |   426000 |   553126292 |  16958503090 |         0 |      0 |  1482427223 |       0 |      0 |         0 
 59905 Thread 47 - PartitionProcessorThre...2a-abbb-b02e6414a76a-2-13 |  1274000 |   441000 |   547478898 |  16734432332 |         0 |      0 |  1042725911 |       0 |      0 |         0 
 59906 Thread 48 - PartitionProcessorThre...2a-abbb-b02e6414a76a-2-14 |  1249000 |   405000 |   526297152 |  16139535489 |         0 |      0 |  1501885681 |       0 |      0 |         0 
 59907 Thread 49 - PartitionProcessorThre...2a-abbb-b02e6414a76a-2-15 |  1303000 |   459000 |   560209835 |  17192854801 |      1024 |      0 |  1325726854 |       0 |      0 |         0 
