                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 57221 Thread 1 - main                                                |   577000 |    73000 |    40262456 |   4900428568 |  21047296 |   1024 |     3074579 |      0 |      0 |         0 
 57243 Thread 2 - Reference Handler                                   |     5000 |     2000 |      886164 |     56358230 |         0 |      0 |     2262293 |      0 |      0 |         0 
 57244 Thread 3 - Finalizer                                           |     4000 |     1000 |      412804 |     37993390 |     13312 |      0 |      558921 |      0 |      0 |         0 
 57245 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |        8366 |      0 |      0 |         0 
 57246 Thread 5 - Signal Dispatcher                                   |     1000 |        0 |      306476 |      9756035 |         0 |      0 |        7154 |      0 |      0 |         0 
 57255 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 27360000 | 29243000 | 16941488531 | 550983870069 | 585164800 | 135168 | 17737252217 | 213887 |      0 |         0 
 57257 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   196000 |    51000 |    74137151 |   2407475273 |   6682624 |   5120 |    20797961 | 450188 |      0 |         0 
 57260 Thread 14 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-0 |  1197000 |   400000 |   479152864 |  15577648598 |      4096 |      0 |  1364949269 |      0 |      0 |         0 
 57261 Thread 15 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-1 |  1225000 |   410000 |   490742422 |  15950108547 |         0 |      0 |  1329026866 |      0 |      0 |         0 
 57262 Thread 16 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-2 |  1172000 |   368000 |   460264063 |  15012774532 |     29696 |      0 |  1387659369 |      0 |      0 |         0 
 57263 Thread 17 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-3 |  1146000 |   381000 |   458043598 |  14896209985 |         0 |      0 |  1371371467 |      0 |      0 |         0 
 57264 Thread 18 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-4 |  1162000 |   416000 |   473936723 |  15393961708 |         0 |      0 |  1503949316 |      0 |      0 |         0 
 57265 Thread 19 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-5 |  1160000 |   421000 |   475425594 |  15423320602 |         0 |      0 |  1351940153 |      0 |      0 |         0 
 57266 Thread 20 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-6 |  1207000 |   427000 |   492110465 |  15940522583 |         0 |      0 |  1459239119 |      0 |      0 |         0 
 57267 Thread 21 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-7 |  1183000 |   399000 |   472134434 |  15433020337 |         0 |      0 |  1344648058 |      0 |      0 |         0 
 57268 Thread 22 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-8 |  1220000 |   394000 |   482160188 |  15743859778 |         0 |      0 |  1364285978 |      0 |      0 |         0 
 57269 Thread 23 - PartitionProcessorThre...181-a5cc-e1c6c480171a-1-9 |  1214000 |   391000 |   479810106 |  15656128606 |         0 |      0 |  1502747011 |      0 |      0 |         0 
 57270 Thread 24 - PartitionProcessorThre...81-a5cc-e1c6c480171a-1-10 |  1205000 |   381000 |   475437333 |  15472127130 |         0 |      0 |  1463784758 |      0 |      0 |         0 
 57271 Thread 25 - PartitionProcessorThre...81-a5cc-e1c6c480171a-1-11 |  1090000 |   367000 |   436789645 |  14212683825 |         0 |      0 |  1179423826 |      0 |      0 |         0 
