                                 Task                                 |  utime   |  stime   |     rss     |     vmem     |   read    | write  |    d:cpu    | d:bio  | d:swap | d:reclaim 
 60794 Thread 1 - main                                                |   570000 |    67000 |    38691174 |   4830111791 |  21046272 |   1024 |     6647672 |      0 |      0 |         0 
 60816 Thread 2 - Reference Handler                                   |     5000 |        0 |      496835 |     38768847 |         0 |      0 |     2192200 |      0 |      0 |         0 
 60817 Thread 3 - Finalizer                                           |     6000 |        0 |      524816 |     45829964 |     13312 |      0 |      930753 |      0 |      0 |         0 
 60818 Thread 4 - Surrogate Locker Thread (Concurrent GC)             |        0 |        0 |           0 |            0 |         0 |      0 |       92860 |      0 |      0 |         0 
 60819 Thread 5 - Signal Dispatcher                                   |        0 |        0 |           0 |            0 |         0 |      0 |           0 |      0 |      0 |         0 
 60830 Thread 11 - DecatonSubscriptionThread-decaton-benchmark        | 28375000 | 32202000 | 18776013766 | 589914787331 | 636306432 | 123904 | 19469468390 | 111112 |      0 |         0 
 60831 Thread 13 - kafka-coordinator-hear...hread | decaton-benchmark |   178000 |    47000 |    69039929 |   2191418069 |   6833152 |   4096 |    41060269 | 531153 |      0 |         0 
 60834 Thread 14 - PartitionProcessorThre...d68-92b8-42462911d11e-0-0 |  1255000 |   493000 |   538164055 |  17043665735 |     38912 |      0 |  1670158218 |      0 |      0 |         0 
 60835 Thread 15 - PartitionProcessorThre...d68-92b8-42462911d11e-0-1 |  1269000 |   399000 |   513835410 |  16272191317 |         0 |      0 |  1430992169 |      0 |      0 |         0 
 60836 Thread 16 - PartitionProcessorThre...d68-92b8-42462911d11e-0-2 |  1247000 |   421000 |   514716387 |  16272349157 |     64512 |      0 |  1442887576 |      0 |      0 |         0 
 60837 Thread 17 - PartitionProcessorThre...d68-92b8-42462911d11e-0-3 |  1230000 |   438000 |   514318567 |  16270920254 |         0 |      0 |  1464354519 |      0 |      0 |         0 
 60838 Thread 18 - PartitionProcessorThre...d68-92b8-42462911d11e-0-4 |  1222000 |   418000 |   502988653 |  15997745653 |         0 |      0 |  1263837290 |      0 |      0 |         0 
 60839 Thread 19 - PartitionProcessorThre...d68-92b8-42462911d11e-0-5 |  1206000 |   406000 |   495478649 |  15727850399 |      3072 |      0 |  1489143453 |      0 |      0 |         0 
 60840 Thread 20 - PartitionProcessorThre...d68-92b8-42462911d11e-0-6 |  1246000 |   419000 |   512323031 |  16242366368 |         0 |      0 |  1452027072 |      0 |      0 |         0 
 60841 Thread 21 - PartitionProcessorThre...d68-92b8-42462911d11e-0-7 |  1218000 |   439000 |   509337418 |  16166743665 |         0 |      0 |  1613411211 |      0 |      0 |         0 
 60842 Thread 22 - PartitionProcessorThre...d68-92b8-42462911d11e-0-8 |  1205000 |   433000 |   505027934 |  15980461215 |     53248 |      0 |  1441241563 |      0 |      0 |         0 
 60843 Thread 23 - PartitionProcessorThre...d68-92b8-42462911d11e-0-9 |  1282000 |   447000 |   534283887 |  16869792856 |         0 |      0 |  1612453814 |      0 |      0 |         0 
 60844 Thread 24 - PartitionProcessorThre...68-92b8-42462911d11e-0-10 |  1259000 |   479000 |   535801246 |  16957867875 |         0 |      0 |  1447841419 |      0 |      0 |         0 
 60845 Thread 25 - PartitionProcessorThre...68-92b8-42462911d11e-0-11 |  1293000 |   450000 |   537512395 |  17006173227 |      1024 |      0 |  1385087243 |      0 |      0 |         0 
 60846 Thread 26 - PartitionProcessorThre...68-92b8-42462911d11e-0-12 |  1291000 |   418000 |   527176504 |  16674153840 |         0 |      0 |  1429637036 |      0 |      0 |         0 
 60847 Thread 27 - PartitionProcessorThre...68-92b8-42462911d11e-0-13 |  1255000 |   503000 |   542495422 |  17153975352 |         0 |      0 |  1499158200 |      0 |      0 |         0 
 60848 Thread 28 - PartitionProcessorThre...68-92b8-42462911d11e-0-14 |  1250000 |   449000 |   523916926 |  16574171289 |      3072 |      0 |  1408202661 |      0 |      0 |         0 
 60849 Thread 29 - PartitionProcessorThre...68-92b8-42462911d11e-0-15 |  1249000 |   467000 |   530985773 |  16744223786 |      3072 |      0 |  1419574030 |      0 |      0 |         0 
 60850 Thread 30 - PartitionProcessorThre...68-92b8-42462911d11e-0-16 |  1216000 |   431000 |   508317371 |  16071585532 |         0 |      0 |  1403060565 |      0 |      0 |         0 
 60851 Thread 31 - PartitionProcessorThre...68-92b8-42462911d11e-0-17 |  1269000 |   455000 |   531015949 |  16821980450 |     37888 |      0 |  1441970336 |      0 |      0 |         0 
 60852 Thread 32 - PartitionProcessorThre...68-92b8-42462911d11e-0-18 |  1199000 |   481000 |   517804535 |  16393329731 |      1024 |      0 |  1571468222 |      0 |      0 |         0 
 60853 Thread 33 - PartitionProcessorThre...68-92b8-42462911d11e-0-19 |  1273000 |   439000 |   527630180 |  16704514098 |         0 |      0 |  1472669748 |      0 |      0 |         0 
 60854 Thread 34 - PartitionProcessorThre...d68-92b8-42462911d11e-2-0 |  1244000 |   457000 |   530358293 |  16597293332 |         0 |      0 |  1501170586 |      0 |      0 |         0 
 60855 Thread 35 - PartitionProcessorThre...d68-92b8-42462911d11e-2-1 |  1276000 |   469000 |   545096981 |  17027557418 |         0 |      0 |  1383817221 |      0 |      0 |         0 
 60856 Thread 36 - PartitionProcessorThre...d68-92b8-42462911d11e-2-2 |  1222000 |   444000 |   520700957 |  16257463551 |         0 |      0 |  1504125286 |      0 |      0 |         0 
 60857 Thread 37 - PartitionProcessorThre...d68-92b8-42462911d11e-2-3 |  1253000 |   507000 |   549918246 |  17174078469 |         0 |      0 |  1248799248 |      0 |      0 |         0 
 60858 Thread 38 - PartitionProcessorThre...d68-92b8-42462911d11e-2-4 |  1284000 |   438000 |   536562973 |  16802527137 |         0 |      0 |  1509564495 |      0 |      0 |         0 
 60859 Thread 39 - PartitionProcessorThre...d68-92b8-42462911d11e-2-5 |  1227000 |   484000 |   533933402 |  16695178243 |         0 |      0 |  1454509847 |      0 |      0 |         0 
 60860 Thread 40 - PartitionProcessorThre...d68-92b8-42462911d11e-2-6 |  1206000 |   428000 |   511339496 |  15944648137 |         0 |      0 |  1328866859 |      0 |      0 |         0 
 60861 Thread 41 - PartitionProcessorThre...d68-92b8-42462911d11e-2-7 |  1258000 |   488000 |   546130844 |  17037802450 |         0 |      0 |  1335303752 |      0 |      0 |         0 
 60862 Thread 42 - PartitionProcessorThre...d68-92b8-42462911d11e-2-8 |  1258000 |   430000 |   527472629 |  16471386223 |         0 |      0 |  1293492747 |      0 |      0 |         0 
 60863 Thread 43 - PartitionProcessorThre...d68-92b8-42462911d11e-2-9 |  1188000 |   434000 |   505753946 |  15826849704 |         0 |      0 |  1359062857 |      0 |      0 |         0 
 60864 Thread 44 - PartitionProcessorThre...68-92b8-42462911d11e-2-10 |  1209000 |   456000 |   521036445 |  16248409258 |         0 |      0 |  1477032777 |      0 |      0 |         0 
 60865 Thread 45 - PartitionProcessorThre...68-92b8-42462911d11e-2-11 |  1272000 |   451000 |   537263930 |  16813016500 |         0 |      0 |  1502469396 |      0 |      0 |         0 
 60866 Thread 46 - PartitionProcessorThre...68-92b8-42462911d11e-2-12 |  1228000 |   431000 |   517623196 |  16188868688 |         0 |      0 |  1474994907 |      0 |      0 |         0 
 60867 Thread 47 - PartitionProcessorThre...68-92b8-42462911d11e-2-13 |  1267000 |   439000 |   532108750 |  16647467442 |         0 |      0 |  1304723384 |      0 |      0 |         0 
 60868 Thread 48 - PartitionProcessorThre...68-92b8-42462911d11e-2-14 |  1247000 |   456000 |   532901914 |  16618482934 |         0 |      0 |  1293388924 |      0 |      0 |         0 
 60869 Thread 49 - PartitionProcessorThre...68-92b8-42462911d11e-2-15 |  1220000 |   481000 |   530371000 |  16597712516 |         0 |      0 |  1361943161 |      0 |      0 |         0 
 60870 Thread 50 - PartitionProcessorThre...68-92b8-42462911d11e-2-16 |  1246000 |   441000 |   526057164 |  16461800125 |         0 |      0 |  1299694855 |      0 |      0 |         0 
 60871 Thread 51 - PartitionProcessorThre...68-92b8-42462911d11e-2-17 |  1319000 |   463000 |   555017187 |  17388314926 |         0 |      0 |  1373394270 |      0 |      0 |         0 
 60872 Thread 52 - PartitionProcessorThre...68-92b8-42462911d11e-2-18 |  1192000 |   460000 |   515320203 |  16120499465 |         0 |      0 |  1389665388 |      0 |      0 |         0 
 60873 Thread 53 - PartitionProcessorThre...68-92b8-42462911d11e-2-19 |  1221000 |   436000 |   517118000 |  16169048922 |         0 |      0 |  1408420267 |      0 |      0 |         0 
 60874 Thread 54 - PartitionProcessorThre...d68-92b8-42462911d11e-1-0 |  1243000 |   441000 |   526359613 |  16433122926 |         0 |      0 |  1181758992 |      0 |      0 |         0 
 60875 Thread 55 - PartitionProcessorThre...d68-92b8-42462911d11e-1-1 |  1242000 |   440000 |   526043492 |  16413466668 |         0 |      0 |  1449754518 |      0 |      0 |         0 
 60876 Thread 56 - PartitionProcessorThre...d68-92b8-42462911d11e-1-2 |  1284000 |   427000 |   535346793 |  16696794204 |         0 |      0 |  1384418538 |      0 |      0 |         0 
 60877 Thread 57 - PartitionProcessorThre...d68-92b8-42462911d11e-1-3 |  1297000 |   459000 |   548466598 |  17135046539 |         0 |      0 |  1385486803 |      0 |      0 |         0 
 60878 Thread 58 - PartitionProcessorThre...d68-92b8-42462911d11e-1-4 |  1270000 |   504000 |   554634176 |  17311164852 |         0 |      0 |  1320743420 |      0 |      0 |         0 
 60879 Thread 59 - PartitionProcessorThre...d68-92b8-42462911d11e-1-5 |  1306000 |   415000 |   537350285 |  16792945778 |         0 |      0 |  1451289927 |      0 |      0 |         0 
 60880 Thread 60 - PartitionProcessorThre...d68-92b8-42462911d11e-1-6 |  1204000 |   423000 |   508285035 |  15876040512 |         0 |      0 |  1403260531 |      0 |      0 |         0 
 60881 Thread 61 - PartitionProcessorThre...d68-92b8-42462911d11e-1-7 |  1181000 |   455000 |   511145414 |  15963986594 |         0 |      0 |  1538534640 |      0 |      0 |         0 
 60882 Thread 62 - PartitionProcessorThre...d68-92b8-42462911d11e-1-8 |  1251000 |   447000 |   531205781 |  16570092789 |         0 |      0 |  1546399765 |      0 |      0 |         0 
 60883 Thread 63 - PartitionProcessorThre...d68-92b8-42462911d11e-1-9 |  1226000 |   436000 |   518312543 |  16217274208 |         0 |      0 |  1371540964 |      0 |      0 |         0 
 60884 Thread 64 - PartitionProcessorThre...68-92b8-42462911d11e-1-10 |  1257000 |   442000 |   531639344 |  16579618661 |         0 |      0 |  1521826935 |      0 |      0 |         0 
 60885 Thread 65 - PartitionProcessorThre...68-92b8-42462911d11e-1-11 |  1246000 |   472000 |   536664098 |  16763570899 |         0 |      0 |  1396131994 |      0 |      0 |         0 
 60886 Thread 66 - PartitionProcessorThre...68-92b8-42462911d11e-1-12 |  1230000 |   447000 |   523811949 |  16364116934 |         0 |      0 |  1340150934 |      0 |      0 |         0 
 60887 Thread 67 - PartitionProcessorThre...68-92b8-42462911d11e-1-13 |  1219000 |   453000 |   522434969 |  16315343036 |         0 |      0 |  1421080087 |      0 |      0 |         0 
 60888 Thread 68 - PartitionProcessorThre...68-92b8-42462911d11e-1-14 |  1185000 |   468000 |   516331344 |  16130250891 |         0 |      0 |  1592149808 |      0 |      0 |         0 
 60889 Thread 69 - PartitionProcessorThre...68-92b8-42462911d11e-1-15 |  1202000 |   461000 |   518965399 |  16227047684 |         0 |      0 |  1397137506 |      0 |      0 |         0 
 60890 Thread 70 - PartitionProcessorThre...68-92b8-42462911d11e-1-16 |  1211000 |   441000 |   516103750 |  16120614805 |         0 |      0 |  1597042788 |      0 |      0 |         0 
 60891 Thread 71 - PartitionProcessorThre...68-92b8-42462911d11e-1-17 |  1173000 |   463000 |   511568082 |  15964704989 |         0 |      0 |  1474695706 |      0 |      0 |         0 
 60893 Thread 72 - PartitionProcessorThre...68-92b8-42462911d11e-1-18 |  1106000 |   482000 |   495225215 |  15494776083 |         0 |      0 |  1297089194 |      0 |      0 |         0 
 60894 Thread 73 - PartitionProcessorThre...68-92b8-42462911d11e-1-19 |  1151000 |   426000 |   493050653 |  15388930969 |         0 |      0 |  1347083086 |      0 |      0 |         0 
 61177 Thread 74 - process reaper                                     |     1000 |        0 |      318945 |      9785996 |      2048 |      0 |       16002 |      0 |      0 |         0 
 61183 Thread 75 - Attach Listener                                    |   363000 |    99000 |   145429085 |   4515006378 |   5304320 | 329728 |     2476054 |      0 |      0 |         0 
